doi,source_folder,is_relevant,studies_treatment,trial_type,phase,is_excluded,exclusion_reason,topics
10.1016/j.jpsychores.2017.11.011,converted,yes,no,cross_sectional,not_applicable,yes,observational,DNA methylation | HPA axis | childhood trauma | biomarker
10.1016/j.nicl.2018.07.011,converted,yes,no,other,not_applicable,yes,review,neuroimaging|brainstem|MRI|white matter|biomarker
10.1016/j.ygeno.2009.06.002,converted,no,no,other,not_applicable,yes,review,genomics|bioinformatics|gene expression|causal inference
10.1016/j.nicl.2020.102366,converted,yes,no,cross_sectional,not_applicable,yes,,ME/CFS|neuroimaging|MRI|biomarkers|pathophysiology
10.1016/s2215-0366(14)00069-8,converted,yes,yes,rct,phase_3,no,,ME/CFS|cognitive behaviour therapy|graded exercise therapy|adaptive pacing|mediation analysis
10.1016/s1081-1206(10)62595-1,converted,yes,yes,rct,phase_2,no,,NADH supplementation | ATP metabolism | symptom improvement | pilot trial | oral intervention
10.1034/j.1601-5215.2003.00033.x,converted,yes,no,cross_sectional,not_applicable,yes,review,glucocorticoid sensitivity | HPA axis | immune dysfunction | mechanistic study
10.1046/j.1365-2265.1999.00856.x,converted,yes,no,cross_sectional,not_applicable,no,,HPA axis|cortisol|neuroendocrinology|diagnostic assessment
10.1053/sarh.2002.34608,converted,yes,no,cross_sectional,not_applicable,yes,,ME/CFS|hemodynamics|autonomic dysfunction|cardiovascular|diagnostic biomarker
10.1073/pnas.1006901107,converted,yes,no,case_control,not_applicable,yes,,viral_etiology | molecular_diagnostics | XMRV | MLV | pathogenesis
10.1076/clin.15.2.210.1896,converted,yes,no,cross_sectional,not_applicable,yes,observational,cognitive dysfunction | neuropsychological assessment | intraindividual variability
10.1086/517373,converted,yes,no,other,not_applicable,no,,immunology|CD4 T cells|dexamethasone sensitivity|HPA axis|cytokine production
10.1093/braincomms/fcaa070,converted,yes,no,cross_sectional,not_applicable,yes,,ME/CFS | neuroimaging | post-exertional malaise | brain activation | fMRI
10.1093/braincomms/fcag101,converted,yes,no,cross_sectional,not_applicable,yes,secondary_analysis,neuroimaging | emotional regulation | fMRI | striatum | insula
10.1101/2021.06.14.21258895,converted,yes,no,cross_sectional,not_applicable,yes,review,metabolomics|biomarkers|peroxisomal dysfunction|pathogenesis
10.1097/00002508-200207000-00008,converted,no,no,other,not_applicable,yes,editorial,permissions|copyright|publishing|open-access
10.1101/2023.06.23.23291827,converted,yes,no,other,not_applicable,yes,review,biomarkers|immune response|EBV|fibronectin|mechanistic study
10.1101/2023.08.28.555033,converted,yes,no,other,not_applicable,no,,ME/CFS|post-exertional malaise|exercise physiology|biomarkers|extracellular vesicles
10.1111/j.1365-2796.2011.02429.x,converted,yes,no,cross_sectional,not_applicable,yes,,cardiac function|MRI imaging|biomarkers|diagnostic study
10.1111/j.1600-0404.1999.tb00667.x,converted,yes,yes,rct,phase_2,no,,essential fatty acids | supplementation | CFS treatment | double-blind placebo-controlled | red-cell membrane lipids
10.1111/jcmm.15260,converted,yes,no,cross_sectional,not_applicable,no,,miRNA biomarkers|exercise challenge|gender differences|immune dysfunction|post-exertional malaise
10.1111/j.1749-6632.2009.04875.x,converted,no,no,cross_sectional,not_applicable,yes,,vitamin D|autoimmune disease|inflammatory markers
10.1128/cdli.8.3.658-662.2001,converted,yes,no,other,not_applicable,no,,immunology | diagnostic biomarkers | neural network classification
10.1128/jvi.00827-11,converted,no,no,other,not_applicable,yes,editorial,virology|XMRV|PCR contamination|phylogenetic analysis
10.1136/archdischild-2012-302484,converted,yes,yes,rct,phase_3,no,,internet-based CBT | adolescents | school attendance | fatigue severity | physical functioning
10.1136/bmj.312.7022.22,converted,yes,yes,rct,phase_2_3,no,,cognitive behaviour therapy | chronic fatigue syndrome | functional impairment | illness beliefs | coping behavior
10.1136/bmj.j3057,converted,yes,yes,rct,not_applicable,no,,graded exercise therapy | cognitive behavioral therapy | self-help intervention | fatigue reduction | physical function
10.1136/qshc.2004.013227,converted,no,no,other,not_applicable,yes,guideline,consensus methods | guideline development | mental health interventions
10.1136/sti.8.1.56,converted,no,no,other,not_applicable,yes,,venereal disease | patient adherence | historical medical practice
10.1172/jci118990,converted,yes,no,cross_sectional,not_applicable,yes,other,autoimmunity|biomarkers|immunology|nuclear envelope antigens|CFS pathogenesis
10.1186/1756-0500-7-650,converted,yes,yes,cross_sectional,phase_2,no,,serotonin|tryptophan depletion|acute tryptophan depletion (ATD)|pilot study|neuroendocrine
10.1186/s12967-022-03815-8,converted,yes,no,other,not_applicable,yes,review,genetics|GWAS|biomarkers|patient stratification|pathophysiology
10.1186/s13030-019-0171-2,converted,yes,yes,case_series,not_applicable,no,,isometric yoga | mind-body therapy | miRNA biomarkers | fatigue reduction | pilot study
10.1186/s12967-016-0859-z,converted,yes,no,cross_sectional,not_applicable,yes,,NK cell dysfunction | immune signaling | biomarker study | MAPK pathway
10.1128/jvi.00046-11,converted,no,no,other,not_applicable,yes,,virology|XMRV|retrovirus|basic science
10.1210/jcem.86.8.7735,converted,yes,yes,rct,phase_2,no,,HPA axis dysfunction | hydrocortisone therapy | neuroendocrine | fatigue | double-blind crossover
10.12968/ijtr.2013.20.4.180,converted,yes,no,rct,not_applicable,yes,secondary_analysis,CFS|therapy training|manual-based therapy|treatment fidelity|PACE trial
10.12932/ap-200517-0086,converted,yes,no,cross_sectional,not_applicable,no,,mast cells | TLR3 | immunology | biomarkers | pathophysiology
10.1371/journal.pone.0018272,converted,no,no,other,not_applicable,yes,protocol,XMRV | vaccine immunogenicity | murine model | preclinical
10.1300/j092v08n03_09,converted,yes,no,cross_sectional,not_applicable,yes,,ME/CFS diagnosis|functional impairment assessment|cardiopulmonary exercise testing|disability measurement
10.1300/j092v05n03_03,converted,yes,no,other,not_applicable,yes,review,ME/CFS phases | instrument validation | Fennell Phase Inventory
10.1371/journal.pone.0071834,converted,no,no,other,not_applicable,yes,review,mindfulness-based therapy | somatization disorders | meta-analysis
10.15406/jnsk.2024.14.00582,converted,yes,yes,case_series,not_applicable,no,,bioresonance therapy | dietary intervention | observational case series
10.2147/jpr.s40014,converted,yes,no,cross_sectional,not_applicable,yes,review,scale development | self-regulation | fibromyalgia | chronic fatigue syndrome | measurement
10.2149/tmh.36.23,converted,yes,yes,rct,phase_2_3,no,,CBT|exercise|cognitive therapy|relaxation|non-pharmacologic interventions
10.21203/rs.3.rs-965010/v1,converted,yes,yes,rct,phase_2,no,,mind-body exercise | qigong | fatigue | sleep quality | anxiety
10.2967/jnumed.113.131045,converted,yes,no,cross_sectional,not_applicable,yes,,neuroinflammation|biomarkers|PET imaging|pathophysiology
10.3389/fneur.2025.1534352,converted,yes,no,observational_cohort,not_applicable,yes,secondary_analysis,post-exertional malaise | Long COVID | ME/CFS | exercise testing | CPET
10.3109/10582450903495908,converted,yes,no,cross_sectional,not_applicable,yes,,ME/CFS | chronic pain | neurophysiology | psychometric validation | assessment tool
10.3389/fnins.2020.00688,converted,yes,no,cross_sectional,not_applicable,yes,,cognitive dysfunction | orthostatic intolerance | head-up tilt testing | working memory
10.3389/fnins.2025.1637838,converted,yes,yes,case_series,phase_2,no,,pyridostigmine|muscle strength|autonomic dysfunction|hand grip|post-infectious ME/CFS
10.3389/fphar.2023.1163638,converted,yes,yes,other,not_applicable,no,,ginsenoside Rg1|metabolomics|animal model|CFS treatment|traditional Chinese medicine
10.3389/fpsyt.2022.822382,converted,yes,no,other,not_applicable,yes,review,ME/CFS pathways | protein-protein interaction | neuro-immune biomarkers | redox signaling | NF-κB pathway
10.3390/diagnostics15121542,converted,yes,no,other,not_applicable,yes,review,genetic association | neurodevelopment genes | GWAS | ME/CFS etiology
10.3390/nu16193308,converted,yes,yes,case_series,phase_1,no,,creatine supplementation | brain energy metabolism | cognition | fatigue | MRS neuroimaging
10.3390/medicina60010161,converted,yes,no,cross_sectional,not_applicable,yes,review,EBV antibodies | biomarker discovery | ME/CFS diagnosis | machine learning classification
10.3390/vision2010002,converted,yes,no,cross_sectional,not_applicable,yes,,ME/CFS diagnosis | visual symptoms | contrast sensitivity | neurological markers
10.4161/gmic.25487,converted,yes,yes,rct,phase_2,no,,probiotic intervention | Bifidobacterium infantis | inflammatory biomarkers | cytokine modulation | CFS treatment
10.4236/psych.2010.14033,converted,yes,no,cross_sectional,not_applicable,yes,observational_study_no_intervention,ME/CFS | genetic | HPA axis | glucocorticoid receptor | pediatric
10.7287/peerj.6500v0.1/reviews/2,converted,yes,no,cross_sectional,not_applicable,yes,,mitochondrial function | basic science | pathophysiology | cell biology
10.1186/ar2691,abstract_only,no,no,other,not_applicable,yes,editorial,sleep apnea|CFS|diagnostic criteria
10.58530/2024/0746,abstract_only,yes,no,cross_sectional,not_applicable,yes,,ME/CFS | neuroimaging | functional connectivity | fMRI | brainstem-cerebellum
10.1007/s12035-015-9262-7,abstract_only,yes,no,other,not_applicable,yes,editorial,ME/CFS etiology | pathogen mechanisms | fatigue | cognitive dysfunction | editorial perspective
10.20448/801.51.104.115,abstract_only,yes,no,cross_sectional,not_applicable,yes,secondary_analysis,ME/CFS comparison|cross-national|symptomatology|functional impairment|health outcomes
10.1007/bf01541666,abstract_only,yes,no,cross_sectional,not_applicable,yes,other,immunoglobulin subclasses | biomarkers | ME/CFS
10.53841/bpscpf.2016.1.280.15,abstract_only,yes,yes,other,not_applicable,no,,cognitive behavioural therapy | anxiety | depression | functioning
10.70252/daya4589,abstract_only,yes,no,other,not_applicable,yes,review,ME/CFS|exercise|systematic review|meta-analysis
10.1186/s12982-025-00936-5,abstract_only,yes,no,retrospective_cohort,not_applicable,yes,secondary_analysis,caregiver burden | health impact | observational study
10.2174/1573397112666151231111104,abstract_only,yes,no,other,not_applicable,yes,review,neuroimaging | central sensitivity syndromes | chronic fatigue syndrome | review article
10.1186/s12865-015-0101-4,abstract_only,yes,no,cross_sectional,not_applicable,yes,review,immune function | NK cells | T cells | immunophenotyping | CFS/ME pathophysiology
10.1017/s0033291701004664,abstract_only,yes,no,other,not_applicable,yes,review,neuroendocrinology|HPA axis|cortisol|5-HT|pathophysiology
10.1186/s12967-020-02603-6,abstract_only,yes,no,other,not_applicable,yes,review,systematic review | RCTs | CFS/ME
10.1016/s0889-857x(05)70270-2,abstract_only,yes,no,other,not_applicable,yes,review,ME/CFS|fibromyalgia|comparison|clinical features
10.1016/s0024-3205(01)01001-3,abstract_only,yes,no,cross_sectional,not_applicable,yes,,oxidative stress | lipid peroxidation | biomarkers | antioxidant status
10.1186/1742-4690-7-113,abstract_only,no,no,other,not_applicable,yes,editorial,XMRV | meeting report | chronic fatigue syndrome
10.4137/ijtr.s7898,abstract_only,no,no,other,not_applicable,yes,editorial,kynurenine pathway | CFS hypothesis | opinion piece
10.3390/jcm10184171,abstract_only,yes,no,cross_sectional,not_applicable,yes,review,biomarkers|diagnostic|C1q|complement|subtyping
10.1002/mbo3.70333,abstract_only,yes,no,cross_sectional,not_applicable,yes,observational_study_no_intervention,microbiome | tryptophan metabolism | aryl hydrocarbon receptor | pathophysiology
10.1136/jnnp.48.7.691,abstract_only,yes,no,cross_sectional,not_applicable,no,,electrophysiology|SFEMG|muscle pathology|post-viral fatigue syndrome
10.1038/npre.2010.4669.1,abstract_only,yes,no,other,not_applicable,yes,review,viral_mimicry|autoimmunity|XMRV|prostate_cancer|computational_analysis
10.1101/2020.08.17.20164715,abstract_only,yes,no,cross_sectional,not_applicable,yes,,biomarkers | cytokines | diagnosis | pathophysiology
10.1042/bsr20180242,abstract_only,no,no,other,not_applicable,yes,protocol,AMPK activation | glucose uptake | skeletal muscle | in vitro | mechanistic study
10.1111/j.1365-2796.2010.02341.x,abstract_only,yes,no,cross_sectional,not_applicable,no,,carnitine metabolism | acylcarnitine | biomarker | mitochondrial energy | omega-3
10.1016/s0031-9384(02)00808-9,abstract_only,yes,no,observational_cohort,not_applicable,yes,observational,post-exertional malaise | circadian rhythm | activity patterns | CFS characterization
10.1093/clinids/21.3.708-a,abstract_only,no,no,unclear,not_applicable,yes,editorial,viral antibodies | chronic fatigue syndrome
10.3389/fpsyt.2021.580924,abstract_only,yes,yes,rct,phase_3,no,,cognitive behavioral therapy|physical function|fatigue|randomized controlled trial|mild-moderate CFS
pmid_30220655,abstract_only,yes,no,cross_sectional,not_applicable,yes,observational,biomarkers | cytokines | TGF-beta1 | pre-analytical methods
10.1016/j.pmrj.2013.08.117,abstract_only,yes,yes,case_series,not_applicable,no,,clarithromycin|pain management|fibromyalgia|chronic fatigue syndrome
10.1017/s0033291703008791,abstract_only,no,no,unclear,not_applicable,yes,,fatigue|herbal medicine|Siberian ginseng
10.1586/14737175.8.6.917,abstract_only,yes,no,other,not_applicable,yes,editorial,methylphenidate|cognitive_dysfunction|neurostimulants|perspective_piece
10.1080/00207411.1990.11449173,abstract_only,no,no,other,not_applicable,yes,editorial,opinion|misdiagnosis|mental-health
10.1016/s0022-3999(02)00324-0,abstract_only,yes,no,observational_cohort,not_applicable,yes,secondary_analysis,natural_course | prognostic_factors | psychosocial_predictors | fatigue_trajectory
10.2214/ajr.162.4.8141022,abstract_only,yes,no,cross_sectional,not_applicable,yes,observational,ME/CFS diagnosis | neuroimaging | SPECT | brain perfusion | comparative study
10.5281/zenodo.18681879,abstract_only,yes,no,rct,phase_2,yes,protocol,ME/CFS | Tai Chi | Qigong | Traditional Chinese Medicine | study protocol
10.1101/2025.04.13.25325733,abstract_only,yes,no,other,not_applicable,yes,review,gene prioritization | network analysis | disease module | computational biology
10.1177/03080226241254720,abstract_only,yes,no,cross_sectional,not_applicable,yes,,occupational impact | cross-sectional survey | quality of life | occupational identity
10.1080/09638288.2022.2135776,abstract_only,yes,no,other,not_applicable,yes,review,activity pacing | CFS fatigue | systematic review | meta-analysis
10.1136/bmj.h932,abstract_only,yes,no,other,not_applicable,yes,guideline,diagnostic criteria | nomenclature | consensus statement
10.64898/2026.04.06.26348924,abstract_only,yes,no,retrospective_cohort,not_applicable,yes,observational_study_not_treatment,anesthesia | perioperative outcomes | observational study
10.1186/1471-2377-7-6,abstract_only,yes,yes,rct,phase_3,yes,protocol,ME/CFS|adaptive pacing|cognitive behaviour therapy|graded exercise therapy|randomized controlled trial
10.3390/healthcare10122438,abstract_only,yes,no,other,not_applicable,yes,guideline,ME/CFS diagnosis|treatment guidelines|NICE guideline|GET/CBT recommendations|clinical management
10.1097/ms9.0000000000000929,abstract_only,yes,no,other,not_applicable,yes,review,ME/CFS|MS|fatigue|neuroimaging|sleep disorders
10.1371/journal.pone.0198106,abstract_only,yes,no,cross_sectional,not_applicable,yes,review,circadian_rhythm|autonomic_dysfunction|actigraphy
10.1001/jama.1988.03720060014020,abstract_only,no,no,other,not_applicable,yes,editorial,chronic fatigue syndrome | differential diagnosis | cocaine abuse
10.1097/00005768-199905001-02055,abstract_only,yes,no,cross_sectional,not_applicable,no,,exercise physiology | oxygen uptake | perceived exertion | fatigue variability | central vs peripheral aetiology
10.1001/amaguidesnewsletters.2002.janfeb02,abstract_only,yes,no,other,not_applicable,yes,editorial,CFS definition | diagnostic criteria | impairment assessment | behavioral intervention
10.1007/s00109-004-0586-4,abstract_only,yes,no,other,not_applicable,yes,other,biomarkers|gene_expression|immune_dysregulation|PBMC|PCR
10.1007/s11882-010-0106-2,abstract_only,yes,no,other,not_applicable,yes,review,XMRV|viral_etiology|biomarkers|retrovirus
10.1001/archinte.160.22.3461,abstract_only,yes,no,cross_sectional,not_applicable,no,,ME/CFS|neurally mediated hypotension|tilt table test|twin study|pathophysiology
10.1101/2025.01.09.25320264,abstract_only,yes,no,other,not_applicable,yes,,autoantibodies|monocyte dysfunction|post-COVID|ME/CFS|in-vitro study
10.31989/ffhd.v1i4.134,abstract_only,no,no,other,not_applicable,yes,review,lipid replacement therapy | cancer fatigue | mitochondrial function
10.1300/j092v01n02_04,abstract_only,yes,no,case_control,not_applicable,no,,risk factors | stress | epidemiology | case-control study
10.1016/j.jpsychores.2018.01.007,abstract_only,yes,no,cross_sectional,not_applicable,yes,,dyspnea perception | symptom perception | rebreathing paradigm | fibromyalgia | CFS
10.1360/n972014-00120,abstract_only,no,no,other,not_applicable,yes,review,gut-brain axis|microbiota|CFS
10.1186/s12967-018-1392-z,abstract_only,yes,yes,case_series,not_applicable,no,,gut dysbiosis | antibiotic treatment | microbiota | neuropsychological symptoms | open-label pilot
10.1186/s13063-018-2500-3,abstract_only,yes,no,rct,not_applicable,yes,protocol,paediatric CFS/ME | online CBT | FITNET-NHS | RCT protocol
10.21508/1027-4065-2019-64-2-38-46,abstract_only,no,no,other,not_applicable,yes,review,Epstein-Barr virus | chronic infection | review article
10.5114/hpr.2017.65469,abstract_only,yes,yes,case_series,not_applicable,no,,mindfulness-based intervention | psychological therapy | fatigue | quality of life | coping skills
10.15225/pnn.2020.9.2.5,abstract_only,yes,no,other,not_applicable,yes,review,ME/CFS|adolescents|quality of life|comorbidities
10.1001/archinte.163.15.1832,abstract_only,no,no,case_control,not_applicable,no,,rhinosinusitis|chronic fatigue|unexplained fatigue|case-control study
10.1300/j092v12n02_04,abstract_only,yes,no,cross_sectional,not_applicable,yes,cross_sectional,employment status | quality of life | cognitive dysfunction | disability | observational
10.25250/thescbr.brk515,abstract_only,yes,no,other,not_applicable,no,,ME/CFS | suicide risk | stigma | mental health
10.1371/journal.pone.0129898,abstract_only,yes,yes,case_series,phase_2,no,,B-cell depletion | rituximab | immunotherapy | open-label | maintenance treatment
10.3389/fped.2018.00302,abstract_only,yes,no,cross_sectional,not_applicable,yes,,school functioning | adolescents | absenteeism | quality of life | observational
10.1016/j.psychres.2011.07.015,abstract_only,yes,no,cross_sectional,not_applicable,no,,stress|psychosocial factors|CFS pathophysiology|PTSD|population-based study
pmid_11874286,abstract_only,yes,no,other,not_applicable,yes,review,systematic review | CFS interventions | behavioral interventions
10.1016/j.pnpbp.2010.06.023,abstract_only,yes,no,other,not_applicable,yes,review,ME/CFS pathophysiology | depression comorbidity | inflammatory pathways | oxidative stress | literature review
10.1093/sleep/zsy061.279,abstract_only,yes,no,cross_sectional,not_applicable,yes,secondary_analysis,ME/CFS epidemiology | trauma | sleep | risk factors
10.1016/s0005-7916(02)00038-1,abstract_only,yes,yes,case_series,not_applicable,no,,graded activity | cognitive-behavioral therapy | physical activity | case study
10.3390/ijms22042046,abstract_only,no,no,other,not_applicable,yes,,mitochondrial dysfunction | metabolomics | basic science | cell culture | biomarkers
pmid_17561707,abstract_only,yes,no,case_series,not_applicable,yes,review,ME/CFS|pediatric fatigue|clinical observations|autonomic dysfunction
10.2217/14622416.7.2.211,abstract_only,yes,no,other,not_applicable,yes,review,ME/CFS|diagnostic biomarkers|molecular profiling|pathophysiology
10.26021/8464,abstract_only,yes,no,observational_cohort,not_applicable,yes,,health locus of control | psychological factors | functioning | observational study
10.1055/a-1849-8953,abstract_only,no,no,other,not_applicable,yes,review,post-COVID|fatigue|exercise intolerance|narrative review
10.1101/2023.04.15.23288582,abstract_only,yes,no,observational_cohort,not_applicable,yes,,post-COVID-19 | ME/CFS | symptom persistence | biomarkers | natural history
10.1017/s1037291100001515,abstract_only,yes,no,cross_sectional,not_applicable,yes,,school experience | adolescents | psychosocial support | educational needs
10.1155/2014/106048,abstract_only,yes,yes,rct,phase_2,no,,qigong exercise|sleep quality|fatigue|anxiety|depression
10.1093/clinids/18.supplement_1.s115,abstract_only,yes,no,other,not_applicable,yes,review,ME/CFS|clinical research|multidisciplinary
10.1016/j.rce.2009.09.015,abstract_only,yes,yes,rct,phase_2,no,,NADH supplementation|ME/CFS treatment|randomized controlled trial|fatigue|anxiety
10.21276/bpr.2016.6.3.3,abstract_only,no,no,other,not_applicable,yes,,preclinical|animal model|candesartan|chronic fatigue
10.15714/scandpsychol.4.e1,abstract_only,yes,no,other,not_applicable,yes,review,ME/CFS | adolescents | narrative review | quality of life | disease mechanisms
10.1111/j.1749-6632.2001.tb05836.x,abstract_only,no,no,other,not_applicable,yes,editorial,nitric oxide | peroxynitrite | pathophysiology
10.1177/1359105317703785,abstract_only,yes,no,other,not_applicable,yes,editorial,PACE trial | ME/CFS | CBT | graded exercise therapy | trial methodology
10.3390/jcm9113436,abstract_only,yes,yes,case_series,not_applicable,no,,exercise intervention | treatment adherence | physiological predictors | autonomic function | structured exercise programme
10.3233/wor-203168,abstract_only,yes,no,cross_sectional,not_applicable,yes,,post-exertional malaise | diagnostic biomarker | symptom characterization | exercise testing
10.1111/j.2044-8260.1993.tb01070.x,abstract_only,yes,no,cross_sectional,not_applicable,yes,other,mental fatigue | CFS diagnosis | questionnaire validation | symptom assessment
10.1186/1471-2458-11-402,abstract_only,yes,no,cross_sectional,not_applicable,yes,,functional status | quality of life | caregiver burden | SF-36 assessment
10.1016/j.nicl.2018.04.025,abstract_only,yes,no,cross_sectional,not_applicable,yes,,neuroimaging|fMRI|BOLD signal|cognitive function|brain complexity
10.1016/j.psyneuen.2013.07.004,abstract_only,yes,no,other,not_applicable,yes,review,HPA axis | cortisol | systematic review | CFS biomarkers | fatigue
10.1136/bmjopen-2017-020775,abstract_only,yes,no,observational_cohort,not_applicable,yes,protocol,ME/CFS prevalence | symptom burden | feasibility study | community pilot
10.1300/j094v12n01_03,abstract_only,yes,no,cross_sectional,not_applicable,no,,hypermobility|joint_hypermobility|pain|activity_limitations|characterization
10.2174/0929867054367202,abstract_only,yes,yes,other,not_applicable,no,,immune function|cytokines|stress-related disorders|therapeutic trials|immunomodulating agents
10.1054/mehy.1999.0964,abstract_only,yes,no,other,not_applicable,yes,editorial,enzyme deficiencies | CFS etiology | screening recommendations
10.1007/s10286-008-0487-7,abstract_only,yes,no,other,not_applicable,yes,editorial,POTS | deconditioning | exercise | chronic fatigue syndrome | fibromyalgia
pmid_25789592,abstract_only,yes,no,other,not_applicable,yes,editorial,ME/CFS | GET | exercise intolerance | post-exertional malaise | opinion piece
10.1016/j.ensci.2024.100537,abstract_only,yes,yes,case_series,phase_2,no,,minocycline|ME/CFS|long COVID|post-COVID vaccination|pilot study
10.33847/2712-8149.4.2_3,abstract_only,yes,no,cross_sectional,not_applicable,yes,review,ME/CFS diagnosis | symptom clustering | post-COVID | statistical analysis
10.1016/j.jpsychores.2015.02.013,abstract_only,yes,no,cross_sectional,not_applicable,yes,other,terminology preference survey | patient perspectives | medically unexplained symptoms
pmid_19685727,abstract_only,yes,yes,rct,phase_2,no,,acupuncture|fatigue|CFS|randomized controlled trial|complementary medicine
10.1057/9781137467324,abstract_only,no,no,other,not_applicable,yes,editorial,social dimensions | patient perspectives | diagnosis interpretation
10.1192/apt.9.1.78,abstract_only,no,no,other,not_applicable,yes,editorial,commentary|editorial
10.1348/147608308x306888,abstract_only,yes,no,cross_sectional,not_applicable,yes,review,kinesiophobia|psychometrics|symptom assessment|validation study
10.4049/jimmunol.202.supp.126.39,abstract_only,yes,no,cross_sectional,not_applicable,yes,,mitochondrial dysfunction|NK cell metabolism|biomarker|diagnostic tool|ME/CFS pathogenesis
10.3389/fneur.2020.00863,abstract_only,yes,no,other,not_applicable,yes,editorial,ME/CFS|neuroinflammation|cytokines|review|corrigendum
10.15188/kjopp.2020.06.34.3.117,abstract_only,yes,no,other,not_applicable,yes,review,ME/CFS|Soyo-san|herbal medicine|systematic review|meta-analysis
10.3390/v17111430,abstract_only,yes,no,cross_sectional,not_applicable,no,,ANS dysfunction | orthostatic intolerance | post-infectious syndromes | serology | hemodynamics
10.1097/01.ten.0000157885.71463.43,abstract_only,yes,no,cross_sectional,not_applicable,no,,HPA axis dysfunction | neuroendocrinology | ACTH stimulation test | metyrapone test | adrenal function
10.1016/j.ijchp.2019.11.003,abstract_only,yes,yes,case_series,not_applicable,no,,health anxiety | cognitive behavioural therapy | comorbidity | fatigue severity | physical functioning
10.1186/s13030-025-00339-7,abstract_only,yes,yes,rct,not_applicable,no,,ME/CFS | yoga intervention | rehabilitation | fatigue | fibromyalgia comorbidity
10.1186/s12967-023-04227-y,abstract_only,yes,yes,rct,phase_2,no,,faecal microbiota transplantation | gut microbiota | quality of life | pilot trial
10.1097/hnp.0000000000000727,abstract_only,yes,no,other,not_applicable,yes,review,acupuncture | chronic fatigue syndrome | traditional Chinese medicine | systematic review
10.1016/j.phrs.2021.105465,abstract_only,yes,no,other,not_applicable,yes,review,ME/CFS pathophysiology | drug discovery | treatment review | immune dysregulation | mitochondrial dysfunction
10.1016/j.chom.2011.04.001,abstract_only,no,no,other,not_applicable,yes,editorial,XMRV | pathogen | virology
pmid_2594656,abstract_only,yes,no,cross_sectional,not_applicable,yes,review,diagnostic criteria | clinical presentation | ME/CFS diagnosis
10.1007/s11019-008-9126-2,abstract_only,yes,no,other,not_applicable,yes,editorial,disease-theory|developmental-systems|psychoneuroimmunology|personalized-medicine
10.1016/s0254-6272(15)30152-7,abstract_only,yes,yes,rct,phase_2,no,,Traditional Chinese Medicine | music therapy | herbal treatment | symptom management | anxiety/depression
10.1080/21641846.2022.2108628,abstract_only,yes,no,other,not_applicable,yes,review,ME/CFS | exercise testing | VO2 | systematic review | meta-analysis
10.4103/1673-5374.152369,abstract_only,no,no,other,not_applicable,yes,editorial,neuroinflammation | fatigue | viral infection | opinion piece
10.1016/j.revmed.2016.05.003,abstract_only,yes,no,other,not_applicable,yes,review,ME/CFS pathophysiology | diagnostic criteria | inflammatory mechanisms | immunologic abnormalities
10.1016/s0002-9343(96)00017-4,abstract_only,yes,no,case_control,not_applicable,no,,triggers|cofactors|cytokines|case-control study|epidemiology
10.1016/s0165-0327(97)00134-1,abstract_only,yes,no,cross_sectional,not_applicable,no,,cortisol|biomarkers|neuroendocrine|depression|diagnostic
