doi,study_design,confidence
10.1001/jama.2011.1576,other,low
10.1001/jama.2019.8890,unclear,low
10.1001/jama.2024.3603,unclear,low
10.1001/jama.2015.5731,unclear,high
10.1001/archpsyc.63.11.1258,observational,high
10.1001/jama.2015.1346,other,high
10.1001/jama.265.8.964,other,high
10.1001/jama.280.4.372,case_series,high
10.1001/jama.280.12.1061,rct,high
10.1001/jama.286.11.1360,other,high
10.1001/jama.268.7.873,other,high
10.1001/jama.280.3.264,other,high
10.1001/jama.285.1.52,rct,high
10.1001/jama.1996.03530290029023,other,high
10.1001/jama.286.11.1378,other,high
10.1001/jama.292.10.1195,rct,high
10.1001/jama.289.11.1385-a,unclear,high
10.1001/jama.292.10.1234,unclear,low
10.1001/jama.286.24.3078-a,other,high
10.1001/jamanetworkopen.2024.23555,observational,high
10.1001/jamaoto.2020.0530,case_series,high
10.1002/(sici)1097-4598(199605)19:5<621::aid-mus10>3.0.co;2-q,observational,high
10.1002/(sici)1096-9071(199609)50:1<25::aid-jmv6>3.0.co;2-v,observational,high
10.1002/(sici)1097-4679(199711)53:7<635::aid-jclp1>3.0.co;2-h,observational,high
10.1002/(sici)1099-1077(199605)11:3<161::aid-hup784>3.0.co;2-5,observational,high
10.1002/(sici)1099-1077(199901)14:1<7::aid-hup64>3.0.co;2-o,other,high
10.1001/jama.292.22.2723-a,unclear,high
10.1002/(sici)1097-4679(199904)55:4<411::aid-jclp6>3.0.co;2-n,case_series,high
10.1001/jamanetworkopen.2022.33454,observational,high
10.1002/14651858.cd001027.pub2,other,high
10.1002/14651858.cd001027,other,high
10.1001/jamapediatrics.2013.4647,rct,high
10.1002/14651858.cd003200.pub9,rct,high
10.1002/14651858.cd006348.pub2,other,high
10.1002/14651858.cd006348.pub3,other,high
10.1002/14651858.cd006348,other,high
10.1002/1520-6629(199310)21:4<339::aid-jcop2290210410>3.0.co;2-1,observational,medium
10.1002/14651858.cd011040.pub2,other,high
10.1002/1520-6629(199504)23:2<143::aid-jcop2290230205>3.0.co;2-7,other,high
10.1002/1097-4679(200012)56:12<1497::aid-2>3.0.co;2-z,observational,high
10.1002/9780470514382.ch11,other,high
10.1002/9780470514382.ch13,other,high
10.1002/9780470514382.ch14,other,high
10.1002/9780470514382.ch15,other,high
10.1002/9780470514382.ch16,other,high
10.1002/9780470514382.ch18,other,high
10.1002/9780470514382.ch17,non_randomized_trial,medium
10.1002/9780470514382.ch2,other,high
10.1002/9780470514382.ch3,observational,high
10.1002/9780470514382.ch4,case_series,medium
10.1002/9780470514382.ch10,observational,high
10.1002/9780470514382.ch5,case_series,high
10.1002/9780470514382.ch7,observational,high
10.1001/jama.2010.1421,,
10.1002/9780470514382.ch8,other,high
10.1002/9780470750902.ch7,other,low
10.1002/9780470514382.ch6,observational,high
10.1002/acn3.51631,observational,high
10.1002/9781118453940.ch24,unclear,low
10.1002/acr.25210,other,high
10.1002/9781118663721.ch36,other,medium
10.1002/acr.80090,observational,high
10.1002/advs.202302146,observational,high
10.1002/acr.22639,observational,high
10.1002/adsr.202300178,case_series,high
10.1002/ajcp.12181,other,high
10.1002/alz.089661,other,high
10.1001/jamapediatrics.2013.3337,,
10.1002/ana.22389,case_series,high
10.1002/art.1780330311,case_series,high
10.1002/art.1780380510,case_series,high
10.1002/art.20779,observational,high
10.1002/art.1780400215,case_series,high
10.1002/ana.22529,other,high
10.1002/art.22124,observational,high
10.1002/art.41405,observational,high
10.1002/biof.1293,rct,high
10.1002/brb3.2040,non_randomized_trial,high
10.1002/ar.24953,other,high
10.1002/brb3.71428,observational,high
10.1002/alz.085905,non_randomized_trial,high
10.1002/cbdv.202403506,other,high
10.1002/bap.17,case_series,high
10.1002/biof.1726,other,high
10.1002/ccr3.72725,case_series,high
10.1002/cbl.30019,observational,high
10.1002/ccr3.6930,case_series,high
10.1002/bmc.5379,other,high
10.1002/chin.199507342,unclear,low
10.1002/cdt3.74,other,high
10.1002/clc.20227,observational,high
10.1002/clc.20962,observational,high
10.1002/cph4.70056,other,high
10.1002/cpp.1827,non_randomized_trial,high
10.1002/cpp.1906,case_series,high
10.1002/cpp.2042,case_series,high
10.1002/brb3.71513,observational,high
10.1002/cpp.2051,observational,high
10.1002/cpp.2417,non_randomized_trial,high
10.1002/cpp.2367,observational,high
10.1002/cpp.757,case_series,high
10.1002/cph4.70098,other,high
10.1002/cpp.70075,other,high
10.1002/cpp.793,rct,high
10.1002/ctm2.70346,observational,high
10.1002/cyto.b.10034,observational,high
10.1002/ehf2.12633,observational,high
10.1002/ejp.1750,observational,high
10.1002/hbm.70505,observational,high
10.1002/cncr.27612,observational,high
10.1002/ejp.701,other,high
10.1002/hup.554,unclear,low
10.1002/hep.22643,observational,high
10.1002/iid3.263,observational,high
10.1002/fsn3.70424,other,high
10.1002/hup.805,observational,high
10.1002/glia.22687,other,high
10.1002/iub.572,other,high
10.1002/fsn3.71685,other,high
10.1002/ijc.2910420526,other,high
10.1002/j.1556-6676.1998.tb02391.x,case_series,high
10.1002/jcla.10079,case_series,high
10.1002/jcb.24883,other,high
10.1002/jcla.20217,observational,high
10.1002/jcla.1860040617,case_series,high
10.1002/j.1532-2149.2013.00429.x,observational,high
10.1002/jclp.1040,other,high
10.1002/jcla.20325,case_series,high
10.1002/jclp.20676,other,high
10.1002/jclp.20827,observational,high
10.1002/jclp.20744,observational,medium
10.1002/jclp.21880,observational,high
10.1002/jclp.20648,rct,high
10.1002/jclp.22593,observational,high
10.1002/jclp.22692,observational,high
10.1002/jcsm.12896,other,high
10.1002/jcop.21984,observational,high
10.1002/jem.35,observational,high
10.1002/jev2.12403,observational,high
10.1002/jcsm.13669,other,high
10.1002/jgh3.12724,observational,high
10.1002/jmri.26247,observational,high
10.1002/jmri.25283,observational,high
10.1002/jmv.1890190302,observational,high
10.1002/jclp.20551,case_series,high
10.1002/jmv.1890330303,case_series,medium
10.1002/jmv.1890340209,observational,high
10.1002/jmv.10531,case_series,high
10.1002/jmv.1890420109,observational,high
10.1002/jmv.21873,observational,high
10.1002/jmv.23713,rct,high
10.1002/jmv.1890460404,observational,high
10.1002/jmv.24810,observational,high
10.1002/jmv.23411,case_series,high
10.1002/jmv.70769,observational,high
10.1002/jmv.28993,observational,high
10.1002/jmv.25744,observational,high
10.1002/jnr.25048,observational,high
10.1002/jnr.25392,observational,high
10.1002/jnr.25223,observational,high
10.1002/mbo3.70333,observational,high
10.1002/mnfr.200700075,other,high
10.1002/mus.20055,observational,high
10.1002/nbm.1512,observational,high
10.1002/nbm.3261,observational,high
10.1002/nbm.2772,observational,high
10.1002/nep3.70007,other,high
10.1002/nop2.70212,observational,high
10.1002/nbm.1692,observational,high
10.1002/nop2.70391,case_series,high
10.1002/nbm.3757,observational,high
10.1002/nbm.1315,observational,high
10.1002/oti.19,other,high
10.1002/oti.88,other,medium
10.1002/pcn5.70222,case_series,high
10.1002/pcn5.70111,case_series,high
10.1002/phy2.152,observational,high
10.1002/psb.1741,other,high
10.1002/pnp.109,other,medium
10.1002/pnp.698,other,high
10.1002/pmrj.12867,other,high
10.1002/rmv.70070,other,high
10.1002/rmv.2315,other,high
10.1002/sim.6579,observational,high
10.1002/smi.1233,observational,medium
10.1002/smi.1185,observational,high
10.1002/rmv.673,other,high
10.1002/sscp.70137,other,high
10.1002/tsm2.133,non_randomized_trial,medium
10.1006/bmme.1996.0012,observational,high
10.1006/bmme.1996.0036,observational,high
10.1006/clin.1996.4284,rct,high
10.1006/clin.1997.4512,case_series,high
10.1002/tre.776,other,high
10.1006/mcpr.1998.0186,case_series,high
10.1006/rtph.1996.0089,observational,high
10.1006/nimg.2002.1260,observational,high
10.1007/7854_2024_502,other,high
10.1006/clin.1998.4554,case_series,high
10.1007/7854_2022_368,other,high
10.1007/0-306-46835-2_21,unclear,high
10.1002/ptr.3499,other,high
10.1007/978-1-0716-4498-0_11,other,high
10.1007/978-1-0716-4498-0_10,other,medium
10.1007/978-1-0716-4498-0_12,case_series,medium
10.1007/978-1-0716-4498-0_13,non_randomized_trial,medium
10.1007/978-1-0716-4498-0_16,observational,high
10.1007/978-1-0716-4498-0_4,case_series,medium
10.1007/978-1-0716-4498-0_1,other,high
10.1007/978-1-0716-4498-0_5,observational,medium
10.1007/978-1-0716-4498-0_14,case_series,high
10.1007/978-1-0716-4498-0_2,case_series,high
10.1007/978-1-0716-4498-0_7,observational,high
10.1007/978-1-0716-4498-0_9,other,high
10.1007/978-1-0716-4498-0_15,other,high
10.1007/978-1-4612-4508-7_36,other,high
10.1007/978-1-4612-4508-7_61,case_series,high
10.1007/978-1-4612-4508-7_62,case_series,medium
10.1007/978-1-4612-4508-7_60,other,low
10.1006/exmp.1999.2248,case_series,high
10.1007/978-1-4612-4508-7_68,case_series,medium
10.1007/978-1-4899-1016-5_38,case_series,medium
10.1007/978-1-0716-4498-0_8,other,high
10.1007/978-1-4612-4508-7_64,other,high
10.1007/978-1-60327-343-5_8,other,high
10.1007/978-1-60327-343-5_25,other,high
10.1007/978-1-0716-4498-0_6,other,high
10.1007/978-1-4615-4709-9_90,observational,medium
10.1007/978-1-60327-571-2_21,other,low
10.1007/978-1-61779-803-0_29,other,low
10.1007/978-3-031-55529-9_20,other,high
10.1007/978-3-642-86812-2_34,other,medium
10.1007/bf00867358,case_series,high
10.1007/bf00226856,non_randomized_trial,high
10.1007/bf00920633,case_series,high
10.1007/978-1-59745-008-9_23,other,high
10.1007/bf01324655,other,high
10.1007/978-4-431-73464-2_9,unclear,high
10.1007/bf01776488,case_series,medium
10.1007/bf01541666,observational,high
10.1007/bf01826195,observational,high
10.1007/bf01796268,other,high
10.1007/bf01977671,case_series,high
10.1007/bf01875419,other,high
10.1007/bf02091794,case_series,high
10.1007/bf02207934,case_series,high
10.1007/bf02267720,observational,high
10.1007/bf02267980,non_randomized_trial,high
10.1007/bf02195983,other,high
10.1007/bf02318380,observational,high
10.1007/bf02267785,observational,high
10.1007/bf02556297,case_series,high
10.1007/bf02246661,non_randomized_trial,high
10.1007/bf02556303,observational,high
10.1007/bf02274883,case_series,high
10.1007/bf02506968,observational,high
10.1007/bf02628661,other,high
10.1007/bf02597420,observational,high
10.1007/bf02629522,observational,high
10.1007/bf02628662,case_series,high
10.1007/bf02628664,non_randomized_trial,high
10.1007/bf02688676,case_series,high
10.1007/bf02628663,non_randomized_trial,medium
10.1007/bf02691201,other,high
10.1007/bf03257157,observational,high
10.1007/bf02884843,other,high
10.1007/bf03040485,observational,high
10.1007/bf03043262,other,high
10.1007/bf03041320,case_series,high
10.1007/bf03003071,observational,high
10.1007/bf02688668,other,high
10.1007/s00018-022-04380-5,other,high
10.1007/s00018-018-2925-6,other,high
10.1007/s00052-023-00083-7,other,high
10.1007/s00011-025-02158-6,other,high
10.1007/s00103-017-2546-5,other,high
10.1007/s00109-004-0586-4,case_series,high
10.1007/s001060050275,observational,high
10.1007/s00066-026-02553-w,case_series,high
10.1007/s00112-021-01408-1,other,high
10.1007/s00108-022-01369-x,other,high
10.1007/s00112-025-02222-9,other,high
10.1007/s00115-011-3446-9,other,high
10.1007/s00112-025-02293-8,case_series,high
10.1007/s00115-022-01431-x,other,high
10.1007/s001270050266,observational,high
10.1007/s001150050045,other,high
10.1007/s00115-026-01944-9,other,high
10.1007/s00213-002-1129-8,non_randomized_trial,high
10.1007/s00213-021-05986-6,observational,high
10.1007/s00296-003-0355-7,case_series,medium
10.1007/s00296-009-1122-1,observational,high
10.1007/s00221-018-5301-8,observational,high
10.1007/s00380-009-1206-6,observational,high
10.1007/s00380-014-0510-y,observational,high
10.1007/s00210-026-05263-3,other,high
10.1007/s00393-011-0825-3,other,medium
10.1007/s00221-010-2296-1,observational,high
10.1007/s00296-014-3065-4,case_series,high
10.1007/s00380-015-0744-3,observational,high
10.1007/s00404-008-0795-0,case_series,high
10.1007/s003930050239,other,high
10.1007/s00417-013-2431-3,observational,high
10.1007/s00394-024-03546-0,rct,high
10.1007/s00406-023-01661-3,observational,high
10.1007/s00421-007-0634-1,observational,medium
10.1007/s00421-014-2910-1,observational,high
10.1007/s00429-023-02682-3,observational,high
10.1007/s00421-025-05759-5,rct,high
10.1007/s00421-018-3913-0,non_randomized_trial,high
10.1007/s00431-015-2626-1,observational,high
10.1007/s00421-010-1670-9,observational,high
10.1007/s00431-023-05351-z,case_series,high
10.1007/s00431-024-05458-x,rct,high
10.1007/s00431-026-06995-3,observational,high
10.1007/s00431-026-07125-9,case_series,high
10.1007/s00482-023-00761-2,other,medium
10.1007/s00431-013-2058-8,other,high
10.1007/s00482-026-00937-6,case_series,medium
10.1007/s00482-021-00535-8,other,high
10.1007/s00739-026-01152-9,other,high
10.1007/s00608-022-00989-8,case_series,high
10.1007/s00508-024-02372-y,other,high
10.1007/s00761-022-01102-1,other,high
10.1007/s00787-005-0493-4,observational,high
10.1007/s00787-005-0477-4,observational,high
10.1007/s00787-009-0029-4,observational,high
10.1007/s00787-021-01734-5,observational,medium
10.1007/s10067-005-1154-1,observational,high
10.1007/s007870050114,observational,high
10.1007/s00787-020-01646-w,observational,high
10.1007/s10067-006-0433-9,other,high
10.1007/s10067-010-1677-y,rct,high
10.1007/s10067-011-1702-9,observational,high
10.1007/s10067-012-1946-z,observational,high
10.1007/s10067-018-4009-2,other,high
10.1007/s10067-014-2793-x,observational,high
10.1007/s10067-013-2308-1,observational,high
10.1007/s10067-020-05528-z,other,high
10.1007/s10067-019-04447-y,case_series,high
10.1007/s10067-023-06743-0,other,high
10.1007/s10072-021-05786-y,observational,high
10.1007/s10067-009-1339-0,observational,high
10.1007/s10096-003-1062-8,rct,high
10.1007/s10096-013-1996-4,observational,high
10.1007/s10067-011-1772-8,observational,high
10.1007/s10165-010-0380-9,other,high
10.1007/s100960050420,case_series,high
10.1007/s10096-014-2095-x,observational,high
10.1007/s10165-004-0332-3,case_series,high
10.1007/s10286-008-0487-7,other,high
10.1007/s10286-002-0044-8,case_series,high
10.1007/s10286-025-01172-2,other,high
10.1007/s10354-026-01155-6,other,high
10.1007/s10354-025-01113-8,other,high
10.1007/s10464-011-9457-7,other,high
10.1007/s10566-019-09543-3,observational,high
10.1007/s10286-002-0014-1,observational,high
10.1007/s10484-022-09573-z,observational,high
10.1007/s10578-009-0147-8,case_series,high
10.1007/s10484-016-9331-3,observational,high
10.1007/s10865-008-9189-9,observational,high
10.1007/s10865-004-0004-y,observational,high
10.1007/s10865-009-9234-3,observational,high
10.1007/s10865-016-9720-3,observational,high
10.1007/s10912-016-9390-8,other,high
10.1007/s10865-019-00010-x,observational,high
10.1007/s11011-012-9324-8,other,high
10.1007/s10880-025-10074-4,observational,high
10.1007/s11011-013-9435-x,other,high
10.1007/s11011-012-9316-8,observational,high
10.1007/s11011-019-0388-6,other,high
10.1007/s11019-008-9126-2,other,high
10.1007/s11019-013-9501-5,other,high
10.1007/s10974-008-9128-y,other,high
10.1007/s11055-023-01364-1,other,medium
10.1007/s11019-020-09945-4,other,high
10.1007/s11101-022-09838-9,other,high
10.1007/s11065-005-3588-2,other,high
10.1007/s11136-004-1693-y,observational,high
10.1007/s11136-011-0048-8,observational,high
10.1007/s11064-008-9620-1,other,high
10.1007/s11136-014-0737-1,other,high
10.1007/s11136-015-1160-y,observational,high
10.1007/s11136-014-0819-0,other,high
10.1007/s11136-014-0705-9,other,high
10.1007/s11136-016-1406-3,observational,high
10.1007/s11136-011-9921-8,observational,high
10.1007/s11136-019-02289-4,observational,high
10.1007/s11136-019-02399-z,case_series,high
10.1007/s11055-010-9250-3,other,high
10.1007/s11136-019-02411-6,observational,high
10.1007/s11136-021-02919-w,observational,high
10.1007/s11136-022-03199-8,observational,high
10.1007/s11136-024-03794-x,observational,high
10.1007/s11136-024-03710-3,observational,high
10.1007/s11154-025-09996-z,other,high
10.1007/s11136-023-03498-8,observational,high
10.1007/s11306-017-1264-1,non_randomized_trial,high
10.1007/s11306-019-1620-4,observational,high
10.1007/s11325-025-03512-y,observational,high
10.1007/s11553-023-01070-3,observational,high
10.1007/s11553-023-01098-5,observational,high
10.1007/s11606-007-0140-5,observational,high
10.1007/s11606-024-09290-9,observational,high
10.1007/s11325-009-0305-z,observational,high
10.1007/s11655-020-3195-3,other,high
10.1007/s11673-018-9866-5,other,high
10.1007/s11136-024-03854-2,observational,high
10.1007/s11682-018-0029-4,observational,high
10.1007/s11682-019-00119-2,observational,high
10.1007/s11682-018-9897-x,observational,high
10.1007/s11596-010-0225-y,other,high
10.1007/s11916-000-0050-2,observational,medium
10.1007/s11845-010-0585-0,observational,high
10.1007/s11916-003-0031-3,case_series,medium
10.1007/s11920-010-0105-y,other,high
10.1007/s11920-013-0353-8,other,high
10.1007/s11916-003-0033-1,other,high
10.1007/s11926-001-0006-5,other,high
10.1007/s11926-012-0277-z,other,high
10.1007/s11926-006-0036-0,other,high
10.1007/s11926-007-0078-y,other,high
10.1007/s11926-016-0577-9,other,high
10.1007/s11926-008-0079-5,case_series,high
10.1007/s11926-017-0628-x,other,high
10.1007/s11926-019-0804-2,other,high
10.1007/s11926-019-0823-z,other,high
10.1007/s12016-020-08824-3,other,high
10.1007/s12018-026-09326-0,observational,high
10.1007/s12026-010-8165-y,other,high
10.1007/s12026-014-8604-2,case_series,high
10.1007/s12026-013-8413-z,unclear,medium
10.1007/s12026-018-9036-1,case_series,high
10.1007/s12017-010-8138-2,observational,high
10.1007/s11882-010-0106-2,other,high
10.1007/s12035-013-8477-8,other,high
10.1007/s12035-013-8553-0,other,high
10.1007/s12035-014-8705-x,other,high
10.1007/s12035-015-9262-7,other,high
10.1007/s12031-021-01845-3,other,high
10.1007/s12035-015-9090-9,other,high
10.1007/s12035-016-0170-2,other,high
10.1007/s12035-015-9392-y,other,high
10.1007/s12035-016-9975-2,other,high
10.1007/s12035-017-0598-z,other,high
10.1007/s12035-016-0334-0,case_series,high
10.1007/s12035-020-01939-w,other,high
10.1007/s12035-019-1549-7,case_series,high
10.1007/s12035-018-0928-9,other,high
10.1007/s12035-018-1354-8,observational,high
10.1007/s12035-023-03784-z,observational,high
10.1007/s12098-011-0463-4,observational,high
10.1007/s12471-016-0885-8,observational,high
10.1007/s12160-012-9381-6,rct,high
10.1007/s12192-012-0352-4,other,medium
10.1007/s12529-012-9253-2,observational,high
10.1007/s12160-012-9463-5,observational,high
10.1007/s12529-012-9273-y,observational,high
10.1007/s12529-017-9679-7,other,high
10.1007/s12529-012-9265-y,observational,high
10.1007/s12529-022-10111-8,rct,high
10.1007/s12529-018-9732-1,observational,high
10.1007/s12602-018-9397-8,other,high
10.1007/s12529-023-10254-2,other,high
10.1007/s12671-018-0945-9,observational,high
10.1007/s12272-013-0235-y,other,high
10.1007/s13142-013-0229-9,other,high
10.1007/s12529-017-9682-z,observational,high
10.1007/s13365-021-00949-1,observational,high
10.1007/s13365-021-01002-x,observational,high
10.1007/s12640-020-00231-y,other,high
10.1007/s13317-013-0051-x,other,high
10.1007/s15006-023-2894-z,observational,high
10.1007/s40124-022-00261-4,other,high
10.1007/s15010-024-02386-8,other,high
10.1007/s40258-025-01006-2,other,high
10.1007/s40264-016-0456-3,observational,high
10.1007/s40264-017-0593-3,case_series,high
10.1007/s40258-021-00635-7,other,high
10.1007/s40271-016-0171-2,observational,high
10.1007/s40271-021-00540-0,observational,high
10.1007/s40618-024-02334-1,observational,high
10.1007/s43657-022-00060-3,other,high
10.1007/s42087-020-00123-9,case_series,high
10.1007/s43440-025-00808-4,crossover,high
10.1007/s41669-018-0071-6,observational,high
10.1007/s44180-025-00227-0,other,high
10.1007/s44217-024-00282-9,observational,high
10.1007/s44470-026-00079-7,case_series,high
10.1016/0002-9343(92)90265-d,case_series,high
10.1016/0002-9343(90)90173-b,rct,high
10.1016/0002-9343(90)90172-a,rct,high
10.1016/0002-9343(91)90150-v,observational,high
10.1016/0002-9343(93)90183-p,rct,high
10.1016/0003-9993(94)90088-4,observational,high
10.1016/0002-9343(93)90310-l,observational,high
10.1016/0005-7967(94)00077-w,case_series,high
10.1016/0006-3223(92)90087-g,non_randomized_trial,high
10.1016/0006-3223(92)90187-5,case_series,high
10.1016/0006-3223(93)90100-r,observational,high
10.1016/0006-3223(94)00121-i,observational,high
10.1016/0002-9343(94)90095-7,other,high
10.1016/0006-3223(95)00131-x,non_randomized_trial,medium
10.1016/0014-5793(95)01439-x,case_series,high
10.1016/0006-3223(95)00422-x,observational,high
10.1016/0022-3956(94)90033-7,observational,high
10.1016/0022-3956(95)00040-2,observational,high
10.1016/0022-3999(94)00071-c,observational,high
10.1016/0022-3999(89)90103-7,case_series,high
10.1016/0022-3999(92)90089-k,observational,high
10.1016/0022-3999(90)90111-g,observational,high
10.1016/0022-3999(94)00125-o,observational,high
10.1016/0022-3999(94)90007-8,case_series,high
10.1016/0022-3999(94)90099-x,observational,high
10.1016/0022-3999(94)90082-5,observational,high
10.1016/0022-3999(95)00008-9,observational,high
10.1016/0022-3999(96)00036-0,observational,high
10.1016/0022-3999(95)00543-9,case_series,high
10.1016/0022-3999(96)00131-6,other,medium
10.1016/0022-510x(93)90276-5,observational,high
10.1016/0022-510x(95)00108-e,observational,high
10.1016/0091-6749(88)90933-5,case_series,medium
10.1016/0140-6736(91)91440-6,observational,high
10.1016/0140-6736(91)91371-z,rct,high
10.1016/0163-4453(91)92864-2,case_series,high
10.1016/0163-4453(92)92772-b,case_series,high
10.1016/0163-8343(94)90018-3,case_series,high
10.1016/0166-0934(88)90047-x,observational,medium
10.1016/0166-0934(96)02075-7,other,high
10.1016/0165-0327(96)00015-8,observational,high
10.1016/0166-0934(88)90050-x,case_series,medium
10.1016/0090-1229(92)90194-s,other,high
10.1016/0192-0561(95)00054-6,other,high
10.1016/0192-0561(95)00056-8,observational,high
10.1016/0277-9536(95)00124-p,observational,high
10.1016/0277-9536(93)90268-9,observational,high
10.1016/0277-9536(96)00108-6,other,high
10.1016/0306-9877(85)90053-2,case_series,low
10.1016/0304-3940(96)12559-3,case_series,high
10.1016/0306-9877(88)90146-6,case_series,medium
10.1016/0306-9877(90)90125-x,other,high
10.1016/0165-0327(95)00026-j,observational,high
10.1016/0306-9877(93)90197-x,other,high
10.1016/0306-9877(92)90184-e,case_series,high
10.1016/0306-9877(94)90046-9,case_series,high
10.1016/0306-9877(94)90049-3,other,high
10.1016/0278-5846(96)00057-7,other,high
10.1016/0306-9877(94)90097-3,other,high
10.1016/0306-9877(95)90263-5,other,high
10.1016/0306-9877(95)90515-4,other,high
10.1016/0928-0197(95)00020-9,case_series,high
10.1016/0887-2333(94)90233-x,case_series,high
10.1016/1043-4666(91)90497-2,case_series,high
10.1016/0924-9338(96)88851-1,unclear,low
10.1016/0960-5428(94)00048-s,unclear,high
10.1016/b978-0-12-801401-1.00005-0,other,high
10.1016/b978-0-443-29884-4.00007-8,other,high
10.1016/bs.irn.2019.08.002,rct,high
10.1016/j.acn.2006.07.002,other,high
10.1016/j.ajmo.2024.100085,observational,high
10.1016/j.ajp.2010.12.001,observational,high
10.1016/j.ajp.2016.06.003,other,high
10.1016/0165-0327(96)00075-4,observational,medium
10.1016/j.aap.2009.12.004,other,high
10.1016/j.amjcard.2006.10.067,observational,high
10.1016/j.amjmed.2005.06.013,observational,high
10.1016/j.amjmed.2005.07.047,crossover,high
10.1016/j.aca.2021.338678,other,high
10.1016/j.amjmed.2015.04.041,other,high
10.1016/j.amjmed.2021.10.040,observational,high
10.1016/j.amjmed.2023.09.013,observational,high
10.1016/j.amjmed.2023.06.028,case_series,high
10.1016/j.amjmed.2023.12.006,observational,high
10.1016/j.amjmed.2024.02.003,case_series,high
10.1016/j.ailsci.2025.100125,other,medium
10.1016/j.amjmed.2024.04.007,observational,high
10.1016/j.amjmed.2024.04.041,observational,high
10.1016/j.anaerobe.2013.06.002,observational,high
10.1016/j.amjmed.2024.05.020,case_series,high
10.1016/j.annepidem.2003.10.004,observational,high
10.1016/j.anai.2013.09.017,other,high
10.1016/j.annepidem.2013.04.003,other,high
10.1016/j.amjmed.2025.02.008,case_series,high
10.1016/j.annepidem.2010.12.003,observational,high
10.1016/j.anai.2023.10.032,other,high
10.1016/j.annrmp.2006.03.011,other,high
10.1016/j.apmr.2003.12.033,observational,high
10.1016/j.apmr.2010.04.020,rct,high
10.1016/j.apmr.2011.06.023,case_series,high
10.1016/j.apmr.2022.01.008,other,high
10.1016/j.annrmp.2007.03.021,other,high
10.1016/j.archger.2007.03.012,non_randomized_trial,high
10.1016/j.apunsm.2022.100379,observational,high
10.1016/j.ard.2025.05.351,crossover,high
10.1016/j.aprim.2019.04.004,other,high
10.1016/j.arcmed.2006.06.008,observational,high
10.1016/j.autneu.2004.05.001,observational,high
10.1016/j.autneu.2024.103156,other,high
10.1016/j.arcmed.2006.10.009,observational,high
10.1016/j.autneu.2024.103198,other,high
10.1016/j.autneu.2013.02.015,observational,high
10.1016/j.autrev.2008.07.026,case_series,high
10.1016/j.autneu.2025.103358,observational,high
10.1016/j.autneu.2007.08.002,observational,high
10.1016/j.autrev.2019.05.006,other,high
10.1016/j.autrev.2008.08.003,other,high
10.1016/j.autrev.2022.103129,other,high
10.1016/j.autrev.2016.02.011,other,high
10.1016/j.autrev.2020.102527,other,high
10.1016/j.autrev.2018.01.009,other,high
10.1016/j.autrev.2022.103230,other,high
10.1016/j.autrev.2023.103484,observational,high
10.1016/j.autrev.2024.103606,other,high
10.1016/j.autrev.2022.103231,unclear,high
10.1016/j.autrev.2025.103855,other,high
10.1016/j.autrev.2026.104043,other,high
10.1016/j.bbi.2003.12.011,observational,high
10.1016/j.bbi.2004.09.001,other,high
