original_url,replication_url,description,result,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_authors,replication_title,replication_journal,replication_volume,replication_issue,replication_pages,replication_year,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,original_es_r,replication_es_r,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails,field,discipline,subdiscipline,tags,validated,validated_person,replication_initiative_tag,source,explanation,replication_type,confidence
https://doi.org/10.1111/j.1467-8624.2007.00995.x,https://doi.org/10.1016/j.intell.2020.101471,Growth mindset is associated with the change of grades in a challenging educational transition.,failure,Lisa S. Blackwell; Kali H. Trzesniewski; Carol Sorich Dweck,Implicit Theories of Intelligence Predict Achievement Across an Adolescent Transition: A Longitudinal Study and an Intervention,Child Development,78,1,246,2007.0,Yue Li; Timothy C. Bates,Testing the association of growth mindset and grades across a challenging transition: Is growth mindset associated with grades?,Intelligence,81,,101471,2020.0,373.0,,,,,,,586.0,,,0.17,-0.05,,,,,social sciences,psychology,social psychology,"Intelligence-mindset, Educational attainment, Growth mindset, Challenging transitions,growth mindset",yes,forrt.org team: LK,,,,,
https://doi.org/10.1016/j.cognition.2014.08.006,https://doi.org/10.1016/j.jesp.2023.104549,Priming analytic thinking using the scrambled sentence task reduces belief in conspiracy theories,failure,Viren Swami; Martin Voracek; Stefan Stieger; Ulrich S. Tran; Adrian Furnham,Analytic thinking reduces belief in conspiracy theories,Cognition,133,3,572,2014.0,Bojana Većkalov; Vukašin Gligorić; Marija Petrović,No evidence that priming analytic thinking reduces belief in conspiracy theories: A Registered Report of high-powered direct replications of Study 2 and Study 4 from,Journal of Experimental Social Psychology,110,,104549,2023.0,112.0,,d,,,,,302.0,,d,0.22414769,0.05989229,,,,,social sciences,psychology,cognitive psychology,"analytic thinking, priming, conspiracy theory,Analytic priming",yes,forrt.org team: LK,,,,,
https://doi.org/10.1016/j.cognition.2014.08.006,https://doi.org/10.1016/j.jesp.2023.104549,Priming analytic thinking using the scrambled sentences paradigm reduces belief in conspiriacy theories,failure,Viren Swami; Martin Voracek; Stefan Stieger; Ulrich S. Tran; Adrian Furnham,Analytic thinking reduces belief in conspiracy theories,Cognition,133,3,572,2014.0,Bojana Većkalov; Vukašin Gligorić; Marija Petrović,No evidence that priming analytic thinking reduces belief in conspiracy theories: A Registered Report of high-powered direct replications of Study 2 and Study 4 from,Journal of Experimental Social Psychology,110,,104549,2023.0,140.0,,d,,,,,488.0,,d,0.20551723,0.02998651,,,,,social sciences,psychology,cognitive psychology,"analytic thinking, priming, conspiriacy theory,Analytic priming",yes,forrt.org team: LK,,,,,
https://doi.org/10.1080/08824096.2018.1525347,https://doi.org/10.1027/1864-1105/a000334,autonomy-enjoy,success,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,0.29,0.43,,,,,social sciences,psychology,social psychology,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,,,,,
https://doi.org/10.1080/08824096.2018.1525347,https://doi.org/10.1027/1864-1105/a000334,autonomy-recovery,success,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,0.27,0.64,,,,,social sciences,psychology,social psychology,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,,,,,
https://doi.org/10.1080/08824096.2018.1525347,https://doi.org/10.1027/1864-1105/a000334,autonomy-vitality,inconclusive,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,0.09,0.16,,,,,social sciences,psychology,social psychology,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,,,,,
https://doi.org/10.1080/08824096.2018.1525347,https://doi.org/10.1027/1864-1105/a000334,binge-autonomy,success,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,0.15,0.34,,,,,social sciences,psychology,social psychology,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,,,,,
https://doi.org/10.1080/08824096.2018.1525347,https://doi.org/10.1027/1864-1105/a000334,binge-enjoy,success,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,0.34,0.22,,,,,social sciences,psychology,social psychology,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,,,,,
https://doi.org/10.1080/08824096.2018.1525347,https://doi.org/10.1027/1864-1105/a000334,binge-goal conflict,success,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,0.65,0.47,,,,,social sciences,psychology,social psychology,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,,,,,
https://doi.org/10.1080/08824096.2018.1525347,https://doi.org/10.1027/1864-1105/a000334,binge-recovery,inconclusive,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,0.08,0.06,,,,,social sciences,psychology,social psychology,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,,,,,
https://doi.org/10.1080/08824096.2018.1525347,https://doi.org/10.1027/1864-1105/a000334,binge-vitality,inconclusive,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,0.07,0.02,,,,,social sciences,psychology,social psychology,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,,,,,
https://doi.org/10.1080/08824096.2018.1525347,https://doi.org/10.1027/1864-1105/a000334,goal conflict-guilt,success,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,0.47,0.19,,,,,social sciences,psychology,social psychology,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,,,,,
https://doi.org/10.1080/08824096.2018.1525347,https://doi.org/10.1027/1864-1105/a000334,guilt-enjoy,inconclusive,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,-0.04,-0.09,,,,,social sciences,psychology,social psychology,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,,,,,
https://doi.org/10.1080/08824096.2018.1525347,https://doi.org/10.1027/1864-1105/a000334,guilt-recovery,inconclusive,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,-0.11,0.07,,,,,social sciences,psychology,social psychology,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,,,,,
https://doi.org/10.1080/08824096.2018.1525347,https://doi.org/10.1027/1864-1105/a000334,guilt-vitality,inconclusive,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,-0.15,-0.07,,,,,social sciences,psychology,social psychology,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,,,,,
https://doi.org/https://doi.org/10.1037/ebs0000028,https://doi.org/10.1037/ebs0000279,"Concerns about disease, pathogens, germs can bias people toward categorizing social targets as members of an unfamiliar out-group",success,Anastasia Makhanova; Saul L. Miller; Jon K. Maner,Germs and the out-group: Chronic and situational disease concerns affect intergroup categorization.,Evolutionary Behavioral Sciences,9,1,8,2014.0,Anastasia Makhanova; Austin D. Eubanks; Jon K. Maner,"Does pathogen avoidance affect intergroup categorization? Replication of Makhanova, Miller, and Maner (2015).",Evolutionary Behavioral Sciences,17,2,171,2021.0,44.0,,etasq,,,,,489.0,,etasq,0.31622777,0.10954451,,,,,social sciences,psychology,social psychology,"pathogen avoidance, germ aversion, social categorization, ageism, minimal group,Disease Threat and Out-Group Categorization",yes,forrt.org team: LK,,,,,
https://doi.org/10.1126/science.1150952,https://doi.org/10.1037/pspa0000191,Spending money on other people leads to greater happiness than spending money on oneself (positive affect),inconclusive,Elizabeth W. Dunn; Lara B. Aknin; Michael I. Norton,Spending Money on Others Promotes Happiness,Science,319,5870,1687,2008.0,Lara B. Aknin; Elizabeth W. Dunn; Jason D. E. Proulx; Iris Lok; Michael I. Norton,Does spending money on others promote happiness?: A registered replication report.,Journal of Personality and Social Psychology,119,2,e15,2020.0,632.0,,b,,,,,5199.0,,,0.11,0.03,,,,,social sciences,psychology,social psychology,Prosocial spending,yes,forrt.org team: LK,,,,,
https://doi.org/10.1126/science.1150952,https://doi.org/10.1037/pspa0000191,Spending money on other people leads to greater happiness than spending money on oneself (positive emotion),inconclusive,Elizabeth W. Dunn; Lara B. Aknin; Michael I. Norton,Spending Money on Others Promotes Happiness,Science,319,5870,1687,2008.0,Lara B. Aknin; Elizabeth W. Dunn; Jason D. E. Proulx; Iris Lok; Michael I. Norton,Does spending money on others promote happiness?: A registered replication report.,Journal of Personality and Social Psychology,119,2,e15,2020.0,632.0,,b,,,,,5199.0,,,0.11,0.03,,,,,social sciences,psychology,social psychology,Prosocial spending,yes,forrt.org team: LK,,,,,
https://doi.org/10.1126/science.1150952,https://doi.org/10.1037/pspa0000191,Spending money on other people leads to greater happiness than spending money on oneself (retrospective positive emotion),inconclusive,Elizabeth W. Dunn; Lara B. Aknin; Michael I. Norton,Spending Money on Others Promotes Happiness,Science,319,5870,1687,2008.0,Lara B. Aknin; Elizabeth W. Dunn; Jason D. E. Proulx; Iris Lok; Michael I. Norton,Does spending money on others promote happiness?: A registered replication report.,Journal of Personality and Social Psychology,119,2,e15,2020.0,632.0,,b,,,,,5199.0,,,0.11,0.09,,,,,social sciences,psychology,social psychology,Prosocial spending,yes,forrt.org team: LK,,,,,
https://doi.org/10.1126/science.1211180,https://doi.org/10.1038/s41562-018-0399-z,Affirmative action policies promote women and do not harm effciency ,success,Loukas Balafoutas; Matthias Sutter,Affirmative Action Policies Promote Women and Do Not Harm Efficiency in the Laboratory,Science,335,6068,579,2012.0,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2,9,637,2018.0,72.0,,,,,,,243.0,,,0.277889222,0.146417424,,,,,social sciences,psychology,social psychology,"Social Science Replication Project, Science, Nature, Human Behavior",yes,forrt.org team: LKasseckert,SSRP,,,,
https://doi.org/10.1126/science.1215647,https://doi.org/10.1038/s41562-018-0399-z,Analytic thinking promotes religious disbelief,inconclusive,Will M. Gervais; Ara Norenzayan,Analytic Thinking Promotes Religious Disbelief,Science,336,6080,493,2012.0,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2,9,637,2018.0,57.0,,,,,,,531.0,,,0.289140344,-0.035470117,,,,,social sciences,psychology,social psychology,"Social Science Replication Project, Science, Nature, Human Behavior",yes,forrt.org team: LKasseckert,SSRP,,,,
https://doi.org/10.1126/science.1253932,https://doi.org/10.1038/s41562-018-0399-z,Avoiding overhead aversion in charity,success,Uri Gneezy; Elizabeth A. Keenan; Ayelet Gneezy,Avoiding overhead aversion in charity,Science,346,6209,632,2014.0,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2,9,637,2018.0,178.0,,,,,,,407.0,,,0.222969398,0.182338253,,,,,social sciences,psychology,social psychology,"Social Science Replication Project, Science, Nature, Human Behavior",yes,forrt.org team: LKasseckert,SSRP,,,,
https://doi.org/10.1126/science.1224313,https://doi.org/10.1038/s41562-018-0399-z,"Body cues, not facial expressions, discriminate between intense positive and negative emotions",success,Hillel Aviezer; Yaacov Trope; Alexander Todorov,"Body Cues, Not Facial Expressions, Discriminate Between Intense Positive and Negative Emotions",Science,338,6111,1225,2012.0,Colin F. Camerer; Anna Dreber; Felix Holzmeister; Teck‐Hua Ho; Jürgen Huber; Magnus Johannesson; Michael Kirchler; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Adam Altmejd; Nick Buttrick; Taizan Chan; Yiling Chen; Eskil Forsell; Anup Gampa; Emma Heikensten; Lily Hummer; Taisuke Imai; Siri Isaksson; Dylan Manfredi; Julia Rose; Eric‐Jan Wagenmakers; Hang Wu,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,Nature Human Behaviour,2,9,637,2018.0,15.0,,,,,,,14.0,,,0.961380601,0.828870177,,,,,social sciences,psychology,social psychology,"Social Science Replication Project, Science, Nature, Human Behavior",yes,forrt.org team: LKasseckert,SSRP,,,,
