,original_es_r,original_es_type,original_n,replication_es_r,replication_es_type,replication_n,original_doi,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_doi,replication_authors,replication_title,replication_journal,replication_volume,replication_issue,replication_pages,replication_year,discipline,description,tags,result,replication_citation_html,original_citation_html
15,0.09,beta,499.0,0.16,beta,668.0,10.1080/08824096.2018.1525347,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,10.1027/1864-1105/a000334,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,,autonomy-vitality,binge-watching; self-determination theory; media psychology; well-being,inconclusive,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>"
16,0.15,beta,499.0,0.34,beta,668.0,10.1080/08824096.2018.1525347,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,10.1027/1864-1105/a000334,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,,binge-autonomy,binge-watching; self-determination theory; media psychology; well-being,success,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>"
17,0.34,beta,499.0,0.22,beta,668.0,10.1080/08824096.2018.1525347,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,10.1027/1864-1105/a000334,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,,binge-enjoy,binge-watching; self-determination theory; media psychology; well-being,success,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>"
18,0.65,beta,499.0,0.47,beta,668.0,10.1080/08824096.2018.1525347,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,10.1027/1864-1105/a000334,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,,binge-goal conflict,binge-watching; self-determination theory; media psychology; well-being,success,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>"
19,0.08,beta,499.0,0.06,beta,668.0,10.1080/08824096.2018.1525347,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,10.1027/1864-1105/a000334,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,,binge-recovery,binge-watching; self-determination theory; media psychology; well-being,inconclusive,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>"
20,0.07,beta,499.0,0.02,beta,668.0,10.1080/08824096.2018.1525347,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,10.1027/1864-1105/a000334,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,,binge-vitality,binge-watching; self-determination theory; media psychology; well-being,inconclusive,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>"
21,0.47,beta,499.0,0.19,beta,668.0,10.1080/08824096.2018.1525347,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,10.1027/1864-1105/a000334,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,,goal conflict-guilt,binge-watching; self-determination theory; media psychology; well-being,success,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>"
22,-0.04,beta,499.0,-0.09,beta,668.0,10.1080/08824096.2018.1525347,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,10.1027/1864-1105/a000334,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,,guilt-enjoy,binge-watching; self-determination theory; media psychology; well-being,inconclusive,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>"
23,-0.11,beta,499.0,0.07,beta,668.0,10.1080/08824096.2018.1525347,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,10.1027/1864-1105/a000334,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,,guilt-recovery,binge-watching; self-determination theory; media psychology; well-being,inconclusive,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>"
24,-0.15,beta,499.0,-0.07,beta,668.0,10.1080/08824096.2018.1525347,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,10.1027/1864-1105/a000334,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,,guilt-vitality,binge-watching; self-determination theory; media psychology; well-being,inconclusive,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>"
25,0.31622777,etasq,44.0,0.10954451,etasq,489.0,https://doi.org/10.1037/ebs0000028,Anastasia Makhanova; Saul L. Miller; Jon K. Maner,Germs and the out-group: Chronic and situational disease concerns affect intergroup categorization.,Evolutionary Behavioral Sciences,9.0,1,8,2014.0,10.1037/ebs0000279,Anastasia Makhanova; Austin D. Eubanks; Jon K. Maner,"Does pathogen avoidance affect intergroup categorization? Replication of Makhanova, Miller, and Maner (2015).",Evolutionary Behavioral Sciences,17.0,2,171,2021.0,Social Psychology,"Concerns about disease, pathogens, germs can bias people toward categorizing social targets as members of an unfamiliar out-group","pathogen avoidance, germ aversion, social categorization, ageism, minimal group,Disease Threat and Out-Group Categorization",success,"<a href=""https://doi.org/10.1037/ebs0000279"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Makhanova A. <i>et al.</i> <i>Evolutionary Behavioral Sciences</i> 2021</a>","<a href=""https://doi.org/https://doi.org/10.1037/ebs0000028"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Makhanova A. <i>et al.</i> <i>Evolutionary Behavioral Sciences</i> 2014</a>"
