validated,validated_person,source,discipline,effect,tags,description,claim_text_orig,claim_statistics_orig,claim_statistics_orig_page,claim_text_orig_page,notes,contributors,date_entered,notes_validation,exclusion,es_original,es_replication,n_original,n_replication,ref_original,doi_original,refonly_original,study_original,ref_replication,doi_replication,refonly_replication,study_replication,es_orig,es_rep,es_orig_value,es_orig_estype,es_rep_value,es_rep_estype,pval_value_o,pval_type_o,pval_tails_o,pval_value_r,pval_type_r,pval_tails_r,es_orig_RRR,es_orig_RRR_estype,es_rep_RRR,es_rep_RRR_estype,osf_link,outcome,published_rep,id_sample,same_design,nesting,same_test,original_authors,study_orig,study_rep,teststatistic_orig,teststatistic_rep,p_es_orig,p_es_rep,p_n_orig,p_n_rep,p_p_orig,p_p_rep,result,preregistration,differences,vi_orig,vi_rep,ci.lower_original,ci.upper_original,ci.lower_replication,ci.upper_replication,significant_original,significant_replication,power,orig_journal,both_pdfs,ON_COS_SHEET,DOI_changed,dupl
3,"LK, FL",Individual submissions,Social Psychology,embodiment of secrets effect,,embodiment of secrets effect,,,,,,,1/1/23 0:00,"Values are the same as in the Curatescience Database but not as in papers (before: original paper d=0.78,)",,0.363345276,0.094574193,40,314,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 1",10.1037/a0027598,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. https://doi.org/10.1037/a0027598",1,Perfecto et al. (2012)  ,,Perfecto et al. (2012)  ,,d = .78 ± .62,d = .19 ± .22,0.52,r,0.19,d,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.058451823,0.606237375,-0.016280241,0.203131853,1,0,1,Journal of Experimental Psychology,0,1,10.1037/a0027598,
3,"LK, FL",Individual submissions,Social Psychology,embodiment of secrets effect,,embodiment of secrets effect,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but not as in papers (before: original paper d=0.78) but mentioned in the replication as d=0.78,,0.363345276,0.089637699,40,240,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 1",10.1037/a0027598,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. https://doi.org/10.1037/a0027598",1,"LeBel, E. P., & Wilbur, C. J. (2013). Big secrets do not necessarily cause hills to appear steeper. Psychonomic Bulletin & Review, 21(3), 696–700. https://doi.org/10.3758/s13423-013-0549-2 (Study 1)",10.3758/s13423-013-0549-2,"LeBel, E. P., & Wilbur, C. J. (2013). Big secrets do not necessarily cause hills to appear steeper. Psychonomic Bulletin & Review, 21(3), 696–700. https://doi.org/10.3758/s13423-013-0549-2",1,d = .78 ± .62,d = .18 ± .25,0.52,r,0.18,d,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.058451823,0.606237375,-0.037416925,0.213840349,1,0,1,Journal of Experimental Psychology,1,1,,
3,LK,Individual submissions,Social Psychology,embodiment of secrets effect,,embodiment of secrets effect,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but not as in papers (before: original paper d=0.78) but mentioned in the replication as d=0.79,,0.363345276,0.157990501,40,90,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 1",10.1037/a0027598,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. https://doi.org/10.1037/a0027598",1,"LeBel, E. P., & Wilbur, C. J. (2013). Big secrets do not necessarily cause hills to appear steeper. Psychonomic Bulletin & Review, 21(3), 696–700. https://doi.org/10.3758/s13423-013-0549-3 (Study 2)",10.3758/s13423-013-0549-2,"LeBel, E. P., & Wilbur, C. J. (2013). Big secrets do not necessarily cause hills to appear steeper. Psychonomic Bulletin & Review, 21(3), 696–700. https://doi.org/10.3758/s13423-013-0549-3",2,d = .78 ± .62,d = -.32 ± .41,0.52,r,-0.32,d,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.058451823,0.606237375,-0.050761449,0.353515156,1,0,0.973,Journal of Experimental Psychology,1,1,,
3,LK,Individual submissions,Social Psychology,embodiment of secrets effect,,embodiment of secrets effect,,,,,,,1/1/23 0:00,"Values are the same as in the Curatescience Database but not as in papers (before: original paper d=0.78,)",,0.363345276,0.039968038,40,100,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 1",10.1037/a0027598,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. https://doi.org/10.1037/a0027598",1,"Pecher, D., Van Mierlo, H., Cañal‐Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72. https://doi.org/10.1037/xge0000090 (Study 1)",10.1037/xge0000090,"Pecher, D., Van Mierlo, H., Cañal‐Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72. https://doi.org/10.1037/xge0000090",1,d = .78 ± .62,d = .08 ± .39,0.52,r,0.08,d,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.058451823,0.606237375,-0.157688001,0.234544874,1,0,0.983,Journal of Experimental Psychology,1,1,,
3,LK,Individual submissions,Social Psychology,embodiment of secrets effect,,embodiment of secrets effect,,,,,,,1/1/23 0:00,"Values are the same as in the Curatescience Database but not as in papers (before: original paper d=0.78,)",,0.363345276,0.10442593,40,100,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 1",10.1037/a0027598,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. https://doi.org/10.1037/a0027598",1,"Pecher, D., Van Mierlo, H., Cañal‐Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72. https://doi.org/10.1037/xge0000091 (Study 2)",10.1037/xge0000090,"Pecher, D., Van Mierlo, H., Cañal‐Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72. https://doi.org/10.1037/xge0000091",2,d = .78 ± .62,d = .21 ± .39,0.52,r,0.21,d,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.058451823,0.606237375,-0.093918565,0.294797415,1,0,0.983,Journal of Experimental Psychology,1,1,,
3,LK,Individual submissions,Social Psychology,embodiment of secrets effect,,embodiment of secrets effect,,,,,,,1/1/23 0:00,"Values are the same as in the Curatescience Database but not as in papers (before: original paper d=0.81,)",,0.375382368,0.153170954,36,60,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 2",10.1037/a0027598,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. https://doi.org/10.1037/a0027598",2,Cobb et al. (2014) ,,Cobb et al. (2014) ,,d = .81 ± .73,d = .31 ± .52,0.46,r,0.31,d,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.053436805,0.626637127,-0.104831035,0.391854896,1,0,0.913,Journal of Experimental Psychology,0,1,,
3,LK,Individual submissions,Social Psychology,embodiment of secrets effect,,embodiment of secrets effect,,,,,,,1/1/23 0:00,"Values are the same as in the Curatescience Database but not as in papers (before: original paper d=0.81,)",,0.375382368,0.10442593,36,118,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. Study 2",10.1037/a0027598,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619. https://doi.org/10.1037/a0027598",2,"Pecher, D., Van Mierlo, H., Cañal‐Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72. https://doi.org/10.1037/xge0000090 (Study 3)",10.1037/xge0000090,"Pecher, D., Van Mierlo, H., Cañal‐Bruland, R., & Zeelenberg, R. (2015). The burden of secrecy? No effect on hill slant estimation and beanbag throwing. Journal of Experimental Psychology: General, 144(4), e65–e72. https://doi.org/10.1037/xge0000090",3,d = .81 ± .73,d = .21 ± .36,0.46,r,0.21,d,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.053436805,0.626637127,-0.077802015,0.27990187,1,0,0.995,Journal of Experimental Psychology,1,1,,
3,LK,Individual submissions,Social Psychology,honesty priming,,honesty priming,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but have not been cross-checked with original papers,,0.517637881,0.089637699,62,149,"Rasinski, K. A., Visser, P. S., Zagatsky, M., & Rickett, E. M. (2005). Using implicit goal priming to improve the quality of self-report data. Journal of Experimental Social Psychology, 41(3), 321-327.",10.1016/j.jesp.2004.07.001,"Rasinski, K. A., Visser, P. S., Zagatsky, M., & Rickett, E. M. (2005). Using implicit goal priming to improve the quality of self-report data. Journal of Experimental Social Psychology, 41(3), 321-327. https://doi.org/10.1016/j.jesp.2004.07.001",,"Pashler, H., Rohrer, D., & Harris, C. R. (2013). Can the goal of honesty be primed? Journal of Experimental Social Psychology, 49(6), 959–964. https://doi.org/10.1016/j.jesp.2013.05.011 (Study 1)",10.1016/j.jesp.2013.05.011,"Pashler, H., Rohrer, D., & Harris, C. R. (2013). Can the goal of honesty be primed? Journal of Experimental Social Psychology, 49(6), 959–964. https://doi.org/10.1016/j.jesp.2013.05.011",1,d = 1.21 ± .55,d = .18 ± .33,1.21,d,0.18,d,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.307644933,0.679547711,-0.072202968,0.2468792,1,0,1,Journal of Experimental Psychology,1,1,10.1016/j.jesp.2004.07.001,
3,LK,Individual submissions,Social Psychology,honesty priming,,honesty priming,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but have not been cross-checked with original papers,,0.517637881,0.064863121,62,152,"Rasinski, K. A., Visser, P. S., Zagatsky, M., & Rickett, E. M. (2005). Using implicit goal priming to improve the quality of self-report data. Journal of Experimental Social Psychology, 41(3), 321-327.",10.1016/j.jesp.2004.07.001,"Rasinski, K. A., Visser, P. S., Zagatsky, M., & Rickett, E. M. (2005). Using implicit goal priming to improve the quality of self-report data. Journal of Experimental Social Psychology, 41(3), 321-327. https://doi.org/10.1016/j.jesp.2004.07.001",,"Pashler, H., Rohrer, D., & Harris, C. R. (2013). Can the goal of honesty be primed? Journal of Experimental Social Psychology, 49(6), 959–964. https://doi.org/10.1016/j.jesp.2013.05.012 (Study 2)",10.1016/j.jesp.2013.05.011,"Pashler, H., Rohrer, D., & Harris, C. R. (2013). Can the goal of honesty be primed? Journal of Experimental Social Psychology, 49(6), 959–964. https://doi.org/10.1016/j.jesp.2013.05.012",2,d = 1.21 ± .55,d = -.13 ± .33,1.21,d,-0.13,d,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.307644933,0.679547711,-0.095321899,0.221773731,1,0,1,Journal of Experimental Psychology,1,1,,
3,LK,Individual submissions,Social Psychology,honesty priming,,honesty priming,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but have not been cross-checked with original papers,,0.517637881,0.069829128,62,151,"Rasinski, K. A., Visser, P. S., Zagatsky, M., & Rickett, E. M. (2005). Using implicit goal priming to improve the quality of self-report data. Journal of Experimental Social Psychology, 41(3), 321-327.",10.1016/j.jesp.2004.07.001,"Rasinski, K. A., Visser, P. S., Zagatsky, M., & Rickett, E. M. (2005). Using implicit goal priming to improve the quality of self-report data. Journal of Experimental Social Psychology, 41(3), 321-327. https://doi.org/10.1016/j.jesp.2004.07.001",,"Pashler, H., Rohrer, D., & Harris, C. R. (2013). Can the goal of honesty be primed? Journal of Experimental Social Psychology, 49(6), 959–964. https://doi.org/10.1016/j.jesp.2013.05.013 (Study 3)",10.1016/j.jesp.2013.05.011,"Pashler, H., Rohrer, D., & Harris, C. R. (2013). Can the goal of honesty be primed? Journal of Experimental Social Psychology, 49(6), 959–964. https://doi.org/10.1016/j.jesp.2013.05.013",3,d = 1.21 ± .55,d = -.14 ± .32,1.21,d,-0.14,d,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.307644933,0.679547711,-0.090913365,0.227025427,1,0,1,Journal of Experimental Psychology,1,1,,
3,LK,Individual submissions,Social Psychology,honesty priming,,honesty priming,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but have not been cross-checked with original papers,,0.517637881,0.019996001,62,153,"Rasinski, K. A., Visser, P. S., Zagatsky, M., & Rickett, E. M. (2005). Using implicit goal priming to improve the quality of self-report data. Journal of Experimental Social Psychology, 41(3), 321-327.",10.1016/j.jesp.2004.07.001,"Rasinski, K. A., Visser, P. S., Zagatsky, M., & Rickett, E. M. (2005). Using implicit goal priming to improve the quality of self-report data. Journal of Experimental Social Psychology, 41(3), 321-327. https://doi.org/10.1016/j.jesp.2004.07.001",,"Pashler, H., Rohrer, D., & Harris, C. R. (2013). Can the goal of honesty be primed? Journal of Experimental Social Psychology, 49(6), 959–964. https://doi.org/10.1016/j.jesp.2013.05.014 (Study 4)",10.1016/j.jesp.2013.05.011,"Pashler, H., Rohrer, D., & Harris, C. R. (2013). Can the goal of honesty be primed? Journal of Experimental Social Psychology, 49(6), 959–964. https://doi.org/10.1016/j.jesp.2013.05.014",4,d = 1.21 ± .55,d = .04 ± .32,1.21,d,0.04,d,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.307644933,0.679547711,-0.139123556,0.178109003,1,0,1,Journal of Experimental Psychology,1,1,,
3,LK,Individual submissions,Social Psychology,Macbeth effect,,Macbeth effect ([im]moral act…,,,,,,,1/1/23 0:00,"Reproduction yielded phi = .05 (it said 0.03 before), see also https://osf.io/n7wsu",,0.38,0.05,32,210,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. Study 3 ",10.1126/science.1130726,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. https://doi.org/10.1126/science.1130726",3,"Fayard, Jennifer & Bassi, Aman & Bernstein, Daniel & Roberts, Brent. (2009). Is cleanliness next to godliness? Dispelling old wives' tales: Failure to replicate Zhong and Liljenquist (2006). J. Articles Support Null Hypothesis. 6. (Study 1)",,"Fayard, J. V., Bassi, A. K., Bernstein, D. M., & Roberts, B. W. (2009). Is cleanliness next to godliness? Dispelling old wives' tales: Failure to replicate Zhong and Liljenquist (2006). Journal of Articles in Support of the Null Hypothesis, 6(2).",1,r = .38 ± .30,r = .03 ± .14,0.38,r,0.03,r,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.036087797,0.643436277,-0.105820245,0.164721382,1,0,1,Science,0,1,10.1126/science.1130726,
3,LK,Individual submissions,Social Psychology,Macbeth effect,,Macbeth effect ([im]moral act…,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but have not been cross-checked with original papers,,0.38,0.15,32,45,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. Study 3 ",10.1126/science.1130726,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. https://doi.org/10.1126/science.1130726",3,"Gámez, E., Díaz, J. a. Á., & Marrero, H. (2011). The Uncertain Universality of the Macbeth Effect with a Spanish Sample. The Spanish Journal of Psychology, 14(1), 156–162. https://doi.org/10.5209/rev_sjop.2011.v14.n1.13 (Study 3)",10.5209/rev_sjop.2011.v14.n1.13,"Gámez, E., Díaz, J. a. Á., & Marrero, H. (2011). The Uncertain Universality of the Macbeth Effect with a Spanish Sample. The Spanish Journal of Psychology, 14(1), 156–162. https://doi.org/10.5209/rev_sjop.2011.v14.n1.13",3,r = .38 ± .30,r = .15 ± .29,0.38,r,0.15,r,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.036087797,0.643436277,-0.1501448,0.424828669,1,0,0.836,Science,1,1,,
3,LK,Individual submissions,Social Psychology,Macbeth effect,,Macbeth effect ([im]moral act text…,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but have not been cross-checked with original papers,,0.45,0.04,27,36,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. Study 2",10.1126/science.1130726,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. https://doi.org/10.1126/science.1130726",2,"Gámez, E., Díaz, J. a. Á., & Marrero, H. (2011). The Uncertain Universality of the Macbeth Effect with a Spanish Sample. The Spanish Journal of Psychology, 14(1), 156–162. https://doi.org/10.5209/rev_sjop.2011.v14.n1.13 (Study 2)",10.5209/rev_sjop.2011.v14.n1.13,"Gámez, E., Díaz, J. a. Á., & Marrero, H. (2011). The Uncertain Universality of the Macbeth Effect with a Spanish Sample. The Spanish Journal of Psychology, 14(1), 156–162. https://doi.org/10.5209/rev_sjop.2011.v14.n1.13",2,r = .45 ± .31,r = .04 ± .33,0.45,r,0.04,r,,,,,,,,,,,,no signal - inconsistent (imprecise),,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.084422877,0.708804023,-0.292378003,0.363755471,1,0,0.881,Science,1,1,,
3,LK,Individual submissions,Social Psychology,Macbeth effect,,Macbeth effect ([im]moral act text…,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but have not been cross-checked with original papers,,0.45,-0.04,27,335,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. Study 2",10.1126/science.1130726,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. https://doi.org/10.1126/science.1130726",2,Siev (2012) Study 1  ,,Siev (2012) Study 1  ,,r = .45 ± .31,r = -.04 ± .11,0.45,r,-0.04,r,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.084422877,0.708804023,-0.146526002,0.067443108,1,0,1,Science,0,1,,
3,LK,Individual submissions,Social Psychology,Macbeth effect,,Macbeth effect ([im]moral act text…,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but have not been cross-checked with original papers,,0.45,-0.09,27,148,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. Study 2",10.1126/science.1130726,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. https://doi.org/10.1126/science.1130726",2,Siev (2012) Study 2   ,,Siev (2012) Study 2   ,,r = .45 ± .31,r = -.09 ± .16,0.45,r,-0.09,r,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.084422877,0.708804023,-0.247746331,0.072395087,1,0,1,Science,0,1,,
3,LK,Individual submissions,Social Psychology,Macbeth effect,,Macbeth effect ([im]moral act text…,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but have not been cross-checked with original papers,,0.45,0,27,153,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. Study 2",10.1126/science.1130726,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. https://doi.org/10.1126/science.1130726",2,"Earp, B. D., Everett, J. a. C., Madva, E. N., & Hamlin, J. K. (2014). Out, damned spot: Can the “Macbeth effect” be replicated? Basic and Applied Social Psychology, 36(1), 91–98. https://doi.org/10.1080/01973533.2013.856792 ",10.1080/01973533.2013.856792,"Earp, B. D., Everett, J. a. C., Madva, E. N., & Hamlin, J. K. (2014). Out, damned spot: Can the “Macbeth effect” be replicated? Basic and Applied Social Psychology, 36(1), 91–98. https://doi.org/10.1080/01973533.2013.856792 ",,r = .45 ± .31,r = .00 ± .16,0.45,r,0,r,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.084422877,0.708804023,-0.158678128,0.158678128,1,0,1,Science,1,1,,
3,LK,Individual submissions,Social Psychology,Macbeth effect,,Macbeth effect ([im]moral act text…,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but have not been cross-checked with original papers,,0.45,-0.07,27,156,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. Study 2",10.1126/science.1130726,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. https://doi.org/10.1126/science.1130726",2,"Earp, B. D., Everett, J. a. C., Madva, E. N., & Hamlin, J. K. (2014). Out, damned spot: Can the “Macbeth effect” be replicated? Basic and Applied Social Psychology, 36(1), 91–98. https://doi.org/10.1080/01973533.2013.856792",10.1080/01973533.2013.856792,"Earp, B. D., Everett, J. a. C., Madva, E. N., & Hamlin, J. K. (2014). Out, damned spot: Can the “Macbeth effect” be replicated? Basic and Applied Social Psychology, 36(1), 91–98. https://doi.org/10.1080/01973533.2013.856792",,r = .45 ± .31,r = -.07 ± .16,0.45,r,-0.07,r,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.084422877,0.708804023,-0.224669421,0.088109948,1,0,1,Science,1,1,,
3,LK,Individual submissions,Social Psychology,Macbeth effect,,Macbeth effect ([im]moral act text…,,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but have not been cross-checked with original papers,,0.45,-0.11,27,286,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. Study 2",10.1126/science.1130726,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. https://doi.org/10.1126/science.1130726",2,"Earp, B. D., Everett, J. a. C., Madva, E. N., & Hamlin, J. K. (2014). Out, damned spot: Can the “Macbeth effect” be replicated? Basic and Applied Social Psychology, 36(1), 91–98. https://doi.org/10.1080/01973533.2013.856792",10.1080/01973533.2013.856792,"Earp, B. D., Everett, J. a. C., Madva, E. N., & Hamlin, J. K. (2014). Out, damned spot: Can the “Macbeth effect” be replicated? Basic and Applied Social Psychology, 36(1), 91–98. https://doi.org/10.1080/01973533.2013.856792",,r = .45 ± .31,r = -.11 ± .11,0.45,r,-0.11,r,,,,,,,,,,,,"signal - inconsistent, opposite",,,,,,,,,,,,,,,,,success,,,,,0.084422877,0.708804023,-0.223136634,0.006060776,1,0,1,Science,1,1,,
3,LK,Individual submissions,Social Psychology,Macbeth effect,,Macbeth effect (physical cleansing),,,,,,,1/1/23 0:00,"If the effect is based on eta = .01 it should say r = 0.1 instead of r = .01, see also https://osf.io/n7wsu",,0.33,0.1,45,115,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. Study 4",10.1126/science.1130726,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. https://doi.org/10.1126/science.1130726",4,"Fayard, Jennifer & Bassi, Aman & Bernstein, Daniel & Roberts, Brent. (2009). Is cleanliness next to godliness? Dispelling old wives' tales: Failure to replicate Zhong and Liljenquist (2006). J. Articles Support Null Hypothesis. 6. (Study 2)",,"Fayard, J. V., Bassi, A. K., Bernstein, D. M., & Roberts, B. W. (2009). Is cleanliness next to godliness? Dispelling old wives' tales: Failure to replicate Zhong and Liljenquist (2006). Journal of Articles in Support of the Null Hypothesis, 6(2).",2,r = .33 ± .26,r = .01 ± .18,0.33,r,0.01,r,,,,,,,,,,,,no signal - inconsistent,,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.040377282,0.568468531,-0.173428039,0.192757515,1,0,0.977,Science,0,1,,
3,LK,Individual submissions,Social Psychology,Macbeth effect,,Macbeth effect (physical cleansing),,,,,,,1/1/23 0:00,Values are the same as in the Curatescience Database but have not been cross-checked with original papers,,0.33,0.19,45,28,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. Study 4",10.1126/science.1130726,"Zhong, C. B., & Liljenquist, K. (2006). Washing away your sins: Threatened morality and physical cleansing. Science, 313(5792), 1451-1452. https://doi.org/10.1126/science.1130726",4,"Gámez, E., Díaz, J. a. Á., & Marrero, H. (2011). The Uncertain Universality of the Macbeth Effect with a Spanish Sample. The Spanish Journal of Psychology, 14(1), 156–162. https://doi.org/10.5209/rev_sjop.2011.v14.n1.13 (Study 3)",,"Gámez, E., Díaz, J. a. Á., & Marrero, H. (2011). The Uncertain Universality of the Macbeth Effect with a Spanish Sample. The Spanish Journal of Psychology, 14(1), 156–162. https://doi.org/10.5209/rev_sjop.2011.v14.n1.13",3,r = .33 ± .26,r = .19 ± .36,0.33,r,0.19,r,,,,,,,,,,,,no signal - consistent (imprecise),,,,,,,,,,,,,,,,,informative failure to replicate,,,,,0.040377282,0.568468531,-0.197044341,0.525805414,1,0,0.541,Science,0,1,,
