Name,Field,Publication_Year,N_original_experimental_effects,N_successful,Replication_rate_%,Effect size decline,Relative_effect_size_%,Info URL,Paper / PDF URL,Description,tag,selection_design,sampling_frame,rate_is_population_estimate,success_criterion,unit_of_analysis,post_commitment_attrition_pct,schema_source,construct,excluded_from_pooled_rates,exclusion_reason
Amgen's replication report,Cancer biology/ oncology,2012,6,53,11,,,,https://www.nature.com/articles/483531a,"Over the course of ten years, scientists in the haematology and oncology department of Amgen tried to confirm published findings in preclinical oncology that were related to their work. In a 2012 commentary in <i>Nature</i> they reported they could only reproduce 6/53 findings (11%). A finding was considered non-reproduced if the finding was ""not sufficiently robust to drive a drug-development program"". ",,impact_selected,Landmark haematology/oncology papers selected internally for drug-programme relevance,no,program_viability,paper,,"Begley & Ellis 2012 Nature; criterion is commercial programme viability, not statistical",new_data_replication,no,
Bayer Healthcare's replication report,Cancer biology/ oncology,2011,67,33,~33,,,,https://www.nature.com/articles/nrd3439-c1,"""In a correspondence in <i>Nature Reviews Drug Discovery</i>, three researchers at Bayer Healthcare reported the results of a survey of 23 scientists in their oncology division. They found that across 67 replication attempts, only ""~20-25%"" yielded results that closely matched the published findings. They reported that 'In almost two-thirds of the projects, there were inconsistencies between published data and in-house data that either considerably prolonged the duration of the target validation process or, in most cases, resulted in termination of the projects because the evidence that was generated for the therapeutic hypothesis was insufficient to justify further investments into these projects.'""",,impact_selected,In-house target-validation projects selected for drug-discovery relevance,no,program_viability,paper,,Prinz et al. 2011 Nat Rev Drug Discov,new_data_replication,no,
Boyce et al. – Student Replication Projects,Psychology,2023,176,86,49,54,46,,https://royalsocietypublishing.org/doi/10.1098/rsos.231240,"A dataset of 176 replications conducted by graduate students in a methods course over eleven years. Replication statistics: 176 replications attempted; 49% judged successful. Of the 136 replications where effect sizes could be numerically compared, only 46% had point estimates within the prediction interval of the original outcome (versus the expected 95%). Key findings: Larger original effect sizes and within-participants designs were associated with replication success, indicating low robustness in the psychology literature.",SRP,replicator_self_selected,Studies chosen by student replicators on interest and feasibility - the structural twin of MO's literature harvest,no,sig_same_direction,effect,,Boyce et al. 2023 R Soc Open Sci,new_data_replication,no,
Motoki and Iseki – Sensory Marketing Replication,Psychology,2022,10,2,20,50,50,,https://www.frontiersin.org/journals/communication/articles/10.3389/fcomm.2022.1048896/full,"A pre-registered replication of ten influential sensory marketing studies conducted online with non-WEIRD (non-Western) consumers in Japan. Replication statistics: 10 studies attempted; 2 successfully replicated (20% replication rate). Key findings: Effect sizes were approximately half of original values. Successful replications involved sound symbolism studies with within-participants designs and larger original sample sizes. No studies involving visual factors, between-participant manipulation, or interactions between factors could be replicated.",SMR,domain_purposive,"Sensory-marketing effects, conceptual replications in a non-WEIRD (Japanese) sample",no,sig_same_direction,effect,,Motoki & Iseki 2022,new_data_replication,no,
Soto – Life Outcomes of Personality Replication Project,Psychology,2019,78,68,87,23,77,,https://doi.org/10.1177/0956797619831612,"A preregistered, high-powered (median N = 1,504) replication of 78 previously published associations between Big Five personality traits and consequential life outcomes. Replication statistics: 78 trait-outcome associations attempted; 68 successfully replicated (87% replication rate). Key findings: 87% of replication attempts were statistically significant in the expected direction. Replication effect sizes were typically 77% as strong as the corresponding original effects, representing a significant but modest decline. Replicability of individual effects was predicted by the effect size and design of the original study, as well as the sample size and statistical power of the replication. These results indicate the personality-outcome literature provides a reasonably accurate map of trait-outcome associations.",Soto et al LOPPRP,domain_purposive,78 personality-outcome correlations replicated in a single large online sample,no,sig_same_direction,effect,,Soto 2019 Psych Science,new_data_replication,no,
Many Labs 5,Psychology,2020,10,1,10,78,22,https://osf.io/7a6rd/overview,https://doi.org/10.1177/2515245920958687,"A follow-up to the Reproducibility Project: Psychology (RP:P) that selected 10 RP:P replication studies for which original authors had expressed concerns about the replication designs. The team revised protocols with formal pre-data-collection peer review and re-ran replications across multiple laboratories (median 6.5 labs per study, median total sample 1,279.5). Key findings: revised protocols produced effect sizes similar to the original RP:P protocols (median r = .05 vs .04). The median effect size across all three replication attempts (r = .07) was 78% smaller than the original effect sizes (median r = .37), with only 1 of 10 studies yielding a statistically significant effect.",ML5,contested_selected,RP:P protocols where original authors objected - conditioned on prior replication failure,no,sig_same_direction,lab_by_effect,,Ebersole et al. 2020; conditional on prior failure by construction,new_data_replication,no,
Estimating the Replicability of Sports and Exercise Science Research,Sports and Exercise Science,2025,25,7,28,,,https://doi.org/10.1007/s40279-025-02201-w,https://doi.org/10.1007/s40279-025-02201-w,"This study aimed to provide an initial estimate of the replicability of applied sports and exercise science research published in quartile 1 journals (SCImago journal ranking for 2019 in the Sports Science subject category) between 2016 and 2021. A formalised selection protocol was previously published. Voluntary collaborators were recruited, and studies were allocated in a stratified and randomised manner on the basis of equipment and expertise. Original authors were contacted to provide deidentified raw data, to review preregistrations and to provide methodological clarifications. In total, 25 replication studies were included for analysis. Of the 25, 10 replications used paired t tests, 1 used an independent t test and 14 used an analysis of variance (ANOVA) for the statistical analyses. In all, 7 (28%) studies demonstrated robust replicability, meeting all three validation criteria: achieving statistical significance (p<0.05) in the same direction as the original study and showing compatible effect size magnitudes as per the Z test (p>0.05). Key findings: There was a substantial decrease in published effect size estimate magnitudes when replicated; therefore, sports and exercise science researchers should consider effect size uncertainty when conducting subsequent power analyses. Additionally, there were many barriers to conducting the replication studies, e.g., original author communication and poor data and reporting transparency.",RSESR,random_frame,Q1 SCImago sports/exercise science journals 2016-2021; stratified/randomised allocation by equipment and expertise,yes,sig_same_direction,effect,,Murphy et al. 2025 Sports Med,new_data_replication,no,
Social Psychology Special Issue on Registered Replication Reports,Psychology,2014,44,14,31.8,,,,https://doi.org/10.1027/1864-9335/a000192,"A groundbreaking special issue in <i>Social Psychology</i> that pioneered the Registered Reports format for replication studies, edited by Brian A. Nosek and Daniël Lakens. Replication statistics: 14 replication articles published using the registered reports format. The special issue featured replications of classic textbook studies and high-impact contemporary research, including studies on social cognition, moral psychology, embodied cognition, and social exclusion. Key innovations: All studies were preregistered before data collection, with proposals, anonymized data, and study materials registered at the Open Science Framework (OSF). Each article disclosed all conditions, measures, data exclusions, and sample size determinations. The issue demonstrated multiple approaches to impactful replication research: validating classic findings with modern methods, investigating boundary conditions of recent high-impact studies, and resolving contradictory findings in the literature. Results varied across studies, with some classic effects replicating robustly while others showed surprising failures or revealed important moderators. This special issue established a methodological template for transparent, preregistered replication research that has since been adopted widely across psychological science.",SPRRR,replicator_self_selected,Proposers self-select which effects to submit for registered replication,no,sig_same_direction,effect,,Social Psychology 2014 special issue,new_data_replication,no,
Clearer Thinking's Transparent Replication Project,Psychology,ONGOING,12,10,83,,,https://replications.clearerthinking.org,,"An ongoing rapid replication initiative by Clearer Thinking that conducts independent replications of recently published psychology and human behavior studies from top journals. Unlike other replication projects that focus on older or prominent findings, Transparent Replications randomly selects recent papers from top journals to provide quick feedback on the reliability of new results. Studies are rated on three criteria: Transparency (availability of materials, data, code, and pre-registration adherence; avg 4.1/5), Replicability (proportion of main findings that replicate; avg 4.1/5), and Clarity (likelihood a reader comes away with an accurate impression; avg 3.1/5). Replication statistics (preliminary): 12 replication reports completed; 10 completely or mostly replicated (83% replication rate), substantially higher than the 55% predicted by surveyed psychology experts. Key findings: No clear instances of p-hacking were found in the first 12 replications, suggesting that p-hacking may now be substantially less common than it was 15 years ago. However, the project identified 'Importance Hacking' — obscuring or exaggerating the meaning of results to make them appear more valuable — as a widespread issue affecting most papers, representing what they consider the next major frontier for improving research quality.",TRs,random_frame,Recent papers from selected high-profile journals; ongoing and preliminary,no,subjective_rating,paper,,"Clearer Thinking Transparent Replications; n=12, subjective 1-5 scoring",new_data_replication,no,
Tyner et al. – DARPA SCORE Social & Behavioural Sciences Replication Project,Social Science,2026,274,151,55,82,40,https://doi.org/10.1038/s41586-025-10078-y,https://doi.org/10.1038/s41586-025-10078-y,"A large-scale, high-powered systematic replication effort conducted as part of the Defense Advanced Research Projects Agency (DARPA) Systematizing Confidence in Open Research and Evidence (SCORE) program. The project replicated 274 quantitative claims drawn from 164 papers published in 54 social and behavioural science journals between 2009 and 2018, spanning six disciplines: business, economics, education, political science, psychology, and sociology. Replications were pre-registered, peer-reviewed, and designed to detect the original effect size with high power (median 99.6%). Replication statistics: 274 claims attempted across 164 papers; 151 claims (55.1%, 95% CI 49.2–60.9%) showed statistically significant results in the same direction as the original finding. At the paper level, 80.8 of 164 papers (49.3%, 95% CI 43.8–54.7%) replicated. Key findings: Replication rates ranged from 42.5% to 63.1% across disciplines. The median Pearson's <i>r</i> effect size was 0.25 in original studies and 0.10 in replications — an 82.4% reduction in shared variance. Thirteen different replication success metrics were applied, yielding success rates ranging from 28.6% to 74.8% (median 49.3%), illustrating the sensitivity of conclusions to the chosen metric.",socsci_2026,random_frame,"Claims drawn from ~3,900 papers across 62 social/behavioural science journals 2009-2018; ~5% went to replication",yes,sig_same_direction,claim,,Tyner et al. 2026; VERIFY: confirm draw was random not feasibility-driven (check supplement) - if feasibility-driven downgrade to quasi_random_frame_feasibility,new_data_replication,no,
International Initiative for Impact Evaluation Replication Paper Series,Economics / public health,ONGOING,,,,,,https://www.3ieimpact.org/evidence-hub/publications/replication-papers,,"A publication and dissemination outlet for internal replication studies of development impact evaluations, run by the International Initiative for Impact Evaluation (3ie) — the global leader in funding, producing, and synthesising high-quality evidence on what works in international development. Internal replications reanalyse data from an original paper to validate its results; the series publishes studies that either reinforce or challenge original findings. To be eligible, a replication must cover a paper in 3ie's Impact Evaluation Repository and must include a pure replication component. 3ie invites formal replies from original authors, published alongside the replication. The programme also funds external replication studies of influential, innovative, or counterintuitive development impact evaluations through periodic grant-making windows. Topics covered include cash transfers, mobile money, land titling, HIV/AIDS interventions, food assistance, and governance reforms in low- and middle-income countries.",3ie,replicator_self_selected,Reanalysis of existing datasets from development impact evaluations; replicators propose targets,no,author_judgment,paper,,3ie Replication Paper Series; reanalysis not new data collection - different construct,reanalysis_reproducibility,yes,"Reanalysis of the original authors' existing datasets (reproducibility), not new data collection (replicability) - a different construct. DB rows score 9/9 = 100%, which a re-run of the original data largely guarantees. NOTE: its 10 DB rows are also coded replication_type='direct', which is a mislabel for a reanalysis."
Sobkow et al. – Fifteen JDM Effects Conceptual Replication (Polish Sample),Psychology,2022,15,7,47,,,https://osf.io/6sq8p/,https://doi.org/10.24425/ppb.2022.141862,"A pre-registered conceptual replication project in which fifteen research teams of undergraduate psychology students at SWPS University (Wroclaw, Poland), coordinated by Agata Sobkow and Jakub Traczyk, replicated 15 classical and modern judgment and decision making (JDM) effects — including anchoring, framing, sunk cost, and less-is-better — adapted to the Polish language, currency, and the COVID-19 pandemic context. All effects were tested in a single online battery completed by 202 Polish Prolific users. Replication statistics: 15 effects attempted; 7 successfully replicated (47% replication rate), 5 partially replicated (33%), and 3 not replicated (20%). Key findings: well-established effects (sunk cost, anchoring, attribute framing, less-is-better) and individual-difference effects largely replicated despite substantial adaptations of materials, while the Tversky & Kahneman (1981) jacket-calculator framing problem and the effort–luxury reward preference effect (Kivetz & Simonson, 2002) failed to replicate, the latter reversing significantly in one scenario. The authors note their replication rate is slightly above earlier comparable projects and stress the role of open data, open materials, and pre-registration in improving replicability in JDM.",JDM:PL,domain_purposive,"Fifteen JDM effects, conceptual replication with Polish-adapted materials",no,sig_same_direction,effect,,Sobkow et al. 2022,new_data_replication,no,
