"description","tags","osf_link","result","ref_original","ref_replication"
"“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived honesty.(Honest vs. Dishonest)","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Failure","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived strength.(Strong vs. Weak)","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Failure (reversal)","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more imaginative.(Imaginative vs. Hard-headed)","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more altruistic.(Altruistic vs. Self-centred)","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived restraint.(Talkative vs. Restrained)","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Failure (reversal)","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived physical attractiveness. (Good-looking vs Unattractive)","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","OS not significant","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more humane. (Humane vs. Ruthless)","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived reliability. (Reliable vs. Unreliable)","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Failure (reversal)","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more popular.(Popular vs. Unpopular)","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more sociable (Sociable vs. Unsociable).","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more humorous (Humorous vs. Humourless).","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more good-natured (Good-natured vs. Irritable)","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as happier (Happy vs. Unhappy)","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as wiser.","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more generous (Generous vs. Ungenerous)","First impression, Impression formation, Variation of a central quality in impression formation","https://osf.io/74892/?view_only=3e6ed2d68e6a466bbc036089948c08e1","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"Self-perceived expertise predicts claims of impossible knowledge","","https://osf.io/xwn9m/","Success","Atir, S., Rosenzweig, E., & Dunning, D. (2015). When knowledge knows no bounds: Self-perceived expertise predicts claims of impossible knowledge. Psychological Science, 26(8), 1295-1303.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Seeking confirmation is rational for deterministic hypotheses","","https://osf.io/xwn9m/","Failure","Austerweil, J. L., & Griffiths, T. L. (2011). Seeking confirmation is rational for deterministic hypotheses. Cognitive Science, 35(3), 499-526.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Body cues, not facial expressions, discriminate between intense positive and negative emotions","Social Science Replication Project, Science, Nature, Human Behavior","https://osf.io/pfdyw/","Success","Aviezer, H., Trope, Y., & Todorov, A. (2012). Body cues, not facial expressions, discriminate between intense positive and negative emotions. Science, 338(6111), 1225-1229.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"The rejection of moral rebels: Resenting those who do the right thing.","Adult, Character, Culture, Defense Mechanisms, Female, Humans, Imagination, Judgment, Male, Morals, Prejudice, Rejection (Psychology), Self Concept, Social Conformity, Social Desirability, Social Perception, Social Responsibility","https://osf.io/pz0my/","Failure","B Monin, PJ Sawyer, MJ Marquez (2008). The rejection of moral rebels: resenting those who do the right thing. Journal of Personality and Social Psychology, 95.1: 76-93.","Frank, M. C., & Holubar, T. (2023, September 28). Replication of Monin, Sawyer, & Marquez (2008, JPSP 95(1), Exp. 4). Retrieved from osf.io/pz0my"
"Affirmative action policies promote women and do not harm effciency","Social Science Replication Project, Science, Nature, Human Behavior","https://osf.io/pfdyw/","Success","Balafoutas, L., & Sutter, M. (2012). Affirmative action policies promote women and do not harm efficiency in the laboratory. Science, 335(6068), 579-582.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"texture representations in the human visual system","","https://osf.io/xwn9m/","OS not significant","Balas, B. J. (2006). Texture synthesis and perception: Using computational models to study texture representations in the human visual system. Vision research, 46(3), 299-309.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Stored word sequences in language learning","Attention, Child, Preschool, Female, Generalization (Psychology), Humans, Language Development, Male, Mental Recall, Reaction Time, Retention (Psychology), Semantics, Serial Learning, Speech Perception","","OS not significant","Bannard, C., & Matthews, D. (2008). Stored word sequences in language learning: The effect of familiarity on children's repetition of four-word combinations. Psychological science, 19(3), 241-248.",""
"Priming addition facts with semantic relations.","Adult, Attention, Female, Humans, Male, Mathematics, Mental Recall, Paired-Associate Learning, Problem Solving, Reaction Time, Semantics","https://osf.io/sqim7/","Success","Bassok, M., Pedigo, S.F., & Oskarsson, A.T (2008). Priming Addition Facts with Semantic Relations. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34, 343-352.","Hung, C. O., Lin, L., & Tsang, S. (2023, September 28). Replication of M Bassok, SF Pedigo, AT Oskarsson (2008, JEPLMC, Study 1). Retrieved from osf.io/sqim7"
"Consumerism undermines trust","Many Labs 2","https://osf.io/8cd4r/","Success","Bauer, M. A., Wilkie, J. E., Kim, J. K., & Bodenhausen, G. V. (2012). Cuing consumerism: Situational materialism undermines personal and social well-being. Psychological Science, 23, 517–523.  Study 4","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
"Modeling distributions of immediate memory effects: No strategies needed?","Attention, Humans, Individuality, Memory, Short-Term, Models, Statistical, Phonetics, Psychomotor Performance, Semantics, Serial Learning, Verbal Learning","https://osf.io/6n3bm/","Failure","Beaman, C.P., Neath, I., & Suprenant, A.M. (2008). Modeling Distributions of Immediate Memory Effects: No Strategies Needed? Journal of Experimental Psychology: LMC, 34 (1), 219 - 239.","Kleinberg, B., & Kunkels, Y. K. (2023, September 28). Replication of Beaman, Neath, & Suprenant (2008, JEP:LMC, Experiment 2). Retrieved from osf.io/6n3bm"
"Using high-level construal and perceptions of changeability to promote self-change over self-protection motives in response to negative feedback","","https://osf.io/xwn9m/","Success","Belding, J. N., Naufel, K. Z., & Fujita, K. (2015). Using high-level construal and perceptions of changeability to promote self-change over self-protection motives in response to negative feedback. Personality and Social Psychology Bulletin, 41(6), 822-838.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Recognition performance for faces categorised as belonging to in-group members will be better relative to out-group member faces.","","https://www.osf.io/ms634","OS not significant","Bernstein, M. J., Young, S. G., & Hugenberg, K. (2007). The cross-category effect: Mere social categorization is sufficient to elicit an own-group bias in face recognition. Psychological Science, 18(8), 706-712. Study 1","Fuller, E., & Ritchie, K. L. (2019, December 16). Face recognition bias for in-group members."
"Recognition performance for faces categorised as belonging to in-group members will be better relative to out-group member faces.","","https://www.osf.io/cy89g","OS not significant","Bernstein, M. J., Young, S. G., & Hugenberg, K. (2007). The cross-category effect: Mere social categorization is sufficient to elicit an own-group bias in face recognition. Psychological Science, 18(8), 706-712. Study 1","Fuller, E., & Ritchie, K. L. (2019, February 22). Face recognition bias for in-group members."
"A single-system account of the relationship between priming, recognition, and fluency.","Adult, Attention, Cues, Decision Making, Female, Humans, Judgment, Male, Memory, Short-Term, Models, Statistical, Psychomotor Performance, Reaction Time, Reading, Retention (Psychology), Serial Learning, Signal Detection, Psychological, Speech, Verbal Learning","https://osf.io/atgp5/","Success","Berry, C.J., Shanks, D.R., & Henson, R.N. A single-system account of the relationship between priming, recognition, and fluency. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 97-111.","Meixner, J. M., & Brüning, J. (2023, September 28). Replication of CJ Berry, DR Shanks, RN Henson (2008, JEPLMC 34(1), Exp 1). Retrieved from osf.io/atgp5"
"Growth mindset is associated with the change of grades in a challenging educational transition.","Intelligence-mindset, Educational attainment, Growth mindset, Challenging transitions","","Failure","Blackwell, L. S., Trzesniewski, K. H., & Dweck, C. S. (2007). Implicit theories of intelligence predict achievement across an adolescent transition: A longitudinal study and an intervention. Child development, 78(1), 246-263.  Study 1","Li, Y., & Bates, T. C. (2020). Testing the association of growth mindset and grades across a challenging transition: Is growth mindset associated with grades? Intelligence, 81, 101471. (Study 2)"
"Modulation of emotion by cognition and cognition by emotion","","https://osf.io/xwn9m/","OS not significant","Blair, K. S., Smith, B. W., Mitchell, D. G., Morton, J., Vythilingam, M., Pessoa, L., ... & Blair, R. J. R. (2007). Modulation of emotion by cognition and cognition by emotion. Neuroimage, 35(1), 430-440.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.","Attitude, Cognition, Humans, Mental Processes, Persuasive Communication, Thinking","https://osf.io/2gx4k/","Failure","Blankenship, K. L., & Wegener, D. T. (2008). Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change. Journal of Personality and Social Psychology, 94, 196-213.","Lemm, K. M. (2023, September 28). Replication of Blankenship & Wegener (2008, JPSP, Study 5A). Retrieved from osf.io/2gx4k"
"considering a message in light of important values increases message processing and later resistance to change","","https://osf.io/xwn9m/","Success","Blankenship, K. L., & Wegener, D. T. (2008). Opening the mind to close it: considering a message in light of important values increases message processing and later resistance to change. Journal of Personality and Social Psychology, 94(2), 196.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk","Adult, Choice Behavior, Female, Humans, Male, Marriage [psychology], Reproductive Behavior [psychology], Sexual Behavior [psychology], Social Behavior, Social Desirability","https://osf.io/blcj6/","Failure","Bressan, P. & Stranieri, D. (2008). The best men are (not always) already taken: Female preference for single versus attached males depends on conception risk. Psychological Science, 19, 145-151.","Frazier, R. S., & Hasselman, F. (2023, September 28). Replication of Bressan & Stranieri (2008, PS, Study 2). Retrieved from osf.io/blcj6"
"Action dynamics reveal parallel competition in decision making","Adolescent, Adult, Attention, Choice Behavior, Conflict (Psychology), Decision Making, Female, Humans, Male, Psychomotor Performance, Reaction Time, Set (Psychology), Thinking","https://osf.io/d0n81/","Success","C McKinstry, R Dale, MJ Spivey (2008). Action dynamics reveal parallel competition in decision making. Psychological Science, 19.1: 22-24.","Saxe, R., Vélez, N., & Feather, J. (2016, August 19). Replication of McKinstry, Dale, & Spivey (2008, PS). Retrieved from osf.io/d0n81"
"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.","Attention, Color Perception, Discrimination Learning, Field Dependence-Independence, Humans, Memory, Short-Term, Mental Recall, Pattern Recognition, Visual, Practice (Psychology), Psychophysics","https://osf.io/4xdkk/","Failure","C Mitchell, S Nash, G Hall (2008). The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34.1 (2008): 237-242.","Lakens, D. (2023, September 28). Replication of Mitchell, Nash, & Hall (2008, JEP:LMC). Retrieved from osf.io/4xdkk"
"Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.","Adolescent, Adult, Female, Humans, Male, Mathematics, Mental Recall, Practice (Psychology), Problem Solving, Retention (Psychology), Transfer (Psychology)","https://osf.io/gxvd3/","Success","Campbell, J.I., & Robert, N.D. (2008). Bidirectional associations in multiplication memory: Conditions of negative and positive transfer. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(3), 546-555.","Ricker, A. A., & Saide, A. (2023, September 28). Replication of JI Campbell, ND Robert (2008, JEPLMC 34(3), Exp 3). Retrieved from osf.io/gxvd3"
"Inhibitory-control deficits compromise memory suppression in posttraumatic stress disorder","","https://osf.io/xwn9m/","OS not significant","Catarino, A., Küpper, C. S., Werner-Seidler, A., Dalgleish, T., & Anderson, M. C. (2015). Failing to forget: Inhibitory-control deficits compromise memory suppression in posttraumatic stress disorder. Psychological science, 26(5), 604-616.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Affective incoherence: When affective concepts and embodied reactions clash.","Affect, Attention, Comprehension, Concept Formation, Conflict (Psychology), Cues, Culture, Female, Humans, Male, Memory, Short-Term, Mental Recall, Motivation, Reading, Retention (Psychology)","https://osf.io/l8srm/","Failure","Centerbar, D.B., Schnall, S., Clore, G.L., & Garvin, E.D. (2008). Affective incoherence: When affective concepts and embodied reactions clash. Journal of Personality and Social Psychology, 94(4), 560-578. doi:","Humphries, D., Brown, K., DeGaetano, M., Mainard, H., Attridge, P. R., Brown, B. T., & Hicks, G. (2023, September 28). Replication of Centerbar, Schnall, Clore, & Garvin (2008, JPSP, Study 5). Retrieved from osf.io/l8srm"
"Modern conditions increase favorable responses to product image on the right than on the left","Sensory Marketing, Positioning","https://osf.io/tnmvq/","Failure","Chae, B., and Hoegg, J. (2013). The future looks “right”: effects of the horizontal location. of advertising images on product attitude. J. Consum. Res. 40, 223–238. doi:  Study 2","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896."
"Antique conditions increase favorable responses to product image on the left than on the right","Sensory Marketing, Positioning","https://osf.io/tnmvq/","Failure","Chae, B., and Hoegg, J. (2013). The future looks “right”: effects of the horizontal location. of advertising images on product attitude. J. Consum. Res. 40, 223–238. doi:  Study 2","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896."
"Interaction between position and desirable attribute on product attitude","Sensory Marketing, Positioning","https://osf.io/tnmvq/","Failure","Chae, B., and Hoegg, J. (2013). The future looks “right”: effects of the horizontal location. of advertising images on product attitude. J. Consum. Res. 40, 223–238. doi:  Study 2","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896."
"affective decision making: how do feelings predict choice?","","https://osf.io/xwn9m/","Failure","Charpentier, C. J., De Neve, J. E., Li, X., Roiser, J. P., & Sharot, T. (2016). Models of affective decision making: how do feelings predict choice?. Psychological science, 27(6), 763-775.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"the chameleon effect/ nonconcious mimicry","chameleon effect, nonconious mimicry, replication","https://osf.io/7weum","Success","Chartrand, T. L., & Bargh, J. A. (1999). The chameleon effect: The perception–behavior link and social interaction. Journal of Personality and Social Psychology, 76(6), 893–910.","Förster, N., & Röseler, L. (2022, November 25). The Chameleon Effect: A Replication Study."
"Causal Attributions From Genetic Ascriptions Affect Legal Decision Making","","https://www.osf.io/e9d3k","Success","Cheung, B. Y., & Heine, S. J. (2015). The double-edged sword of genetic accounts of criminality: Causal attributions from genetic ascriptions affect legal decision making. Personality and Social Psychology Bulletin, 41(12), 1723-1738. Study 3","Crawford, J. (2016, May 2). Syntax and output files for Cheung & Heine 2015 study 3 replication."
"role of perspective for emotion processing in reading comprehension","","https://osf.io/xwn9m/","Failure","Child, S., Oakhill, J., & Garnham, A. (2018). You’re the emotional one: the role of perspective for emotion processing in reading comprehension. Language, cognition and neuroscience, 33(7), 878-889.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Learning and transmitting concepts through language","","https://osf.io/xwn9m/","OS not significant","Chopra, S., Tessler, M. H., & Goodman, N. D. (2019, July). The first crank of the cultural ratchet: Learning and transmitting concepts through language. In CogSci (pp. 226-232).","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Recalling an instance in which one felt economically scarce causes an increase in reported physical pain","economic insecurity; pain; sense of control.","https://osf.io/a2e96/","Success","Chou, E. Y., Parmar, B. L., & Galinsky, A. D. (2016). Economic Insecurity Increases Physical Pain. Psychological science, 27(4), 443–454.  Study 3","O’Donnell, M., Dev, A. S., Antonoplis, S., Baum, S. M., Benedetti, A. H., Brown, N. D., Carrillo, B., Choi, A. L., Connor, P., Donnelly, K., Ellwood-Lowe, M. E., Foushee, R., Jansen, R., Jarvis, S. N., Lundell-Creagh, R., Ocampo, J. M., Okafor, G. N., Azad, Z. R., Rosenblum, M., … Nelson, L. D. (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity. Proceedings of the National Academy of Sciences, 118(44), e2103313118."
"The effect of logo dynamism (high and low) on perceived movement as a manipulation check","dynamic imagery, logo design, brand attitudes, engagement, perceived movement","https://osf.io/tnmvq/","Success","Cian, L., Krishna, A., and Elder, R. S. (2014). This logo moves me: dynamic imagery from static images. J. Market. Res. 51, 184–197. doi:  13.0023 Study 1","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896."
