description,result,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails,original_url,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_url
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #11: PTENP1 mRNA expression between siLuc and siPTEN+siPTENP1,success,6.0,3.27789,d,"[0.5188403, 5.931193]",0.01593591,t,,10,1.616828,d,"[0.1176913, 3.045573]",0.03383443,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #12: PTEN protein expression between siLuc and siPTEN,inconclusive,,,Cliff's delta,,,,,10,1.0,Cliff's delta,"[0.8490597, 1.0]",0.007936508,z,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #13: PTEN protein expression between siLuc and siPTENP1,inconclusive,,,Cliff's delta,,,,,10,0.68,Cliff's delta,"[-0.1638394, 0.9491919]",0.0952381,z,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #14: PTEN protein expression between siLuc and siPTEN+siPTENP1,inconclusive,,,Cliff's delta,,,,,10,1.0,Cliff's delta,"[0.8490597, 1.0]",0.007936508,z,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #15: PTEN protein expression between siPTEN+siPTENP1 and siPTEN,inconclusive,,,Cliff's delta,,,,,10,0.52,Cliff's delta,"[-0.3223693, 0.9027654]",0.2222222,z,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #16: PTEN protein expression between siPTEN+siPTENP1 and siPTENP1,inconclusive,,,Cliff's delta,,,,,10,1.0,Cliff's delta,"[0.8490597, 1.0]",0.007936508,z,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #17: PTENP1 mRNA expression between pCMV and PTEN 3'UTR,failure,6.0,4.57509,d,"[1.110656, 7.977567]",0.004981447,t,,6,-0.3733547,d,"[-1.971197, 1.268137]",0.6712144,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether a pseudogene (PTENP1) can regulate the tumor suppressor PTEN by competing for microRNA binding. Subexperiment #18: DU145 cell proliferation between pCMV and PTEN 3'UTR,success,6.0,16.21008,d,"[5.49337, 27.15589]",3.8e-05,t,,6,7.551127,d,"[2.318417, 12.81552]",0.000759987,t,,https://doi.org/10.1038/nature09144,Laura Poliseno; Leonardo Salmena; Jiangwen Zhang; Brett S. Carver; William J. Haveman; Pier Paolo Pandolfi,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,Nature,465,7301.0,1033,2010,https://doi.org/10.7554/eLife.51019
This study tested whether glioblastoma stem cells can directly form blood vessels by differentiating into endothelial cells. Subexperiment #1: Tie2 expression in GSC83 vs HMVEC cells,failure,4.0,83.68295,d,"[13.27957, 155.2538]",6.61e-06,t,,5,2.516912,d,"[-0.1761535, 5.0607545]",0.03997007,t,,https://doi.org/10.1038/nature09557,Lucia Ricci‐Vitiani; Roberto Pallini; Mauro Biffoni; Matilde Todaro; Gloria Invernici; Tonia Cenci; Giulio Maira; Eugenio Parati; Giorgio Stassi; Luigi Maria Larocca; Ruggero De Maria,Tumour vascularization via endothelial differentiation of glioblastoma stem-like cells,Nature,468,7325.0,824,2010,https://doi.org/10.7554/eLife.04363
This study tested whether glioblastoma stem cells can directly form blood vessels by differentiating into endothelial cells. Subexperiment #2: Tie2 expression in U87MG vs HMVEC cells,failure,4.0,84.78352,d,"[13.45515, 157.295]",6.36e-06,t,,6,2.501615,d,"[0.1266746, 4.750934]",0.02797935,t,,https://doi.org/10.1038/nature09557,Lucia Ricci‐Vitiani; Roberto Pallini; Mauro Biffoni; Matilde Todaro; Gloria Invernici; Tonia Cenci; Giulio Maira; Eugenio Parati; Giorgio Stassi; Luigi Maria Larocca; Ruggero De Maria,Tumour vascularization via endothelial differentiation of glioblastoma stem-like cells,Nature,468,7325.0,824,2010,https://doi.org/10.7554/eLife.04363
This study tested whether glioblastoma stem cells can directly form blood vessels by differentiating into endothelial cells. Subexperiment #3: Tie2 expression in GSC83 vs U87MG cells,failure,4.0,1.100569,d,"[-1.193241, 3.20752]",0.4291293,t,,5,-0.01529775,d,"[-1.803326, 1.775138]",0.9872779,t,,https://doi.org/10.1038/nature09557,Lucia Ricci‐Vitiani; Roberto Pallini; Mauro Biffoni; Matilde Todaro; Gloria Invernici; Tonia Cenci; Giulio Maira; Eugenio Parati; Giorgio Stassi; Luigi Maria Larocca; Ruggero De Maria,Tumour vascularization via endothelial differentiation of glioblastoma stem-like cells,Nature,468,7325.0,824,2010,https://doi.org/10.7554/eLife.04363
This study tested whether a specific GNAO1 mutation promotes breast cancer cell transformation. Subexperiment #1: Colony number of GNAO1-WT HMEC cells vs GNAO1-R243H HMEC cells,success,4.0,6.409596,d,"[0.5256721, 12.56598]",0.02348687,t,,6,4.317946,d,"[0.9980206, 7.567011]",0.006135204,t,,https://doi.org/10.1038/nature09208,Zhengyan Kan; Bijay S. Jaiswal; Jeremy Stinson; Vasantharajan Janakiraman; Deepali Bhatt; Howard M. Stern; Peng Yue; Peter M. Haverty; Richard Bourgon; Jianbiao Zheng; Martin Moorhead; Subhra Chaudhuri; Lynn P. Tomsho; Brock A. Peters; Kanan Pujara; Shaun Cordes; David P. Davis; Victoria Carlton; Wenlin Yuan; Li Li; Weiru Wang; Charles Eigenbrot; Joshua S. Kaminker; David A. Eberhard; Paul Waring; Stephan C. Schuster; Zora Modrušan; Zemin Zhang; David Stokoe; Frédéric J. de Sauvage; Malek Faham; Somasekar Seshagiri,Diverse somatic mutation patterns and pathway alterations in human cancers,Nature,466,7308.0,869,2010,https://doi.org/10.7554/eLife.11566
"This study tested whether kinase-inactive BRAF mutations cooperate with RAS mutations to drive cancer through CRAF activation. Subexperiment #1: pERK levels in A375 cells treated with vehicle vs all three drug treatments (PD184352, sorafenib, and SB590885)",inconclusive,,,Cliff's delta,,,,,12,0.9259259,Cliff's delta,"[0.6262562, 0.9872088]",0.009090909,z,,https://doi.org/10.1016/j.cell.2009.12.040,Sonja J. Heidorn; Carla Milagre; Steven R. Whittaker; Arnaud Nourry; Ion Niculescu-Duvas; Nathalie Dhomen; Jahan Hussain; Jorge S. Reis‐Filho; Caroline J. Springer; Catrin Pritchard; Richard Marais,Kinase-Dead BRAF and Oncogenic RAS Cooperate to Drive Tumor Progression through CRAF,Cell,140,2.0,209,2010,https://doi.org/10.7554/eLife.11999
This study tested whether kinase-inactive BRAF mutations cooperate with RAS mutations to drive cancer through CRAF activation. Subexperiment #2: pERK levels in D04 cells treated with vehicle vs PD184352 and sorafenib,inconclusive,,,Cliff's delta,,,,,9,1.0,Cliff's delta,"[0.7476669, 1.0]",0.02380952,z,,https://doi.org/10.1016/j.cell.2009.12.040,Sonja J. Heidorn; Carla Milagre; Steven R. Whittaker; Arnaud Nourry; Ion Niculescu-Duvas; Nathalie Dhomen; Jahan Hussain; Jorge S. Reis‐Filho; Caroline J. Springer; Catrin Pritchard; Richard Marais,Kinase-Dead BRAF and Oncogenic RAS Cooperate to Drive Tumor Progression through CRAF,Cell,140,2.0,209,2010,https://doi.org/10.7554/eLife.11999
This study tested whether kinase-inactive BRAF mutations cooperate with RAS mutations to drive cancer through CRAF activation. Subexperiment #3: pERK levels in D04 cells treated with vehicle vs SB590885,inconclusive,,,Cliff's delta,,,,,6,0.1111111,Cliff's delta,"[-0.7078907, 0.8026747]",0.1,z,,https://doi.org/10.1016/j.cell.2009.12.040,Sonja J. Heidorn; Carla Milagre; Steven R. Whittaker; Arnaud Nourry; Ion Niculescu-Duvas; Nathalie Dhomen; Jahan Hussain; Jorge S. Reis‐Filho; Caroline J. Springer; Catrin Pritchard; Richard Marais,Kinase-Dead BRAF and Oncogenic RAS Cooperate to Drive Tumor Progression through CRAF,Cell,140,2.0,209,2010,https://doi.org/10.7554/eLife.11999
"This study tested whether RAF inhibitors paradoxically activate the MAPK signaling pathway in cells with wild-type BRAF, potentially promoting tumor growth. Subexperiment #1: IC50 values of PLX4720 A375 cells vs PLX4720 HCT116 and MeWo cells",inconclusive,,,,,,,,12,,,,,,,https://doi.org/10.1038/nature08833,Georgia Hatzivassiliou; Kyung Song; Ivana Yen; Barbara J. Brandhuber; Daniel J. Anderson; Ryan Alvarado; Mary J. C. Ludlam; David Stokoe; Susan L. Gloor; Guy Vigers; Tony Morales; Ignacio Aliagas; Bonnie Liu; Steve Sideris; Klaus P. Hoeflich; Bijay S. Jaiswal; Somasekar Seshagiri; Hartmut Koeppen; Marcia Belvin; Lori S. Friedman; Shiva Malek,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Nature,464,7287.0,431,2010,https://doi.org/10.7554/eLife.09976
"This study tested whether RAF inhibitors paradoxically activate the MAPK signaling pathway in cells with wild-type BRAF, potentially promoting tumor growth. Subexperiment #2: IC50 values of GDC-0879 A375 cells vs GDC-0879 HCT116 and MeWo cells",inconclusive,,,,,,,,12,,,,,,,https://doi.org/10.1038/nature08833,Georgia Hatzivassiliou; Kyung Song; Ivana Yen; Barbara J. Brandhuber; Daniel J. Anderson; Ryan Alvarado; Mary J. C. Ludlam; David Stokoe; Susan L. Gloor; Guy Vigers; Tony Morales; Ignacio Aliagas; Bonnie Liu; Steve Sideris; Klaus P. Hoeflich; Bijay S. Jaiswal; Somasekar Seshagiri; Hartmut Koeppen; Marcia Belvin; Lori S. Friedman; Shiva Malek,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Nature,464,7287.0,431,2010,https://doi.org/10.7554/eLife.09976
"This study tested whether RAF inhibitors paradoxically activate the MAPK signaling pathway in cells with wild-type BRAF, potentially promoting tumor growth. Subexperiment #3: IC50 values of PD0325901 A375 cells vs PLX4720 and GDC-0879 A375 cells",inconclusive,,,,,,,,12,,,,,,,https://doi.org/10.1038/nature08833,Georgia Hatzivassiliou; Kyung Song; Ivana Yen; Barbara J. Brandhuber; Daniel J. Anderson; Ryan Alvarado; Mary J. C. Ludlam; David Stokoe; Susan L. Gloor; Guy Vigers; Tony Morales; Ignacio Aliagas; Bonnie Liu; Steve Sideris; Klaus P. Hoeflich; Bijay S. Jaiswal; Somasekar Seshagiri; Hartmut Koeppen; Marcia Belvin; Lori S. Friedman; Shiva Malek,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Nature,464,7287.0,431,2010,https://doi.org/10.7554/eLife.09976
"This study tested whether RAF inhibitors paradoxically activate the MAPK signaling pathway in cells with wild-type BRAF, potentially promoting tumor growth. Subexperiment #4: IC50 values of PD0325901 HCT116 cells vs PLX4720 and GDC-0879 HCT116 cells",inconclusive,,,,,,,,12,,,,,,,https://doi.org/10.1038/nature08833,Georgia Hatzivassiliou; Kyung Song; Ivana Yen; Barbara J. Brandhuber; Daniel J. Anderson; Ryan Alvarado; Mary J. C. Ludlam; David Stokoe; Susan L. Gloor; Guy Vigers; Tony Morales; Ignacio Aliagas; Bonnie Liu; Steve Sideris; Klaus P. Hoeflich; Bijay S. Jaiswal; Somasekar Seshagiri; Hartmut Koeppen; Marcia Belvin; Lori S. Friedman; Shiva Malek,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Nature,464,7287.0,431,2010,https://doi.org/10.7554/eLife.09976
"This study tested whether RAF inhibitors paradoxically activate the MAPK signaling pathway in cells with wild-type BRAF, potentially promoting tumor growth. Subexperiment #5: IC50 values of PD0325901 MeWo cells vs PLX4720 and GDC-0879 MeWo cells",inconclusive,,,,,,,,12,,,,,,,https://doi.org/10.1038/nature08833,Georgia Hatzivassiliou; Kyung Song; Ivana Yen; Barbara J. Brandhuber; Daniel J. Anderson; Ryan Alvarado; Mary J. C. Ludlam; David Stokoe; Susan L. Gloor; Guy Vigers; Tony Morales; Ignacio Aliagas; Bonnie Liu; Steve Sideris; Klaus P. Hoeflich; Bijay S. Jaiswal; Somasekar Seshagiri; Hartmut Koeppen; Marcia Belvin; Lori S. Friedman; Shiva Malek,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Nature,464,7287.0,431,2010,https://doi.org/10.7554/eLife.09976
"This study tested whether RAF inhibitors paradoxically activate the MAPK signaling pathway in cells with wild-type BRAF, potentially promoting tumor growth. Subexperiment #6: pMEK/MEK levels between -shBRAF and +shBRAF cells treated with PLX4720",inconclusive,,,d,,,,,42,-0.02204385,d,"[-0.6267837, 0.5829707]",0.9432336,t,,https://doi.org/10.1038/nature08833,Georgia Hatzivassiliou; Kyung Song; Ivana Yen; Barbara J. Brandhuber; Daniel J. Anderson; Ryan Alvarado; Mary J. C. Ludlam; David Stokoe; Susan L. Gloor; Guy Vigers; Tony Morales; Ignacio Aliagas; Bonnie Liu; Steve Sideris; Klaus P. Hoeflich; Bijay S. Jaiswal; Somasekar Seshagiri; Hartmut Koeppen; Marcia Belvin; Lori S. Friedman; Shiva Malek,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Nature,464,7287.0,431,2010,https://doi.org/10.7554/eLife.09976
"This study tested whether RAF inhibitors paradoxically activate the MAPK signaling pathway in cells with wild-type BRAF, potentially promoting tumor growth. Subexperiment #7: pMEK/MEK levels between -shCRAF and +shCRAF cells treated with PLX4720",inconclusive,,,d,,,,,42,1.128866,d,"[0.4696089, 1.775986]",0.0004538276,t,,https://doi.org/10.1038/nature08833,Georgia Hatzivassiliou; Kyung Song; Ivana Yen; Barbara J. Brandhuber; Daniel J. Anderson; Ryan Alvarado; Mary J. C. Ludlam; David Stokoe; Susan L. Gloor; Guy Vigers; Tony Morales; Ignacio Aliagas; Bonnie Liu; Steve Sideris; Klaus P. Hoeflich; Bijay S. Jaiswal; Somasekar Seshagiri; Hartmut Koeppen; Marcia Belvin; Lori S. Friedman; Shiva Malek,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Nature,464,7287.0,431,2010,https://doi.org/10.7554/eLife.09976
"This study tested whether RAF inhibitors paradoxically activate the MAPK signaling pathway in cells with wild-type BRAF, potentially promoting tumor growth. Subexperiment #8: pMEK/MEK levels between -shBRAF and +shBRAF cells treated with GDC-0879",inconclusive,,,Cliff's delta,,,,,42,0.4058957,Cliff's delta,"[0.65311503, 0.08048876]",0.02424242,z,,https://doi.org/10.1038/nature08833,Georgia Hatzivassiliou; Kyung Song; Ivana Yen; Barbara J. Brandhuber; Daniel J. Anderson; Ryan Alvarado; Mary J. C. Ludlam; David Stokoe; Susan L. Gloor; Guy Vigers; Tony Morales; Ignacio Aliagas; Bonnie Liu; Steve Sideris; Klaus P. Hoeflich; Bijay S. Jaiswal; Somasekar Seshagiri; Hartmut Koeppen; Marcia Belvin; Lori S. Friedman; Shiva Malek,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Nature,464,7287.0,431,2010,https://doi.org/10.7554/eLife.09976
"This study tested whether RAF inhibitors paradoxically activate the MAPK signaling pathway in cells with wild-type BRAF, potentially promoting tumor growth. Subexperiment #9: pMEK/MEK levels between -shCRAF and +shCRAF cells treated with GDC-0879",inconclusive,,,Cliff's delta,,,,,42,0.1201814,Cliff's delta,"[-0.2107559, 0.4264033]",0.5046649,z,,https://doi.org/10.1038/nature08833,Georgia Hatzivassiliou; Kyung Song; Ivana Yen; Barbara J. Brandhuber; Daniel J. Anderson; Ryan Alvarado; Mary J. C. Ludlam; David Stokoe; Susan L. Gloor; Guy Vigers; Tony Morales; Ignacio Aliagas; Bonnie Liu; Steve Sideris; Klaus P. Hoeflich; Bijay S. Jaiswal; Somasekar Seshagiri; Hartmut Koeppen; Marcia Belvin; Lori S. Friedman; Shiva Malek,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,Nature,464,7287.0,431,2010,https://doi.org/10.7554/eLife.09976
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #1: CD133 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #2: CD133 expression between TOP-GFPlow vs TOP-GFPhigh (CSC1 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #3: CD133 expression between TOP-GFPlow vs TOP-GFPhigh (Co100 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #4: CD24 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
This study tested whether Wnt signaling marks colon cancer stem cells and whether the tumor microenvironment can regulate this activity. Subexperiment #5: CD24 expression between TOP-GFPlow vs TOP-GFPhigh (CSC1 culture),inconclusive,,,,,,,,1,,,,,,,https://doi.org/10.1038/ncb2048,Louis Vermeulen; Felipe de Sousa e Melo; Maartje van der Heijden; Kate Cameron; Joan H. de Jong; Tijana Borovski; Jurriaan B. Tuynman; Matilde Todaro; Christian J. Merz; Hans M. Rodermond; Martin R. Sprick; Kristel Kemper; Dick J. Richel; Giorgio Stassi; Jan Paul Medema,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,Nature Cell Biology,12,5.0,468,2010,https://doi.org/10.7554/eLife.45426
