replication_doi,replication_url,replication_title,replication_journal,contains_replications,original_url,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,description,result,replication_type,discipline,subdiscipline,justification,confidence,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails
10.1016/j.jesp.2022.104380,https://doi.org/10.1016/j.jesp.2022.104380,,,True,https://doi.org/10.1037/0022-3514.37.11.2098,"Lord, C.; Ross, L.; Lepper, M.",Biased assimilation and attitude polarization: The effects of prior theories on subsequently considered evidence,Journal of Personality and Social Psychology,37,11,2098-2109,1979,Confirmatory evidence exerts more influence on belief formation than disconfirmatory evidence (confirmation bias),success,conceptual,psychology,social psychology,,high,,,,,,,,469,,,,,,
10.1016/j.neuroimage.2019.01.020,https://doi.org/10.1016/j.neuroimage.2019.01.020,,,True,https://doi.org/10.1016/j.neuroimage.2015.09.025,"Hope, T.; Seghier, M.; Prejawa, S.; Leff, A.; Price, C.",Distinguishing the effect of lesion load from tract disconnection in the arcuate and uncinate fasciculi,NeuroImage,125,,1169-1173,2016,Binary tract disconnection is more strongly associated with language deficits (fluency and naming) in post-stroke aphasia than graded lesion load,failure,very close,neuroscience,cognitive neuroscience,,high,142,,,,,,,128,,,,,,
10.1016/j.ridd.2016.06.014,https://doi.org/10.1016/j.ridd.2016.06.014,,,True,https://doi.org/10.1177/088307380201700704,"Wilson, P.; Thomas, P.; Maruff, P.",Motor imagery training ameliorates motor clumsiness in children,Child Neurology,17,7,491-498,2002,"Motor imagery training (involving action observation, mental rehearsal, and overt practice) improves motor skill in children with motor coordination difficulties, with comparable effectiveness to perceptual-motor therapy",success,direct,psychology,developmental psychology,,high,54,0.60,r,,,,,36,0.84,r,,0.030,=,
10.1016/j.ynirp.2023.100170,https://doi.org/10.1016/j.ynirp.2023.100170,,,True,https://doi.org/10.7554/elife.58116,"Ouyang, M.; Peng, Q.; Jeon, T.; Heyne, R.; Chalak, L.; Huang, H.",Diffusion-MRI based regional cortical microstructure at birth for predicting neurodevelopmental outcomes of 2-year-olds,Elife,9,,e58116,2020,Cortical microstructure at birth (measured by fractional anisotropy from diffusion MRI) predicts cognitive and language outcomes at 2 years of age assessed by Bayley Scales of Infant and Toddler Development (BSID-III),failure,conceptual,neuroscience,cognitive neuroscience,,high,46,,,,,,,295,,,,,,
10.1027/1618-3169/a000490,https://doi.org/10.1027/1618-3169/a000490,,,True,https://doi.org/10.1080/17470218.2013.777084,"Van Dam, W.; Rueschemeyer, S.; Bekkering, H.; Lindemann, O.",Embodied grounding of memory: Toward the effects of motor execution on memory consolidation,The Quarterly Journal of Experimental Psychology,66,12,2310-2328,2013,Performing actions (pressing or twisting) after studying action-related words enhances recognition memory for action-congruent words compared to action-incongruent words,failure,direct,psychology,cognitive psychology,,high,21,,,,,,,60,,,,0.124,=,
10.1037/pspp0000380,https://doi.org/10.1037/pspp0000380,,,True,https://doi.org/10.1037/pspp0000047,"Snyder, H.; Gulley, L.; Bijttebier, P.; Hartman, C.; Oldehinkel, A.; Mezulis, A.; Hankin, B.",Adolescent emotionality and effortful control: Core latent constructs and links to psychopathology and functioning,Journal of Personality and Social Psychology,109,6,1132-1149,2015,"The EATQ-R (Early Adolescent Temperament Questionnaire-Revised) has a bifactor structure for effortful control, negative emotionality, and positive emotionality domains, and these latent factors show theoretically-predicted concurrent associations with adolescent functioning outcomes (depression, anxiety, ADHD, peer interactions, school performance)",inconclusive,very close,psychology,developmental psychology,,high,2026,,,,,,,674,,,,,,
10.1038/s41598-023-46527-9,https://doi.org/10.1038/s41598-023-46527-9,,,True,https://doi.org/10.1111/j.1559-1816.1999.tb00142.x,"Nass, C.; Moon, Y.; Carney, P.",Are respondents polite to computers? Social responses to computers,Journal of Applied Social Psychology,29,,1093-1110,1999,"Participants rate a desktop computer's tutoring performance more positively when evaluated on the same computer versus an identical but different computer, demonstrating unconscious politeness toward computers",failure,direct,psychology,social psychology,,high,20,0.36,omegasq,,0.001,<,two-sided,132,-0.03,d,,0.852,=,two-sided
10.1038/s41598-025-10331-4,https://doi.org/10.1038/s41598-025-10331-4,,,True,https://doi.org/10.2307/2064024,"Milgram, S.",Obedience to authority: An experimental view,To,4,6,613,1974,Individuals under the command of an experimenter will administer electric shocks to another person (Experiment No. 2 - basic obedience paradigm without learner protests),success,very close,psychology,social psychology,,high,,,,,,,,58,,,,,,
10.1038/s41598-025-10331-4,https://doi.org/10.1038/s41598-025-10331-4,,,True,https://doi.org/10.2307/2064024,"Milgram, S.",Obedience to authority: An experimental view,To,4,6,613,1974,Relocating obedience research from a prestigious university setting (Yale) to a non-prestigious setting (Bridgeport office) reduces participant obedience to authority (Experiment No. 10),failure,very close,psychology,social psychology,,high,,,,,,,,58,,,,.607,=,
10.1080/09658211.2024.2307925,https://doi.org/10.1080/09658211.2024.2307925,,,True,https://doi.org/10.3402/ejpt.v7.29476,"Van Schie, K.; Van Veen, S.; Engelhard, I.; Klugkist, I.; Van Den Hout, M.",Blurring emotional memories using eye movements: Individual differences and speed of eye movements,European Journal of Psychotraumatology,7,1,29476,2016,Eye movements during recall reduce the vividness and emotionality of negative autobiographical memories,success,very close,psychology,clinical psychology,,high,,,,,,,,97,0.065,etasq,,0.01,=,
10.1080/17470210903377380,https://doi.org/10.1080/17470210903377380,,,True,https://doi.org/10.1037/0278-7393.28.1.233,"Pechmann, T.; Zerbst, D.",The activation of word class information during speech production,"Journal of Experimental Psychology: Learning, Memory, and Cognition",28,1,233-243,2002,Noun distractors interfere more than adverb distractors in picture naming during sentence frame production but not during bare noun production,failure,direct,psychology,cognitive psychology,,high,,,,,,,,24,,,,0.001,<,
10.1080/17470218.2016.1233439,https://doi.org/10.1080/17470218.2016.1233439,,,True,https://doi.org/10.1002/hbm.20939,"Bunzeck, N.; Dayan, P.; Dolan, R.; Duzel, E.",A common mechanism for adaptive scaling of reward and novelty,Human Brain Mapping,31,,1380-1394,2010,"Memory performance is better for higher reward outcomes than lower reward outcomes within a given reward context, independent of absolute reward value",reversal,direct,psychology,cognitive psychology,,high,16,,,,,,,40,0.49,etasq,,0.004,=,two-sided
10.1093/jpepsy/jsy104,https://doi.org/10.1093/jpepsy/jsy104,,,True,https://doi.org/10.1080/02739615.2014.849918,"Cohen, L.; Cobb, J.; Martin, S.",Gender biases in adult ratings of pediatric pain,Children's Health Care,43,,87-95,2014,"Adults rate a child undergoing a medical procedure as experiencing more pain when the child is described as a boy compared to when described as a girl, despite identical behavior and clinical circumstances",success,direct,psychology,clinical psychology,,high,183,0.31,d,,,,,264,0.21,d,,0.043,<,one-sided
10.1093/scan/nsr038,https://doi.org/10.1093/scan/nsr038,,,True,https://doi.org/10.1126/science.1082244,"Adams, R., Jr.; Gordon, H.; Baird, A.; Ambady, N.; Kleck, R.",Effects of gaze on amygdala sensitivity to anger and fear faces,Science,300,5625,1536,2003,Direct gaze fear expressions produce greater amygdala activation than averted gaze fear expressions when presented for sustained durations,success,direct,psychology,cognitive neuroscience,,high,,,,,,,,15,,,,0.005,<,
10.1093/scan/nsr038,https://doi.org/10.1093/scan/nsr038,,,True,https://doi.org/10.1016/j.bandc.2008.01.008,"Hadjikhani, N.; Hoge, R.; Snyder, J.; De Gelder, B.",Pointing with the eyes: the role of gaze in communicating danger,Brain and Cognition,68,1,1-8,2008,Averted gaze fear expressions produce greater amygdala activation than direct gaze fear expressions when presented rapidly,success,direct,psychology,cognitive neuroscience,,high,,,,,,,,16,,,,0.005,<,
10.1098/rsos.191353,https://doi.org/10.1098/rsos.191353,,,True,https://doi.org/10.1016/j.cognition.2013.09.001,"Kan, I.; Teubner-Rhodes, S.; Drummey, A.; Nutile, L.; Krupa, L.; Novick, J.",To adapt or not to adapt: the question of domain-general cognitive control,Cognition,129,,637-651,2013,Experiment 1: Detection of syntactic conflict in garden-path sentences enhances conflict resolution on subsequent non-syntactic Stroop tasks,inconclusive,direct,psychology,cognitive psychology,,high,103,30,d,,,,,152,3.88,d,,0.56,=,
10.1098/rsos.191353,https://doi.org/10.1098/rsos.191353,,,True,https://doi.org/10.1016/j.cognition.2013.09.001,"Kan, I.; Teubner-Rhodes, S.; Drummey, A.; Nutile, L.; Krupa, L.; Novick, J.",To adapt or not to adapt: the question of domain-general cognitive control,Cognition,129,,637-651,2013,Experiment 2: Experience of conflict from bistable Necker cube enhances cognitive control on subsequent Stroop trials,inconclusive,direct,psychology,cognitive psychology,,high,70,30,d,,,,,163,12.6,d,,0.09,=,
10.1098/rsos.191353,https://doi.org/10.1098/rsos.191353,,,True,https://doi.org/10.1016/j.cognition.2013.09.001,"Kan, I.; Teubner-Rhodes, S.; Drummey, A.; Nutile, L.; Krupa, L.; Novick, J.",To adapt or not to adapt: the question of domain-general cognitive control,Cognition,129,,637-651,2013,Experiment 3: Periodically switched congruent Necker cubes (without internal conflict) do not enhance subsequent Stroop performance,inconclusive,direct,psychology,cognitive psychology,,high,38,30,d,,,,,88,1.67,d,,0.87,=,
10.1098/rsos.191507,https://doi.org/10.1098/rsos.191507,,,True,https://doi.org/10.1177/0956797611406445,"Kuhbandner, C.; Spitzer, B.; Pekrun, R.",Readout of emotional information from iconic memory: the longevity of threatening stimuli,Psychological Science,22,,695-700,2011,Emotional stimuli (both positive and negative) are prioritized for selection from iconic memory compared to neutral stimuli,success,direct,psychology,cognitive psychology,,high,,0.36,d,,,,,41,,,,0.001,<,
10.1098/rsos.191998,https://doi.org/10.1098/rsos.191998,,,True,https://doi.org/10.1111/j.1467-7687.2009.00946.x,"Southgate, V.; Chevallier, C.; Csibra, G.",Seventeen-month-olds appeal to false beliefs to interpret others' referential communication,Dev. Sci,13,,907-912,2010,"Seventeen-month-old infants track an interlocutor's false belief when interpreting ambiguous referential communication, choosing the object in the non-referred box when the interlocutor has a false belief",failure,direct,psychology,developmental psychology,,high,,,,,,,,48,,,,,,
10.1098/rsos.210190,https://doi.org/10.1098/rsos.210190,,,True,https://doi.org/10.1111/j.1467-9280.2007.01944.x,"Southgate, V.; Senju, A.; Csibra, G.",Action anticipation through attribution of false belief by 2-year-olds,Psychol. Sci,18,,587-592,2007,25-month-old infants can anticipate actions on the basis of attributed false beliefs,failure,direct,psychology,developmental psychology,,high,20,,,,,,,49,,,,0.568,=,two-sided
10.1098/rsos.210550,https://doi.org/10.1098/rsos.210550,,,True,https://doi.org/10.1016/j.cognition.2013.09.001,"Kan, I.; Teubner-Rhodes, S.; Drummey, A.; Nutile, L.; Krupa, L.; Novick, J.",To adapt or not to adapt: the question of domain-general cognitive control,Cognition,129,,637-651,2013,Reading syntactically ambiguous sentences results in processing adjustments in subsequent Stroop trials (cross-domain conflict adaptation),failure,direct,psychology,cognitive psychology,,high,,,,,,,,93,0.06,etasq,,0.016,=,
10.1098/rsos.210550,https://doi.org/10.1098/rsos.210550,,,True,https://doi.org/10.1016/j.cognition.2013.09.001,"Kan, I.; Teubner-Rhodes, S.; Drummey, A.; Nutile, L.; Krupa, L.; Novick, J.",To adapt or not to adapt: the question of domain-general cognitive control,Cognition,129,,637-651,2013,Reading syntactically ambiguous sentences results in processing adjustments in subsequent Stroop trials (cross-domain conflict adaptation),failure,very close,psychology,cognitive psychology,,high,,,,,,,,95,0.03,etasq,,0.081,=,
10.1098/rsos.250908,https://doi.org/10.1098/rsos.250908,,,True,https://doi.org/10.1177/0146167213508791,"Newman, G.; Bloom, P.; Knobe, J.",Value judgments and the true self,Personality and Social Psychology Bulletin,40,,203-216,2014,Morally good changes in a person are perceived as more reflective of their true-self than morally bad or neutral changes,success,very close,psychology,social psychology,,high,,0.53,d,"[0.34, 0.71]",,,,803,0.62,d,"[0.47, 0.76]",0.001,<,
10.1098/rsos.250908,https://doi.org/10.1098/rsos.250908,,,True,https://doi.org/10.1177/0146167213508791,"Newman, G.; Bloom, P.; Knobe, J.",Value judgments and the true self,Personality and Social Psychology Bulletin,40,,203-216,2014,Political views moderate true-self attributions: people perceive changes toward their own political values as more reflective of true-self,success,very close,psychology,social psychology,,high,,0.19,d,"[0.01, 0.37]",,,,803,0.83,d,"[0.72, 0.94]",0.001,<,
10.1111/cogs.12962,https://doi.org/10.1111/cogs.12962,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1111/psyp.13546,https://doi.org/10.1111/psyp.13546,,,True,https://doi.org/10.1371/journal.pone.0154494,"Morriss, J.; Macdonald, B.; Van Reekum, C.",What is going on around here? Intolerance of uncertainty predicts threat generalization,PloS One,11,5,154494-154504,2016,Higher intolerance of uncertainty is associated with greater threat generalization during acquisition (reduced discrimination between threatening and safe stimuli measured by skin conductance response) and less differentiation between acquisition and extinction phases,inconclusive,direct,psychology,clinical psychology,,high,66,,,,,,,84,,,,0.31,=,
10.1111/psyp.14484,https://doi.org/10.1111/psyp.14484,,,True,https://doi.org/10.1038/s41467-020-17344-9,"Neuser, M.; Teckentrup, V.; Kühnel, A.; Hallschmid, M.; Walter, M.; Kroemer, N.",Vagus nerve stimulation boosts the drive to work for rewards,Nature Communications,11,1,3555,2020,Transcutaneous auricular vagus nerve stimulation (taVNS) enhances the invigoration of effort (how quickly participants energize effortful behavior) when working for food and monetary rewards,failure,direct,neuroscience,psychophysiology,,high,41,0.291,d,"[0.07, 0.51]",,,,40,0.08,d,,0.62,=,two-sided
10.1121/10.0010258,https://doi.org/10.1121/10.0010258,,,True,https://doi.org/10.1016/j.heares.2013.12.003,"Bhargava, P.; Gaudrain, E.; Başkent, D.",Top-down restoration of speech in cochlear-implant users,Hear Res,309,,113-123,2014,"Cochlear-implant users demonstrate perceptual restoration, showing better speech understanding with noise-burst interrupted sentences compared to silent-gap interrupted sentences, particularly with longer durations of intact speech between interruptions (75% duty cycle)",failure,very close,psychology,psychophysics,,high,13,4.6,RAU,,,,,13,-0.9,RAU,,0.802,=,two-sided
10.1167/jov.25.8.13,https://doi.org/10.1167/jov.25.8.13,,,True,https://doi.org/10.1016/j.cognition.2024.105843,"Chen, K.; Bae, G.",Working memory flips the direction of serial bias through memory-based decision,Cognition,250,,105843,2024,"Without a distracting task, participants show repulsive serial bias when estimating pointing direction of teardrop-shaped stimuli",success,direct,psychology,cognitive psychology,,high,,,,,,,,33,,,,,,
10.1167/jov.25.8.13,https://doi.org/10.1167/jov.25.8.13,,,True,https://doi.org/10.1016/j.cognition.2024.105843,"Chen, K.; Bae, G.",Working memory flips the direction of serial bias through memory-based decision,Cognition,250,,105843,2024,"With a distracting Stroop task during the delay period, the repulsive serial bias switches to an attractive bias in pointing direction estimation",success,direct,psychology,cognitive psychology,,high,,,,,,,,33,,,,,,
10.1177/0269881118822169,https://doi.org/10.1177/0269881118822169,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1177/0956797619893062,https://doi.org/10.1177/0956797619893062,,,True,https://doi.org/10.1126/science,"Nock, M.; Park, J.; Finn, C.; Deliberto, T.; Dour, H.; Banaji, M.",Measuring the suicidal mind: Implicit cognition predicts suicidal behavior,Psychological Science,21,,,2010,The Suicide-Implicit Association Test (S-IAT) discriminates between patients who presented to emergency department for suicide attempts versus those who presented for other psychiatric reasons,failure,direct,psychology,clinical psychology,,high,157,0.44,d,,0.015,=,,164,0.024,d,,0.889,=,
10.1177/0956797619893062,https://doi.org/10.1177/0956797619893062,,,True,https://doi.org/10.1126/science,"Nock, M.; Park, J.; Finn, C.; Deliberto, T.; Dour, H.; Banaji, M.",Measuring the suicidal mind: Implicit cognition predicts suicidal behavior,Psychological Science,21,,,2010,The Suicide-Implicit Association Test (S-IAT) prospectively predicts suicide attempts within a 6-month follow-up period beyond well-known clinical predictors,success,direct,psychology,clinical psychology,,high,157,,,,,,,164,,,,,,
10.1177/0956797620968526,https://doi.org/10.1177/0956797620968526,,,True,https://doi.org/10.1111/1467-9280.00376,"Olson, M.; Fazio, R.",Implicit attitude formation through classical conditioning,Psychological Science,12,5,413-417,2001,Evaluative conditioning produces attitude formation without awareness when neutral stimuli are paired with positive or negative stimuli during a surveillance task,success,very close,psychology,social psychology,,high,,0.27,g,,,,,1340,0.12,g,"[0.05, 0.2]",0.002,=,two-sided
10.1177/17470218221097047,https://doi.org/10.1177/17470218221097047,,,True,https://doi.org/10.1177/0956797612451471,"Griskevicius, V.; Ackerman, J.; Cantú, S.; Delton, A.; Robertson, T.; Simpson, J.; Thompson, M.; Tybur, J.","When the economy falters, do people spend or save? responses to resource scarcity depend on childhood environments",Psychological Science,24,2,197-205,2013,Images of economic recession prime people who reported impoverished childhoods to prefer smaller-sooner rewards compared to those who saw neutral images or people who reported affluent childhoods,failure,very close,psychology,social psychology,,high,168,,,,,,,238,,,,,,
10.1177/17470218221097047,https://doi.org/10.1177/17470218221097047,,,True,https://doi.org/10.1371/journal.pone.0144228,"Kelley, N.; Schmeichel, B.",Thinking about death reduces delay discounting,PLOS ONE,10,12,144228,2015,Participants who were asked to think about their own death show reduced delay discounting (prefer larger-later rewards) compared to a control group who thought about dental pain,failure,very close,psychology,social psychology,,high,,0.5767,d,,0.002,=,,189,,,,0.088,=,
10.1177/17470218221097047,https://doi.org/10.1177/17470218221097047,,,True,https://doi.org/10.1177/1747021818819777,"Bulley, A.; Miloyan, B.; Pepper, G.; Gullo, M.; Henry, J.; Suddendorf, T.",Cuing both positive and negative episodic foresight reduces delay discounting but does not affect risk-taking,Quarterly Journal of Experimental Psychology,72,8,1998-2017,2019,Imagining positive or negative future events reduces delay discounting (increases preference for larger-later rewards) compared to neutral control conditions,success,very close,psychology,cognitive psychology,,high,297,,,,0.001,<,,300,,,,0.001,<,
10.1177/25152459211018187,https://doi.org/10.1177/25152459211018187,,,True,https://doi.org/10.2307/1126804,"Flavell, J.; Beach, D.; Chinsky, J.",Spontaneous verbal rehearsal in a memory task as a function of age,Child Development,37,2,283-299,1966,"Spontaneous verbal rehearsal during picture memory tasks increases with age, with 5-6 year-old children rarely verbalizing, while 7-8 and 10-11 year-old children increasingly use verbal rehearsal strategies",inconclusive,direct,psychology,developmental psychology,,high,60,,,,,,,977,,,,0.01,<,
10.1177/25152459251328334,https://doi.org/10.1177/25152459251328334,,,True,https://doi.org/10.1177/1948550611432938,"Trafimow, D.; Hughes, J.",Testing the death thought suppression and rebound hypothesis: Death thought accessibility following mortality salience decreases during a delay,Social Psychological and Personality Science,3,5,622-629,2012,Death-thought accessibility is lower when there is a delay between mortality salience manipulation and measurement compared to no delay,success,direct,psychology,social psychology,,high,,0.37,d,"[0.00, 0.73]",,,,3447,0.08,raw difference,"[0.01, 0.14]",,,
10.1371/journal.pone.0046595,https://doi.org/10.1371/journal.pone.0046595,,,True,https://doi.org/10.1037/e537102012-699,"Chen, J.; Lin, W.; Ferrand, L.",Masked priming of the syllable in Mandarin Chinese speech production,Chinese Journal of Psychology,45,,107-120,2003,"Masked syllable priming effect in Chinese word naming: CV targets are named faster when preceded by CV primes than CVG primes, and CVG targets show the reverse pattern",success,direct,psychology,cognitive psychology,,high,,,,,,,,16,,,,0.001,<,
10.1371/journal.pone.0138922,https://doi.org/10.1371/journal.pone.0138922,,,True,https://doi.org/10.1126/science.1215647,"Gervais, W.; Norenzayan, A.",Analytic thinking promotes religious disbelief,Science,4,,493-496,2012,Individual differences in analytic thinking (as measured by the Cognitive Reflection Test) are negatively correlated with religious beliefs,success,direct,psychology,social psychology,,high,179,,,,,,,205,-0.17,r,,0.018,=,
10.1371/journal.pone.0195503,https://doi.org/10.1371/journal.pone.0195503,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0198616,https://doi.org/10.1371/journal.pone.0198616,,,True,https://doi.org/10.1111/j.1467-9280.2007.01909.x,"Birch, S.; Bloom, P.",The curse of knowledge in reasoning about false beliefs,Psychological Science,18,5,382-386,2007,Adults who know an object's true location overestimate the likelihood that a protagonist with a false belief will search in the correct location,success,very close,psychology,cognitive psychology,,high,,0.469,d,,,,,,0.507,d,,,,
10.1371/journal.pone.0209263,https://doi.org/10.1371/journal.pone.0209263,,,True,https://doi.org/10.1016/s0022-1031(03)00057-x,"Kay, A.; Ross, L.",The perceptual push: The interplay of implicit cues and explicit situational construals on behavioral intentions in the Prisoner's Dilemma,Journal of Experimental Social Psychology,39,6,634-643,2003,"Priming with cooperation/competition words affects construal of and behavioral intentions in Prisoner's Dilemma, with stronger effects when situational construal precedes the decision",failure,very close,psychology,social psychology,,high,56,0.08,etasq,,,,,346,0.002,etasq,,0.527,=,
10.1371/journal.pone.0214540,https://doi.org/10.1371/journal.pone.0214540,,,True,https://doi.org/10.3758/bf03193496,"Isarida, T.; Isarida, T.",Environmental context effects of background color in free recall,Memory & Cognition,35,7,1620-1629,2007,Simple background color changes during encoding produce context-dependent memory effects in free recall tasks,failure,very close,psychology,cognitive psychology,,high,,,,,,,,40,-0.204,d,,0.898,=,one-sided
10.1371/journal.pone.0220419,https://doi.org/10.1371/journal.pone.0220419,,,True,https://doi.org/10.1371/journal.pone.0004117,"Ellenbogen, J.; Hulbert, J.; Jiang, Y.",The sleeping brain's influence on verbal memory: boosting resistance to interference,PLoS One,4,,4117,2009,Sleep (compared to wake) protects declarative memories against subsequent retroactive interference from learning overlapping information,failure,direct,psychology,cognitive psychology,,high,,0.0985,etasq,,,,,97,0.004,etasq,,0.54,=,
10.1371/journal.pone.0229161,https://doi.org/10.1371/journal.pone.0229161,,,True,https://doi.org/10.1177/0956797611434748,"Bernard, P.; Gervais, S.; Allen, J.; Campomizzi, S.; Klein, O.",Integrating sexual objectification with object versus person recognition: The Sexualized-Body-Inversion Hypothesis,Psychol Sci,23,5,469-471,2012,"Sexualized women show weaker body inversion effects than sexualized men, indicating object-like rather than person-like cognitive processing",success,direct,psychology,social psychology,,high,78,,,,,,,93,,,,0.045,=,
10.1371/journal.pone.0229161,https://doi.org/10.1371/journal.pone.0229161,,,True,https://doi.org/10.1177/0956797611434748,"Bernard, P.; Gervais, S.; Allen, J.; Campomizzi, S.; Klein, O.",Integrating sexual objectification with object versus person recognition: The Sexualized-Body-Inversion Hypothesis,Psychol Sci,23,5,469-471,2012,"Sexualized women show weaker body inversion effects than sexualized men, indicating object-like rather than person-like cognitive processing",failure,conceptual,psychology,social psychology,,high,78,,,,,,,87,,,,0.22,=,
10.1371/journal.pone.0266171,https://doi.org/10.1371/journal.pone.0266171,,,True,https://doi.org/10.1111/bjop.12463,"Stewart-Williams, S.; Chang, C.; Wong, X.; Blackburn, J.; Thomas, A.",Reactions to male-favoring vs. female-favoring sex differences: A pre-registered experiment and Southeast Asian replication,British Journal of Psychology,112,,389-411,2021,People react more positively to research findings showing female-favoring sex differences than to those showing male-favoring sex differences,success,direct,psychology,social psychology,,high,,,,,,,,303,0.58,d,,0.001,<,
