replication_doi,replication_url,replication_title,replication_journal,contains_replications,original_url,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,description,result,replication_type,discipline,subdiscipline,justification,confidence,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails,version
10.1002/acp.1376,https://doi.org/10.1002/acp.1376,,,True,https://doi.org/10.3758/bf03195539,"Mori, K.",Surreptitiously projecting different movies to two subsets of viewers,Behavior Research Methods,35,4,599-604,2003,"The MORI technique demonstrates memory conformity: when people discuss an event together, they incorporate misinformation from their discussion partner into their own memory reports",success,close,psychology,cognitive psychology,,high,,,,,,,,40,1.11,d,,0.01,<,two-sided,
10.1002/acp.70012,https://doi.org/10.1002/acp.70012,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002/ajmg.b.31194,https://doi.org/10.1002/ajmg.b.31194,,,True,https://doi.org/10.1016/j.ajhg.2008.12.008,"Beecham, G.; Martin, E.; Li, Y.; Slifer, M.; Gilbert, J.; Haines, J.; Pericak-Vance, M.",Genome-wide association study implicates a chromosome 12 risk locus for late-onset Alzheimer disease,Am J Hum Genet,84,1,35-43,2009,"Multiple SNPs on chromosomes 10, 12, and 19 are associated with increased risk of late-onset Alzheimer's disease",failure,direct,neuroscience,cognitive neuroscience,,high,,,,,,,,1969,,,,,,,
10.1002/ajmg.b.31194,https://doi.org/10.1002/ajmg.b.31194,,,True,https://doi.org/10.1016/j.ajhg.2008.10.008,"Bertram, L.; Lange, C.; Mullin, K.; Parkinson, M.; Hsiao, M.; Hogan, M.; Schjeide, B.; Hooli, B.; Devito, J.; Ionita, I.; Jiang, H.; Laird, N.; Moscarillo, T.",Genome-wide association analysis reveals putative Alzheimer's disease susceptibility loci in addition to APOE,Am J Hum Genet,83,5,623-632,2008,"SNPs on chromosomes 6, 14, 18, and 19 are associated with increased risk of late-onset Alzheimer's disease",failure,direct,neuroscience,cognitive neuroscience,,high,,,,,,,,1969,,,,,,,
10.1002/ajmg.b.31194,https://doi.org/10.1002/ajmg.b.31194,,,True,https://doi.org/10.1038/ng.305,"Carrasquillo, M.; Zou, F.; Pankratz, V.; Wilcox, S.; Ma, L.; Walker, L.; Younkin, S.; Younkin, C.; Younkin, L.; Bisceglio, G.; Ertekin-Taner, N.; Crook, J.; Dickson, D.",Genetic variation in PCDH11X is associated with susceptibility to late-onset Alzheimer's disease,Nat Genet,41,2,192-198,2009,Genetic variation in PCDH11X (rs5984894) on the X chromosome is associated with susceptibility to late-onset Alzheimer's disease,failure,direct,neuroscience,cognitive neuroscience,,high,,,,,,,,1969,,,,,,,
10.1002/ajmg.b.31194,https://doi.org/10.1002/ajmg.b.31194,,,True,https://doi.org/10.1016/j.neuron.2007.05.022,"Reiman, E.; Webster, J.; Myers, A.; Hardy, J.; Dunckley, T.; Zismann, V.; Joshipura, K.; Pearson, J.; Hu-Lince, D.; Huentelman, M.; Craig, D.; Coon, K.; Liang, W.",GAB2 alleles modify Alzheimer's risk in APOE e4 carriers,Neuron,54,5,713-720,2007,GAB2 genetic variation (rs2373115) modifies Alzheimer's disease risk in APOE e4 carriers,failure,direct,neuroscience,cognitive neuroscience,,high,,,,,,,,1969,,,,,,,
10.1002/alz.042402,https://doi.org/10.1002/alz.042402,,,True,,"Marples, B.",,,,,,2016,Low-dose radiation therapy (2 Gray in 5 fractions delivered daily) reduces amyloid plaques in an AD mouse model,failure,close,neuroscience,behavioral neuroscience,,high,,,,,,,,,,,,,,,
10.1002/alz.042402,https://doi.org/10.1002/alz.042402,,,True,,"Marples, B.",,,,,,2016,Low-dose radiation therapy (2 Gray in 5 fractions delivered daily) improves cognition in an AD mouse model,success,close,neuroscience,behavioral neuroscience,,high,,,,,,,,,+72%,,,0.05,<,,
10.1002/bdm.1789,https://doi.org/10.1002/bdm.1789,,,True,https://doi.org/10.1016/j.obhdp.2005.10.004,"Bartels, D.",Proportion dominance: the generality and variability of favoring relative savings over absolute savings,Organizational Behavior and Human Decision Processes,100,1,76-95,2006,"The proportion dominance effect: people are more motivated to help when victims are part of a small reference group (e.g., 56 out of 60) rather than a large reference group (e.g., 56 out of 560)",success,direct,psychology,social psychology,,high,,,,,,,,48,0.35,d,,0.018,=,two-sided,
10.1002/bdm.2041,https://doi.org/10.1002/bdm.2041,,,True,https://doi.org/10.1086/599764,"Frederick, S.; Novemsky, N.; Wang, J.; Dhar, R.; Nowlis, S.",Opportunity cost neglect,Journal of Consumer Research,36,,553-561,2009,Reminding people of opportunity costs decreases their willingness to buy products,success,close,psychology,consumer psychology/marketing,,high,,,,,,,,2325,0.54,OR,"[0.39, 0.74]",0.001,<,,
10.1002/bin.1411,https://doi.org/10.1002/bin.1411,,,True,https://doi.org/10.1901/jaba.2012.45-473,"Leaf, J.; Oppenheim-Leaf, M.; Leaf, R.; Courtermanche, A.; Taubman, M.; Mceachin, J.; Sherman, J.",Observational effects on the preferences of children with autism,Journal of Applied Behavior Analysis,45,3,473-483,2012,An observational conditioning procedure in which children observe an adult playing with a low-preference item in an engaging manner can switch children's preferences from a high-preference item to the low-preference item,success,close,psychology,clinical psychology,,high,3,,,,,,,1,,,,,,,
10.1002/bin.1411,https://doi.org/10.1002/bin.1411,,,True,https://doi.org/10.1901/jaba.2012.45-473,"Leaf, J.; Oppenheim-Leaf, M.; Leaf, R.; Courtermanche, A.; Taubman, M.; Mceachin, J.; Sherman, J.",Observational effects on the preferences of children with autism,Journal of Applied Behavior Analysis,45,3,473-483,2012,An observational conditioning procedure in which children observe an adult playing with a low-preference item in an engaging manner can switch children's preferences from a high-preference item to the low-preference item,inconclusive,close,psychology,clinical psychology,,high,3,,,,,,,1,,,,,,,
10.1002/bin.1411,https://doi.org/10.1002/bin.1411,,,True,https://doi.org/10.1901/jaba.2012.45-473,"Leaf, J.; Oppenheim-Leaf, M.; Leaf, R.; Courtermanche, A.; Taubman, M.; Mceachin, J.; Sherman, J.",Observational effects on the preferences of children with autism,Journal of Applied Behavior Analysis,45,3,473-483,2012,An observational conditioning procedure in which children observe an adult playing with a low-preference item in an engaging manner can switch children's preferences from a high-preference item to the low-preference item,failure,close,psychology,clinical psychology,,high,3,,,,,,,1,,,,,,,
10.1002/bin.1411,https://doi.org/10.1002/bin.1411,,,True,https://doi.org/10.1901/jaba.2012.45-473,"Leaf, J.; Oppenheim-Leaf, M.; Leaf, R.; Courtermanche, A.; Taubman, M.; Mceachin, J.; Sherman, J.",Observational effects on the preferences of children with autism,Journal of Applied Behavior Analysis,45,3,473-483,2012,An observational conditioning procedure in which children observe an adult playing with a low-preference item in an engaging manner can switch children's preferences from a high-preference item to the low-preference item,failure,close,psychology,clinical psychology,,high,3,,,,,,,1,,,,,,,
10.1002/bin.1707,https://doi.org/10.1002/bin.1707,,,True,https://doi.org/10.1002/bin.269,"Rapp, J.; Colby-Dirksen, A.; Michalski, D.; Carroll, R.; Lindenberg, A.",Detecting changes in simulated events using partial-interval recording and momentary time sampling,Behavioral Interventions,23,,237-269,2008,Momentary time sampling and partial interval recording methods can detect changes in behavioral events but may produce false positives for duration events,success,close,psychology,experimental philosophy,,high,,,,,,,,,,,,,,,
10.1002/bin.1707,https://doi.org/10.1002/bin.1707,,,True,https://doi.org/10.1002/jaba.394,"Lanovaz, M.; Huxley, S.; Dufour, M.",Using the dual-criteria methods to supplement visual inspection: An analysis of nonsimulated data,Journal of Applied Behavior Analysis,50,,662-667,2017,"The conservative dual-criteria method produces fewer false positives than the dual-criteria method, and false positives decrease when Phase B contains a minimum of five points",success,close,psychology,experimental philosophy,,high,,,,,,,,,,,,,,,
10.1002/bin.1786,https://doi.org/10.1002/bin.1786,,,True,https://doi.org/10.1901/jaba.2011.44-925,"Jennett, H.; Hagopian, L. P.",Evaluation of response blocking and re-presentation in a competing stimulus assessment,Journal of Applied Behavior Analysis,44,4,925-929,2011,Response blocking and re-presentation during competing stimulus assessment reduces self-injurious behavior and increases engagement with test stimuli,success,close,psychology,clinical psychology,,high,1,,,,,,,1,,,,,,,
10.1002/bin.1786,https://doi.org/10.1002/bin.1786,,,True,https://doi.org/10.1002/jaba.725,"Hagopian, L.; Frank-Crawford, M.; Javed, N.; Fisher, A.; Dillon, C.; Zarcone, J.; Rooker, G.",Initial outcomes of an augmented competing stimulus assessment,Journal of Applied Behavior Analysis,53,4,2172-2185,2020,Augmented competing stimulus assessment using prompting and response blocking increases the number of effective competing stimuli identified for automatically maintained problem behavior,success,close,psychology,clinical psychology,,high,6,,,,,,,1,,,,,,,
10.1002/casp.2412,https://doi.org/10.1002/casp.2412,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002/cpp.491,https://doi.org/10.1002/cpp.491,,,True,https://doi.org/10.1002/cpp.333,"Lambert, M.; Whipple, J.; Bishop, M.; Vermeersch, D.",Comparison of empirically derived and rationally derived methods for identifying patients at risk for treatment failure,Clinical Psychology and Psychotherapy,9,3,149-164,2002,An empirically derived method (using hierarchical linear modeling) is superior to a rationally derived method (using clinical judgment combined with psychometric properties) in predicting psychotherapy treatment failures,success,direct,psychology,clinical psychology,,high,,,,,,,,299,,,,0.0001,<,,
10.1002/da.20389,https://doi.org/10.1002/da.20389,,,True,https://doi.org/10.1037/0021-843x.87.1.49,"Abramson, L.; Seligman, M.; Teasdale, J.",Learned helplessness in humans: critique and reformulation,J Abnorm Psychol,87,1,49-74,1978,"Depressed individuals show a depressive explanatory style, attributing negative events to internal causes and positive events to external causes",success,conceptual,psychology,clinical psychology,,high,,,,,,,,34,,,,0.002,=,two-sided,
10.1002/da.20389,https://doi.org/10.1002/da.20389,,,True,https://doi.org/10.1093/geronb/50b.2.p74,"Fromholt, P.; Larsen, P.; Larsen, S.",Effects of late-onset depression and recovery on autobiographical memory,J Gerontol B Psychol Sci Soc Sci,50,2,74-81,1995,Depressed patients narrate more negative events in their life narratives compared to non-depressed controls,success,close,psychology,clinical psychology,,medium,,,,,,,,34,,,,0.000,<,two-sided,
10.1002/da.21946,https://doi.org/10.1002/da.21946,,,True,https://doi.org/10.1001/archgenpsychiatry.2011.1574,"Wolf, E. J.; Miller, M. W.; Reardon, A. F.",A latent class analysis of dissociation and PTSD: evidence for a dissociative subtype,Archives of General Psychiatry,69,7,698,2012,"Latent profile analysis of PTSD and dissociation symptoms yields evidence for a dissociative subtype characterized by high derealization and depersonalization, representing approximately 12% of individuals with PTSD",success,direct,psychology,clinical psychology,,high,,,,,,,,360,,,,,,,
10.1002/da.21946,https://doi.org/10.1002/da.21946,,,True,https://doi.org/10.1001/archgenpsychiatry.2011.1574,"Wolf, E. J.; Miller, M. W.; Reardon, A. F.",A latent class analysis of dissociation and PTSD: evidence for a dissociative subtype,Archives of General Psychiatry,69,7,698,2012,"Latent profile analysis of PTSD and dissociation symptoms yields evidence for a dissociative subtype characterized by high derealization and depersonalization, representing approximately 12% of individuals with PTSD",success,close,psychology,clinical psychology,,high,,,,,,,,284,,,,,,,
10.1002/dev.420050403,https://doi.org/10.1002/dev.420050403,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002/eat.20103,https://doi.org/10.1002/eat.20103,,,True,https://doi.org/10.1016/s1471-0153(03)00026-6,"Gilbert, N.; Meyer, C.",Social anxiety and social comparison: Differential links with restrictive and bulimic attitudes among non-clinical women,Eating Behaviours,4,3,257-264,2003,Fear of negative evaluation from people in general is linked to restrictive eating attitudes (drive for thinness and body dissatisfaction) but not to bulimic attitudes,success,direct,psychology,clinical psychology,,high,,,,,,,,91,,,,0.01,<,one-sided,
10.1002/eat.20897,https://doi.org/10.1002/eat.20897,,,True,https://doi.org/10.1016/j.brat.2009.12.012,"Elliott, C. A.; Tanofsky-Kraff, M.; Shomaker, L. B.; Columbo, K. M.; Wolkoff, L. E.; Ranzenhofer, L. M.",An examination of the interpersonal model of loss of control eating in children and adolescents,Behaviour Research and Therapy,48,5,424-428,2010,"Interpersonal problems lead to negative affect which, in turn, triggers loss of control over eating",success,close,psychology,clinical psychology,,high,217,,,,,,,350,,,,,,,
10.1002/ejsp.2013,https://doi.org/10.1002/ejsp.2013,,,True,https://doi.org/10.1177/1948550611401042,"Meier, B.; Moller, A.; Chen, J.; Riemer-Peltz, M.",Spatial metaphor and real estate north-south location biases housing preference,Social Psychological and Personality Science,2,5,547-553,2011,High-SES individuals are perceived to live in northern areas and low-SES individuals in southern areas of a fictional city,success,direct,psychology,social psychology,,high,,,,,,,,80,0.53,d,,0.01,<,two-sided,
10.1002/ejsp.2013,https://doi.org/10.1002/ejsp.2013,,,True,https://doi.org/10.1177/1948550611401042,"Meier, B.; Moller, A.; Chen, J.; Riemer-Peltz, M.",Spatial metaphor and real estate north-south location biases housing preference,Social Psychological and Personality Science,2,5,547-553,2011,Participants prefer to live in northern (vs. southern) areas when selecting their preferred living location on a map of a fictional city,failure,direct,psychology,social psychology,,high,,0.60,d,,,,,166,0.02,d,,0.87,=,two-sided,
10.1002/ejsp.2172,https://doi.org/10.1002/ejsp.2172,,,True,https://doi.org/10.1037/a0036477,"Topolinski, S.; Maschmann, I.; Pecher, D.; Winkielman, P.",Oral approach-avoidance: affective consequences of muscular articulation dynamics,Journal of Personality and Social Psychology,106,,885-896,2014,Subvocal articulations inducing muscular contractions resembling ingestion movements (inward consonantal wandering) are preferred over expectoration-like movements (outward wandering),success,direct,psychology,social psychology,,high,,0.44,d,,,,,407,0.19,d,,0.008,=,two-sided,
10.1002/ejsp.2420170402,https://doi.org/10.1002/ejsp.2420170402,,,True,https://doi.org/10.1002/ejsp.2420150309,"Nuttin, J. Jr.",Narcissism beyond Gestalt and awareness: the name letter effect,European Journal of Social Psychology,15,3,353-361,1985,People prefer letters that appear in their own names (the 'name letter effect') - mere ownership of letter stimuli enhances their attractiveness,success,close,psychology,social psychology,,high,,,,,,,,2047,,,,0.0001,<,,
10.1002/erv.2344,https://doi.org/10.1002/erv.2344,,,True,https://doi.org/10.1002/eat.20897,"Ansell, E.; Grilo, C.; White, M.",Examining the interpersonal model of binge eating and loss of control over eating in women,International Journal of Eating Disorders,1,,43-50,2012,"Interpersonal problems lead to negative affect, which in turn leads to binge eating and eating disorder psychopathology in women",success,close,psychology,clinical psychology,,high,350,,,,,,,255,,,,,,,
10.1002/erv.2344,https://doi.org/10.1002/erv.2344,,,True,https://doi.org/10.1016/j.brat.2009.12.012,"Elliott, C.; Tanofsky-Kraff, M.; Shomaker, L.B.; Columbo, K.M.; Wplkoff, L.E.; Ranzenhofer, L.M.",An examination of the interpersonal model of loss of control eating in children and adolescents,Behaviour Research and Therapy,48,,424-428,2010,"Interpersonal problems lead to negative affect, which in turn leads to loss of control eating in children and adolescents",success,close,psychology,clinical psychology,,high,,,,,,,,255,,,,,,,
10.1002/erv.2569,https://doi.org/10.1002/erv.2569,,,True,https://doi.org/10.1002/eat.22358,"Grilo, C.; Reas, D.; Hopwood, C.; Crosby, R.",Factor structure and construct validity of the eating disorder examination-questionnaire in college students: further support for a modified brief version,International Journal of Eating Disorders,48,,284-289,2015,"A 7-item, 3-factor structure (dietary restraint, body dissatisfaction, and shape/weight overvaluation) provides a better fit than the original 4-factor structure for the Eating Disorder Examination-Questionnaire",success,close,psychology,clinical psychology,,high,,,,,,,,4726,,,,,,,
10.1002/hrm.20418,https://doi.org/10.1002/hrm.20418,,,True,https://doi.org/10.1016/j.obhdp.2009.01.001,"Shantz, A.; Latham, G.",An exploratory field experiment of the effect of conscious and subconscious goals on employee performance,Organizational Behavior and Human Decision Processes,109,1,9-17,2009,Priming employees with a photograph of a woman winning a race (achievement goal) increases fundraising performance in a call center,success,direct,psychology,social psychology,,high,,,,,,,,20,0.99,d,,0.05,<,two-sided,
10.1002/hrm.20418,https://doi.org/10.1002/hrm.20418,,,True,https://doi.org/10.1016/j.obhdp.2009.01.001,"Shantz, A.; Latham, G.",An exploratory field experiment of the effect of conscious and subconscious goals on employee performance,Organizational Behavior and Human Decision Processes,109,1,9-17,2009,Priming employees with a photograph of a woman winning a race (achievement goal) increases fundraising performance in a call center,success,direct,psychology,social psychology,,high,,,,,,,,44,0.61,d,,0.05,<,two-sided,
10.1002/j.2330-8516.1989.tb00154.x,https://doi.org/10.1002/j.2330-8516.1989.tb00154.x,,,True,https://doi.org/10.1111/j.1464-0597.1987.tb01191.x,"Stocking, M.",Two simulated feasibility studies in computerised adaptive testing,Applied Psychology: An International Review,36,2,3-5,1987,"In variable-length adaptive testing with a stopping rule based on standard error of measurement, knowing an examinee's true score and the number of items administered is sufficient to predict whether the estimated score is over or under estimated",success,close,education,educational psychology,,high,5000,,,,,,,1800,,,,,,,
10.1002/jaba.1098,https://doi.org/10.1002/jaba.1098,,,True,https://doi.org/10.1002/jaba.968,"Seward, R.; Redner, R.",Step it UP! game increases steps of adults with disabilities,Journal of Applied Behavior Analysis,56,1,231-240,2023,The Step it UP! Game (an interdependent group contingency based on the Good Behavior Game) increases step counts among adults with disabilities,success,close,psychology,clinical psychology,,high,10,,,,,,,9,,,,,,,
10.1002/jaba.1098,https://doi.org/10.1002/jaba.1098,,,True,https://doi.org/10.1002/jaba.624,"Normand, M.; Burji, C.",Using the Step it UP! game to increase physical activity during physical-education classes,Journal of Applied Behavior Analysis,53,2,1071-1079,2020,The Step it UP! Game remains effective with extended implementation (longer session duration and more sessions),success,close,psychology,clinical psychology,,high,18,,,,,,,9,,,,,,,
10.1002/jaba.1098,https://doi.org/10.1002/jaba.1098,,,True,https://doi.org/10.1002/jaba.699,"Nieto, P.; Wiskow, K.",Evaluating adult interaction during the Step it UP! game to increase physical activity in children,nal of Applied Behavior Analysis,53,3,1354-1366,2020,Adding contingent adult social interaction to the Step it UP! Game increases physical activity beyond the game alone,failure,close,psychology,clinical psychology,,high,25,,,,,,,8,,,,,,,
10.1002/jaba.237,https://doi.org/10.1002/jaba.237,,,True,https://doi.org/10.1016/j.ridd.2013.02.012,"Heald, M.; Allen, D.; Villa, D.; Oliver, C.",Discrimination training reduces high rate social approach behaviors in Angelman syndrome: Proof of principle,Research in Developmental Disabilities,34,,1794-1803,2013,Discrimination training using multiple schedules of reinforcement can reduce high-rate social approach behaviors in individuals with Angelman syndrome,success,close,psychology,clinical psychology,,high,4,,,,,,,3,,,,,,,
10.1002/jaba.554,https://doi.org/10.1002/jaba.554,,,True,https://doi.org/10.1002/jaba.270,"Gervarter, C.; O'reilly, M.; Kuhn, M.; Miller, K.; Ferguson, R.; Watkins, L.",Increasing the vocalizations of individuals with autism during intervention with a speech-generating device,Journal of Applied Behavior Analysis,49,,17-33,2016,"Using a speech-generating device with differential reinforcement, reinforcement delays, and echoic prompts increases independent vocalizations in children with autism spectrum disorder",success,close,psychology,developmental psychology,,high,4,,,,,,,3,,,,,,,
10.1002/jaba.593,https://doi.org/10.1002/jaba.593,,,True,https://doi.org/10.1007/s40617-018-0210-7,"Curiel, H.; Curiel, E.; Li, A.; Deochand, N.; Poling, A.",Examining a web-based procedure for assessing preference for videos,Behavior Analysis in Practice,11,,406-410,2018,A web-based multiple-stimulus-without-replacement (MSWO) preference assessment can identify video preference hierarchies for individuals with developmental disabilities,success,direct,psychology,clinical psychology,,high,5,,,,,,,5,,,,,,,
10.1002/jaba.606,https://doi.org/10.1002/jaba.606,,,True,https://doi.org/10.1901/jaba.2012.45-657,"Coon, J.; Miguel, C.",The role of increased exposure to transfer-of-stimulus control procedures on the acquisition of intraverbal behavior,Journal of Applied Behavior Analysis,45,,657-666,2012,Increased exposure to a specific prompt type (echoic or tact) makes that prompt more efficient for teaching intraverbals to children,success,close,psychology,developmental psychology,,high,,,,,,,,4,,,,,,,
10.1002/jaba.606,https://doi.org/10.1002/jaba.606,,,True,https://doi.org/10.1002/jaba.568,"Roncati, A.; Souza, A.; Miguel, C.",Exposure to a Specific Prompt Topography Predicts its Relative Efficiency when Teaching Intraverbal Behavior to Children with Autism,Journal of Applied Behavior Analysis,52,3,739,2019,Increased exposure to echoic or tact prompts predicts relative efficiency of those prompts for teaching intraverbals to children with autism,success,close,psychology,developmental psychology,,high,3,,,,,,,4,,,,,,,
10.1002/jaba.686,https://doi.org/10.1002/jaba.686,,,True,https://doi.org/10.1002/jaba.253,"Lambert, J.; Bloom, S.; Samaha, A.; Dayton, E.; Rodewald, A.",Serial alternative response training as intervention for target response resurgence,Journal of Applied Behavior Analysis,48,,765-780,2015,Serial training of multiple alternative responses reduces resurgence of target behavior compared to single-response training,success,close,psychology,clinical psychology,,high,3,,,,,,,4,,,,,,,
10.1002/jaba.686,https://doi.org/10.1002/jaba.686,,,True,https://doi.org/10.3390/bs15081014,"Carrasquillo, T.; Ringdahl, J.",The effect of teaching multiple response alternatives on response resurgence and persistence,Journal of Applied Behavior Analysis,15,8,1014,2025,Serial training of multiple alternative responses reduces resurgence of target behavior compared to single-response training,success,close,psychology,clinical psychology,,high,,,,,,,,4,,,,,,,
10.1002/jaba.891,https://doi.org/10.1002/jaba.891,,,True,https://doi.org/10.1177/105381519301700206,"Lifter, K.; Sulzer-Azaroff, B.; Anderson, S.; Cowdery, G.",Teaching play activities to preschool children with disabilities: the importance of developmental considerations,Journal of Early Intervention,17,2,139-159,1993,Children with developmental disabilities acquire developmentally appropriate play skills more readily than age-appropriate play skills,success,direct,psychology,developmental psychology,,high,3,,,,,,,4,,,,,,,
10.1002/jaba.946,https://doi.org/10.1002/jaba.946,,,True,https://doi.org/10.1007/s10864-020-09420-3,"Wong, K.; Bajwa, T.; Fienup, D.",The application of mastery criterion to individual operants and the effects on acquisition and maintenance of responses,Journal of Behavioral Education,,,,2021,Individual target mastery criterion (operant analysis) leads to faster acquisition of sight words compared to stimulus set mastery criterion (set analysis) in learners receiving special education services,success,close,psychology,developmental psychology,,high,4,,,,,,,7,,,,,,,
10.1002/jaba.946,https://doi.org/10.1002/jaba.946,,,True,https://doi.org/10.1002/jaba.915,"Wong, K.; Fienup, D.",Units of analysis in acquisition-performance criteria for,Journal of Applied Behavior Analysis,,,,2022,"Individual target mastery criterion (operant analysis) leads to faster acquisition of sight words compared to stimulus set mastery criterion (set analysis), with similar maintenance across conditions",success,close,psychology,developmental psychology,,high,3,,,,,,,7,,,,,,,
