,original_url,replication_url,description,result,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_authors,replication_title,replication_journal,replication_volume,replication_issue,replication_pages,replication_year,original_n,original_es,original_es_type,original_es_95_CI,original_p_value,original_p_value_type,original_p_value_tails,replication_n,replication_es,replication_es_type,replication_es_95_CI,replication_p_value,replication_p_value_type,replication_p_value_tails,discipline,tags,validated,validated_person,openalex_field,openalex_subfield,replication_citation_html,original_citation_html,Unnamed: 0,original_es_r,replication_es_r,original_pdf_exists,replication_pdf_exists
10,http://doi.org/10.1111/j.1467-8624.2007.00995.x,http://doi.org/10.1016/j.intell.2020.101471,Growth mindset is associated with the change of grades in a challenging educational transition.,inconclusive,Lisa S. Blackwell; Kali H. Trzesniewski; Carol Sorich Dweck,Implicit Theories of Intelligence Predict Achievement Across an Adolescent Transition: A Longitudinal Study and an Intervention,Child Development,78.0,1,246,2007.0,Yue Li; Timothy C. Bates,Testing the association of growth mindset and grades across a challenging transition: Is growth mindset associated with grades?,Intelligence,81.0,,101471,2020.0,373.0,,,,,,,586.0,,,,,,,social psychology,"Intelligence-mindset, Educational attainment, Growth mindset, Challenging transitions,growth mindset",yes,forrt.org team: LK,Psychology,Experimental and Cognitive Psychology,"<a href=""https://doi.org/10.1016/j.intell.2020.101471"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Li Y. <i>et al.</i> <i>Intelligence</i> 2020</a>","<a href=""https://doi.org/10.1111/j.1467-8624.2007.00995.x"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Blackwell L. <i>et al.</i> <i>Child Development</i> 2007</a>",10.0,0.17,-0.05,True,True
11,http://doi.org/10.1016/j.cognition.2014.08.006,http://doi.org/10.1016/j.jesp.2023.104549,Priming analytic thinking using the scrambled sentence task reduces belief in conspiracy theories,inconclusive,Viren Swami; Martin Voracek; Stefan Stieger; Ulrich S. Tran; Adrian Furnham,Analytic thinking reduces belief in conspiracy theories,Cognition,133.0,3,572,2014.0,Bojana Većkalov; Vukašin Gligorić; Marija Petrović,No evidence that priming analytic thinking reduces belief in conspiracy theories: A Registered Report of high-powered direct replications of Study 2 and Study 4 from,Journal of Experimental Social Psychology,110.0,,104549,2023.0,112.0,,d,,,,,302.0,,d,,,,,cognitive psychology,"analytic thinking, priming, conspiracy theory,Analytic priming",yes,forrt.org team: LK,Social Sciences,Sociology and Political Science,"<a href=""https://doi.org/10.1016/j.jesp.2023.104549"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Većkalov B. <i>et al.</i> <i>Journal of Experimental Social Psychology</i> 2023</a>","<a href=""https://doi.org/10.1016/j.cognition.2014.08.006"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Swami V. <i>et al.</i> <i>Cognition</i> 2014</a>",11.0,0.22414769,0.05989229,True,True
12,http://doi.org/10.1016/j.cognition.2014.08.006,http://doi.org/10.1016/j.jesp.2023.104549,Priming analytic thinking using the scrambled sentences paradigm reduces belief in conspiriacy theories,inconclusive,Viren Swami; Martin Voracek; Stefan Stieger; Ulrich S. Tran; Adrian Furnham,Analytic thinking reduces belief in conspiracy theories,Cognition,133.0,3,572,2014.0,Bojana Većkalov; Vukašin Gligorić; Marija Petrović,No evidence that priming analytic thinking reduces belief in conspiracy theories: A Registered Report of high-powered direct replications of Study 2 and Study 4 from,Journal of Experimental Social Psychology,110.0,,104549,2023.0,140.0,,d,,,,,488.0,,d,,,,,cognitive psychology,"analytic thinking, priming, conspiriacy theory,Analytic priming",yes,forrt.org team: LK,Social Sciences,Sociology and Political Science,"<a href=""https://doi.org/10.1016/j.jesp.2023.104549"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Većkalov B. <i>et al.</i> <i>Journal of Experimental Social Psychology</i> 2023</a>","<a href=""https://doi.org/10.1016/j.cognition.2014.08.006"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Swami V. <i>et al.</i> <i>Cognition</i> 2014</a>",12.0,0.20551723,0.02998651,True,True
13,http://doi.org/10.1080/08824096.2018.1525347,http://doi.org/10.1027/1864-1105/a000334,autonomy-enjoy,success,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,,,,,,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,Arts and Humanities,Literature and Literary Theory,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>",13.0,0.29,0.43,True,True
14,http://doi.org/10.1080/08824096.2018.1525347,http://doi.org/10.1027/1864-1105/a000334,autonomy-recovery,success,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,,,,,,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,Arts and Humanities,Literature and Literary Theory,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>",14.0,0.27,0.64,True,True
15,http://doi.org/10.1080/08824096.2018.1525347,http://doi.org/10.1027/1864-1105/a000334,autonomy-vitality,inconclusive,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,,,,,,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,Arts and Humanities,Literature and Literary Theory,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>",15.0,0.09,0.16,True,True
16,http://doi.org/10.1080/08824096.2018.1525347,http://doi.org/10.1027/1864-1105/a000334,binge-autonomy,success,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,,,,,,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,Arts and Humanities,Literature and Literary Theory,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>",16.0,0.15,0.34,True,True
17,http://doi.org/10.1080/08824096.2018.1525347,http://doi.org/10.1027/1864-1105/a000334,binge-enjoy,success,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,,,,,,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,Arts and Humanities,Literature and Literary Theory,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>",17.0,0.34,0.22,True,True
18,http://doi.org/10.1080/08824096.2018.1525347,http://doi.org/10.1027/1864-1105/a000334,binge-goal conflict,success,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,,,,,,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,Arts and Humanities,Literature and Literary Theory,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>",18.0,0.65,0.47,True,True
19,http://doi.org/10.1080/08824096.2018.1525347,http://doi.org/10.1027/1864-1105/a000334,binge-recovery,inconclusive,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,,,,,,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,Arts and Humanities,Literature and Literary Theory,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>",19.0,0.08,0.06,True,True
20,http://doi.org/10.1080/08824096.2018.1525347,http://doi.org/10.1027/1864-1105/a000334,binge-vitality,inconclusive,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,,,,,,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,Arts and Humanities,Literature and Literary Theory,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>",20.0,0.07,0.02,True,True
21,http://doi.org/10.1080/08824096.2018.1525347,http://doi.org/10.1027/1864-1105/a000334,goal conflict-guilt,success,Viola C. Granow; Leonard Reinecke; Marc Ziegele,Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy,Communication Research Reports,35.0,5,392,2018.0,Elena Erdmann; Tobias Dienlin,"Binge-Watching, Self-Determination, and Well-Being",Journal of Media Psychology,34.0,6,383,2022.0,499.0,,beta,,,,,668.0,,beta,,,,,,binge-watching; self-determination theory; media psychology; well-being,yes,forrt.org team: CD,Arts and Humanities,Literature and Literary Theory,"<a href=""https://doi.org/10.1027/1864-1105/a000334"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Erdmann E. <i>et al.</i> <i>Journal of Media Psychology</i> 2022</a>","<a href=""https://doi.org/10.1080/08824096.2018.1525347"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Granow V. <i>et al.</i> <i>Communication Research Reports</i> 2018</a>",21.0,0.47,0.19,True,True
