replication_doi,replication_url,contains_replications,original_url,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,description,result,discipline,subdiscipline,justification
10.1007/s00296-010-1521-3,https://doi.org/10.1007/s00296-010-1521-3,True,https://doi.org/10.1007/s00296-008-0722-5,De Souza J; Govaux P; Julien N; Potvin S; Charest J; Marchand S,Fibromyalgia subgroups: proWling distinct subgroups using the Fibromyalgia Impact Questionnaire. A preliminary study,Rheumatol Int,29,5,509-515,2009,"A classification system divides fibromyalgia patients into two subgroups (Type I and Type II) based on Fibromyalgia Impact Questionnaire subscale scores, with Type I patients scoring low on morning tiredness, anxiety, and depression, while Type II patients score high on these measures.",success,medicine,Rheumatology,"The authors explicitly state in the Discussion: ""Our data show that the differentiation of fibromyalgia patients in type I and type II subgroups seems reproducible and reliable"" and in the abstract that ""The profiles of type I and type II patients from our sample strikingly paralleled those of the original study, demonstrating the reproducibility of the classification."""
10.1007/s00426-019-01163-9,https://doi.org/10.1007/s00426-019-01163-9,True,https://doi.org/10.1080/17470910701563681,"Oberman, L.; Ramachandran, V.",Preliminary evidence for deficits in multisensory integration in autism spectrum disorders: The mirror neuron hypothesis,Social Neuroscience,3,3-4,348-355,2008,"Individuals with autism spectrum conditions show diminished crossmodal correspondences (the 'kiki/bouba' effect), matching words to shapes based on supramodal characteristics less frequently than neurotypical individuals",inconclusive,psychology,developmental psychology,"The authors explicitly state that 'direct replication of [19] study failed, despite a larger sample size' when using all five stimulus pairs. They report only 'partial confirmation' of the effect when excluding two problematic pairs, concluding 'we partially confirmed the diminished crossmodal correspondences effect' and noting results 'have to be interpreted very cautiously.'"
10.1007/s00429-025-02947-z,https://doi.org/10.1007/s00429-025-02947-z,True,,"Heschl, R.",Tiefen-Windungen des menschlichen Grosshirns und die Ueberbrückung der Zentralfurche,Wiener Medizinische Wochenzeitschrift,41,,987-988,1877,"The 'bridged' central sulcus represents an extreme variant of the common 'deep winding' (pli de passage fronto-pariétal moyen) at the same location in the fundus of the central sulcus, with both showing a continuum of heights.",success,neuroscience,neuroanatomy,"The authors explicitly state in their conclusion: 'The present study successfully replicated Heschl's historical survey of the rare ""bridged"" CS and the heights of the ""deep winding""... This successful replication corroborates Heschl's hypothesis that the ""deep winding"" and the ""bridged"" CS represent different manifestations of the same anatomical structure.' Both the prevalence rates (0.8% vs 0.6%) and the skewed height distribution were confirmed."
10.1007/s00702-011-0641-6,https://doi.org/10.1007/s00702-011-0641-6,True,https://doi.org/10.1007/s00401-006-0088-2,"Jellinger, K.; Attems, J.",Does striatal pathology distinguish Parkinson disease with dementia and dementia with Lewy bodies?,Acta Neuropathol,112,3,253-260,2006,Striatal β-amyloid deposition differentiates dementia with Lewy bodies (DLB) from Parkinson's disease dementia (PDD),success,neuroscience,neuroscience,The authors explicitly state in their Discussion: 'we obtained more robust predictive statistics to support the concept published by Professor Jellinger that DLB cases have significantly higher striatal Ab deposition than cases with PDD' and 'Overall our findings strongly support Professor Jellinger's suggestion that differences in striatal Ab load contribute to the timing of dementia relative to Parkinsonism in DLB versus PDD.'
10.1007/s11292-017-9305-3,https://doi.org/10.1007/s11292-017-9305-3,True,https://doi.org/10.1177/0022427812444274,"Paternoster, R.; Mcgloin, J.; Nguyen, H.; Thomas, K.",The causal impact of exposure to deviant peers: An experimental investigation,Journal of Research in Crime and Delinquency,50,4,476-503,2013,Brief exposure to a deviant peer increases the amount of deviant behavior in young adults,inconclusive,criminology,experimental criminology,"The authors achieved partial replication. In their conclusion they state: ""this study replicates the finding that a brief exposure to deviant modeling by a previously unknown peer subsequently increases the amount of deviant behavior in young adults. However, we did not replicate the finding that only participants who were exposed to a deviant peer engaged in deviancy."""
10.1007/s12369-024-01207-0,https://doi.org/10.1007/s12369-024-01207-0,True,https://doi.org/10.1007/s12369-023-01076-z,"Laban, G.; Kappas, A.; Morrison, V.; Cross, E.","Building longterm human-robot relationships: examining disclosure, perception and well-being across time",Int. J. Social Robot,16,5,1-27,2024,"Repeated self-disclosure to a social robot over time increases disclosure behavior, improves social perceptions of the robot as more social and competent, and enhances emotional well-being through improved mood, reduced loneliness, and decreased stress",success,psychology,social psychology,"The authors explicitly state in the Discussion: 'Our results replicated [1] showing that informal caregivers self-disclose increasingly more to a social robot over time... and perceive the robot as more social and competent over time. Furthermore, we found that informal caregivers' moods positively change after interacting with the robot, they also perceive the robot to be more comforting over time, and they feel less lonely and stressed overtime... The present findings replicate our previous result [1], providing compelling evidence for social robots' potential to establish meaningful relationships with human users.'"
10.1007/s40881-021-00103-x,https://doi.org/10.1007/s40881-021-00103-x,True,https://doi.org/10.1016/j.euroecorev.2019.103307,"Chen, J.; He, T.; Riyanto, Y.",The effect of language on economic behavior: Examining the causal link between future tense and time preference in the lab,European Economic Review,120,,103307,2019,Using future tense (versus present tense) to refer to future events causes less patient behavior in intertemporal choice tasks,success,economics,Behavioral Economics,The authors state 'We find that consistent with the results by Chen et al. (2019) varying the language use in the instructions does not affect revealed patience' and 'Our results are in line with the findings by Chen et al. and therefore speak against an immediate effect of language structure on intertemporal preferences.' This successfully replicates the original null finding.
10.1016/j.actpsy.2020.103140,https://doi.org/10.1016/j.actpsy.2020.103140,True,https://doi.org/10.1068/p7360,"Lumsden, J.; Miles, L.; Macrae, C.",Perceptions of synchrony: Different strokes for different folks?,Perception,41,,1529-1531,2012,"Dyads with similar skin tones are perceived to exhibit higher levels of synchrony than dyads with dissimilar skin tones, despite objective coordination levels being equivalent",success,psychology,social psychology,"The authors explicitly state: ""Replicating the findings of [45], dyads comprised of individuals with similar skin tones were perceived to exhibit higher levels of synchrony than dyads with dissimilar skin tones, despite an objective equivalence in the level of coordination actually present."" The pre-registered replication with a larger sample (n=191 vs n=58) successfully confirmed the original effect."
10.1016/j.actpsy.2021.103482,https://doi.org/10.1016/j.actpsy.2021.103482,False,,,,,,,,,,,,,
10.1016/j.actpsy.2022.103717,https://doi.org/10.1016/j.actpsy.2022.103717,True,https://doi.org/10.1086/691462,"Ward, A.; Duke, K.; Gneezy, A.; Bos, M.",Brain drain: The mere presence of one's own smartphone reduces available cognitive capacity,Journal of the Association for Consumer Research,2,,140-154,2017,"Closer proximity to one's smartphone reduces available cognitive capacity (working memory performance), with this effect being stronger for individuals with higher smartphone attachment and dependency",failure,psychology,cognitive psychology,"The authors explicitly state in the Discussion: ""the present study's findings failed to replicate Ward et al.'s main effect concerning performance on the OSpan task... Therefore, the 'brain drain' effect was not replicated in the present study."" They found no significant effect of smartphone location on OSpan performance (p = .91), directly contradicting the original finding."
10.1016/j.actpsy.2026.106214,https://doi.org/10.1016/j.actpsy.2026.106214,False,,,,,,,,,,,,,
10.1016/j.appet.2023.107065,https://doi.org/10.1016/j.appet.2023.107065,True,https://doi.org/10.1016/j.appet.2009.11.003,"Piech, R.; Pastorino, M.; Zald, D.",All I saw was the cake: Hunger effects on attentional capture by visual food cues,Appetite,54,,579-582,2010,"Hunger increases attentional capture by food cues (but not other types of cues) in an emotional blink of attention task, producing worse performance on lag2 trials with food distractors when participants are hungry compared to when sated",failure,psychology,cognitive psychology,"The authors explicitly state: ""We found no evidence for P1 in E1 or E2, instead finding evidence supporting the null... We did not replicate the key finding of interest in PPZ."" They conclude: ""We did not find a relationship between hunger and the attentional capture of food cues in the present study."""
10.1016/j.biopsych.2011.12.010,https://doi.org/10.1016/j.biopsych.2011.12.010,True,https://doi.org/10.1001/archgenpsychiatry.2010.90,"Diazgranados, N.; Ibrahim, L.; Brutsche, N.; Newberg, A.; Kronstein, P.; Khalife, S.",A randomized add-on trial of an N-methyl-D-aspartate antagonist in treatment-resistant bipolar depression,Arch Gen Psychiatry,67,8,793-802,2010,A single intravenous infusion of ketamine (0.5 mg/kg) produces rapid (within 1 hour) antidepressant effects in patients with treatment-resistant bipolar depression,success,biomedical science,neuroscience,"The authors explicitly state ""This double-blind, placebo-controlled, proof-of-concept study replicated our previous finding that a single intravenous infusion of an NMDA antagonist resulted in a robust and rapid (within 1 hour) antidepressant response in patients with bipolar depression."" They note ""notable similarities"" including similar response rates (64% vs. 56% at 40 minutes) and timing of effects."
10.1016/j.bodyim.2021.05.011,https://doi.org/10.1016/j.bodyim.2021.05.011,True,https://doi.org/10.1016/j.bodyim.2009.01.001,"Calogero, R.; Thompson, J.",Potential implications of the objectification of women's bodies for women's sexual satisfaction,Body Image,6,2,145-148,2009,Self-surveillance (a form of self-objectification) directly predicts lower sexual satisfaction and sexual self-esteem in women,failure,psychology,social psychology,"The authors explicitly state that ""our findings did not support the role of self-surveillance as a direct predictor of sexual satisfaction or sexual self-esteem as reported in previous research"" and ""The relationships between self-surveillance and sexual self-esteem... and self-surveillance and sexual satisfaction... were not significant in the present study and did not replicate."""
10.1016/j.bpsgos.2023.08.012,https://doi.org/10.1016/j.bpsgos.2023.08.012,True,https://doi.org/10.1371/journal.pone.0163952,"Jacobs, R.; Watkins, E.; Peters, A.; Feldhaus, C.; Barba, A.; Carbray, J.; Langenecker, S.",Targeting ruminative thinking in adolescents at risk for depressive relapse: Rumination-focused cognitive behavior therapy in a pilot randomized controlled trial with resting state fMRI,PLoS One,11,11,e0163952,2016,Rumination-focused cognitive behavioral therapy reduces depressive rumination and cross-network connectivity between the left posterior cingulate cortex and right inferior frontal/inferior temporal gyri in adolescents with remitted major depressive disorder,success,psychology,clinical psychology,"The authors explicitly state in their conclusion: ""the current results included a planned, registered replication of change in reduction of the ruminative habit and cross-network resting-state connectivity."" Both primary outcomes were successfully replicated with large effect sizes (z = 0.84 for rumination reduction; z = 0.73 for connectivity reduction)."
10.1016/j.brs.2023.06.010,https://doi.org/10.1016/j.brs.2023.06.010,True,https://doi.org/10.1523/JNEUROSCI.1361-20.2020,Sharon O; Fahoum F; Nir Y,Transcutaneous vagus nerve stimulation in humans induces pupil dilation and attenuates alpha oscillations,J Neurosci,41,,320-330,2021,"Short bursts of transcutaneous auricular vagus nerve stimulation (taVNS) induce transient pupil dilation and attenuate EEG alpha oscillations, both markers of central noradrenergic activity",inconclusive,neuroscience,neuroscience,"The authors successfully replicated the pupil dilation effect (""In accordance with Sharon et al. [31], we found stronger pupil dilation following short bursts of taVNS compared to sham stimulation (BF10 = 7.45)"") but failed to replicate the EEG alpha power effect (""We did not replicate the finding of Sharon et al. [31] that short-lasting taVNS transiently attenuated EEG alpha activity; our data were four times more likely under the null hypothesis""). This mixed pattern of results constitutes a partial replication."
10.1016/j.cognition.2019.02.009,https://doi.org/10.1016/j.cognition.2019.02.009,True,https://doi.org/10.1037/h0093759,"Sperling, G.",The information available in brief visual presentations,Psychological Monographs: General and Applied,74,11,1-29,1960,"Iconic memory (visual sensory store) has a large capacity but decays within approximately 1000ms after stimulus offset, as measured by the partial report paradigm",success,psychology,cognitive psychology,"The authors explicitly state in their Results section: 'This analysis replicated the original Sperling findings, revealing a significant effect of delay (F(1, 38) = 21.71, p < 0.001, η p 2 = 0.37).' The Discussion confirms: 'In Experiment 1, we directly replicated the original Sperling paradigm using alphanumeric stimuli' and successfully observed the characteristic decay of iconic memory over time."
10.1016/j.cognition.2020.104335,https://doi.org/10.1016/j.cognition.2020.104335,False,,,,,,,,,,,,,
10.1016/j.cortex.2014.11.019,https://doi.org/10.1016/j.cortex.2014.11.019,True,https://doi.org/10.1073/pnas.1004932107,"Forstmann, B.; Anwander, A.; Schäfer, A.; Neumann, J.; Brown, S.; Wagenmakers, E.",Cortico-striatal connections predict control over speed and accuracy in perceptual decision making,Proceedings of the National Academy of Sciences,107,36,15916-15920,2010,Individual differences in tract strength from right pre-SMA to right striatum predict individual differences in control over speed and accuracy in perceptual decision making,failure,neuroscience,cognitive neuroscience,The authors state: 'The Bayes factor shows that there is moderate support for the null hypothesis of no correlation.' The additional exploratory analysis showed 'the data are extremely likely to have occurred under the null hypothesis compared to the proponent's hypothesis.' The p-value indicated a failed replication.
10.1016/j.cortex.2014.11.019,https://doi.org/10.1016/j.cortex.2014.11.019,True,https://doi.org/10.1098/rspb.2011.1959,"Kanai, R.; Bahrami, B.; Roylance, R.; Rees, G.",Online social network size is reflected in human brain structure,Proceedings. Biological Sciences/the Royal Society,279,1732,1327-1334,2012,"Individual differences in online social network size (Facebook friends) and real-world social network size are positively correlated with grey matter volume in brain regions including left middle temporal gyrus, right superior temporal sulcus, right entorhinal cortex, and bilateral amygdala",inconclusive,neuroscience,cognitive neuroscience,"Mixed results across 6 tested effects: 'In 5 out of 6 cases we find support for the null hypothesis.' However, for the correlation between real-world social network size (SNS) and GM volume in right amygdala, 'the p-value indicates a successful replication.' The Bayes factors showed moderate support for null in 3 effects and ambiguous results in 2 others."
10.1016/j.cortex.2014.11.019,https://doi.org/10.1016/j.cortex.2014.11.019,True,https://doi.org/10.1002/hbm.21275,"Xu, J.; Kober, H.; Carroll, K.; Rounsaville, B.; Pearlson, G.; Potenza, M.",White matter integrity and behavioral activation in healthy subjects,Human Brain Mapping,33,4,994-1002,2012,Individual differences in white matter integrity (measured by diffusion tensor imaging) in brain pathways are positively correlated with individual differences in behavioral activation system (BAS) scores measuring reward sensitivity and fun-seeking,failure,neuroscience,cognitive neuroscience,The authors report: 'In all cases we find support for the null hypothesis. The Bayes factors show that there is moderate or strong support for the null hypothesis in 3 out of 4 tests.' The exploratory analysis showed 'for three effects there is extreme evidence in favor of the null hypothesis compared to the proponent's hypothesis.' All p-values indicated failed replications.
10.1016/j.cortex.2014.11.019,https://doi.org/10.1016/j.cortex.2014.11.019,True,https://doi.org/10.1523/jneurosci.5864-10.2011,"Kanai, R.; Dong, M.; Bahrami, B.; Rees, G.",Distractibility in daily life is reflected in the structure and function of human parietal cortex,Journal of Neuroscience,31,18,6620-6626,2011,Individual differences in distractibility (measured by the Cognitive Failures Questionnaire) are correlated with grey matter volume in left superior parietal lobe (positive correlation) and left middle prefrontal cortex (negative correlation),failure,neuroscience,cognitive neuroscience,"The authors found 'In both cases we find anecdotal support for the null hypothesis.' However, they note this is 'not worth more than a bare mention' (quoting Jeffreys). While the exploratory analysis showed anecdotal evidence favoring the proponent's hypothesis, the overall pattern supports a failed replication, consistent with the Discussion stating they 'were unable to successfully replicate any of these 17 correlations.'"
10.1016/j.cortex.2014.11.019,https://doi.org/10.1016/j.cortex.2014.11.019,True,https://doi.org/10.1093/cercor/bhq101,"Westlye, L.; Grydeland, H.; Walhovd, K.; Fjell, A.",Associations between regional cortical thickness and attentional networks as measured by the attention network test,Cerebral Cortex,21,2,345-356,2011,"Individual differences in attentional network functioning (executive control and alerting) are negatively correlated with cortical thickness in specific brain regions including left caudal anterior cingulate cortex, left superior temporal gyrus, right middle temporal gyrus, and left superior parietal lobe",failure,neuroscience,cognitive neuroscience,The authors report: 'In all cases we find support for the null hypothesis. The Bayes factors show that there is moderate support for the null hypothesis in one out of four tests' with 'ambiguous' results for the other three. All p-values indicated failed replications. The Discussion confirms they 'were unable to successfully replicate any of these 17 correlations.'
10.1016/j.cortex.2018.01.001,https://doi.org/10.1016/j.cortex.2018.01.001,True,https://doi.org/10.1016/j.cortex.2012.07.009,"Dienes, Z.; Hutton, S.",Understanding hypnosis metacognitively: rTMS applied to left DLPFC increases hypnotic suggestibility,Cortex,49,2,386-392,2013,Repetitive transcranial magnetic stimulation (rTMS) applied to left dorsolateral prefrontal cortex increases hypnotic suggestibility as measured by subjective ratings,failure,neuroscience,cognitive neuroscience,"The authors explicitly state: 'Our results differed from theirs: they found that TMS to left DLPFC increased subjective (but not objective) ratings of hypnotizability, whereas we found no effect of such stimulation on either type of measure of hypnotizability.' The replication found no effect on either subjective or objective measures (B < .33 for both)."
10.1016/j.cortex.2018.08.017,https://doi.org/10.1016/j.cortex.2018.08.017,True,https://doi.org/10.1037/a0027586,"Inzlicht, M.; Al-Khindi, T.",ERN and the Placebo: A Misattribution Approach to Studying the Arousal Properties of the Error-Related Negativity,Journal of Experimental Psychology: General,141,4,799-807,2012,The error-related negativity (ERN) amplitude is reduced when participants misattribute their arousal to a placebo rather than their task performance,failure,psychology,neuroscience,The authors explicitly state they 'subsequently failed to replicate its three principal findings' and that the manipulation check failed. They conclude: 'the present study does provide some evidence against replicability of Inzlicht & Al-Khindi's (2012) misattribution of arousal paradigm' and note findings are 'consistent with the view that our original study may have been a false positive.'
10.1016/j.cortex.2019.03.026,https://doi.org/10.1016/j.cortex.2019.03.026,True,https://doi.org/10.1016/j.cub.2004.01.029,"Alais, D.; Burr, D.",The ventriloquist effect results from near-optimal bimodal integration,Current Biology,14,3,257,2004,"Human observers integrate auditory and visual spatial signals weighted in proportion to their relative sensory reliabilities, conforming to maximum likelihood estimation predictions",inconclusive,neuroscience,psychophysics,"The replication showed mixed results: while observers achieved significant variance reduction for audiovisual relative to unisensory conditions in agreement with MLE, they weighted visual signals significantly stronger than predicted by MLE. The authors state ""observers integrate audiovisual signals approximately as predicted by MLE. However, the sensory weights deviated significantly from MLE predictions"" and conclude that ""naive observers do not integrate audiovisual spatial signals in a way that is consistent with the principles of maximum likelihood estimation."""
10.1016/j.cortex.2020.04.017,https://doi.org/10.1016/j.cortex.2020.04.017,True,https://doi.org/10.1038/nature08637,Schiller D; Monfils M; Raio C; Johnson D; Ledoux J; Phelps E,Preventing the return of fear in humans using reconsolidation update mechanisms,Nature,463,7277,49-53,2010,Conducting extinction training within 10 minutes of memory reactivation (during the reconsolidation window) prevents the later spontaneous recovery and reinstatement of conditioned fear responses,failure,psychology,neuroscience,"The authors explicitly state: ""we observed spontaneous recovery of fear and susceptibility to reinstatement in both the reactivation and no reactivation groups, without any significant between-group differences"" and ""we could not observe any benefit of reactivation-extinction over regular extinction training in preventing recovery of conditioned fear."""
10.1016/j.drugalcdep.2024.111323,https://doi.org/10.1016/j.drugalcdep.2024.111323,True,https://doi.org/10.1016/j.drugalcdep.2021.108610,"May, A.; Burrows, K.; Figueroa-Hall, L.; Kirlic, N.; White, E.; Smith, R.; Ekhtiari, H.; Paulus, M.; Savitz, J.; Stewart, J.",Sex differences in circulating inflammatory mediators as a function of substance use disorder,Drug Alcohol Depend,221,,,2021,Females with substance use disorders exhibit lower C-reactive protein (CRP) but higher interleukin-8 (IL-8) and interleukin-10 (IL-10) concentrations than females with mood/anxiety disorders but no SUD,inconclusive,biomedical science,psychoneuroimmunology,"The authors state ""One out of the three biomarker findings fully replicated, wherein females with SUD exhibited lower CRP concentrations than females without SUD."" However, ""regression models for IL-8 and IL-10 did not replicate,"" though IL-8 showed the expected direction in simple regression. This constitutes a partial replication with mixed results across the three biomarkers."
10.1016/j.expneurol.2011.09.019,https://doi.org/10.1016/j.expneurol.2011.09.019,True,https://doi.org/10.1073/pnas.96.23.13486,"Benowitz, L.; Goldberg, D.; Madsen, J.; Soni, D.; Irwin, N.",Inosine stimulates extensive axon collateral growth in the rat corticospinal tract after injury,Proc. Natl. Acad. Sci. U S A,96,23,13486-13490,1999,Intracortical delivery of inosine promotes trans-midline growth of corticospinal tract axons in the spinal cord after unilateral injury to the medullary pyramid,failure,neuroscience,neurophysiology,"The authors explicitly state in their Discussion: ""The present results revealed no evidence that intracortical delivery of inosine triggered extensive growth of CST axons across the astroglial boundary at the midline of the dorsal column following unilateral pyramidotomy, as reported by Benowitz et al."" and conclude ""The present results fail to confirm the report of Benowitz et al."""
10.1016/j.heliyon.2024.e32467,https://doi.org/10.1016/j.heliyon.2024.e32467,True,https://doi.org/10.3389/fpsyg.2020.01415,"Sindermann, C.; Kuss, D.; Throuvala, M.; Griffiths, M.; Montag, C.",Should we pay for our social media/messenger applications? Preliminary data on the acceptance of an alternative to the current prevailing data business model,Front. Psychol,11,,,2020,"Social media users show willingness to pay monthly fees for digital wellbeing services including better data protection, less marketing use of their data, design that does not prolong usage time, and reduction of fake news and radicalism",success,psychology,social psychology,"The replication successfully confirmed and extended the original findings. The authors state: ""participants' interest in paying for social media digital wellbeing features is higher now compared to earlier. Specifically, there is a significant difference in participants' total score of willingness to pay for social media platforms in 2022 compared to 2020"" and ""The study...found significantly higher scores in participants' willingness to pay for social media and messenger services in 2022."""
10.1016/j.humov.2023.103074,https://doi.org/10.1016/j.humov.2023.103074,True,https://doi.org/10.1080/08351813.2017.1262130,"Stevanovic, M.; Himberg, T.; Niinisalo, M.; Kahri, M.; Peräkylä, A.; Sams, M.; Hari, R.","Sequentiality, mutual visibility, and behavioral matching: Body sway and pitch register during joint decision making",Research on Language and Social Interaction,50,1,33-53,2017,Body sway matching is higher during decision-making phases than during search phases in dyadic joint decision-making conversations,success,linguistics,conversation analysis,"The authors explicitly state in their conclusion: 'the results of [29] could be replicated in a German-speaking population' and 'With this study we could confirm higher matching of body sway during decision than search phases.' The replication found statistically significant effects (p = 0.043 for WCC, p < 0.001 for COM acceleration) in the same direction as the original study."
