doi,paper_title,paper_journal,paper_year,paper_authors,paper_volume,paper_issue,paper_pages,paper_url
10.1007/s40263-015-0234-2,Lurasidone: a review of its use in adult patients with bipolar I depression.,CNS drugs,2015,Sanford M.; Dhillon S.,29,3,253-63,https://doi.org/10.1007--s40263-015-0234-2
10.1016/0022-3956(89)90006-x,"The efficacy of low-dose lithium: clinical, psychological and biological correlates.",Journal of psychiatric research,1989,Abou-Saleh MT; Coppen A.,23,2,157-62,https://doi.org/10.1016--0022-3956(89)90006-x
10.1016/0165-0327(86)90043-1,Folic acid enhances lithium prophylaxis.,Journal of affective disorders,1986,Coppen A.; Chaudhry S.; Swade C.,10,1,9-13,https://doi.org/10.1016--0165-0327(86)90043-1
10.1016/j.biopsych.2004.03.013,Pramipexole for bipolar II depression: a placebo-controlled proof of concept study.,Biological psychiatry,2004,Zarate CA Jr; Payne JL; Singh J.; Quiroz JA; Luckenbaugh DA; Denicoff KD; Charney DS; Manji HK,56,1,54-60,https://doi.org/10.1016--j.biopsych.2004.03.013
10.1016/j.clinthera.2010.01.022,Aripiprazole for the maintenance treatment of bipolar I disorder: A review.,Clinical therapeutics,2010,McIntyre RS,32 Suppl 1,,S32-8,https://doi.org/10.1016--j.clinthera.2010.01.022
10.1016/j.encep.2012.05.001,,,,,,,,
10.1016/j.euroneuro.2011.06.005,Ziprasidone with adjunctive mood stabilizer in the maintenance treatment of bipolar I disorder: long-term changes in weight and metabolic profiles.,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,2012,Kemp DE; Karayal ON; Calabrese JR; Sachs GS; Pappadopulos E.; Ice KS; Siu CO; Vieta E.,22,2,123-31,https://doi.org/10.1016--j.euroneuro.2011.06.005
10.1016/j.euroneuro.2017.06.013,Lurasidone in combination with lithium or valproate for the maintenance treatment of bipolar I disorder.,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,2017,Calabrese JR; Pikalov A.; Streicher C.; Cucchiaro J.; Mao Y.; Loebel A.,27,9,865-876,https://doi.org/10.1016--j.euroneuro.2017.06.013
10.1016/j.eurpsy.2015.09.009,Olanzapine or chlorpromazine plus lithium in first episode psychotic mania: An 8-week randomised controlled trial.,European psychiatry : the journal of the Association of European Psychiatrists,2015,Conus P.; Berk M.; Cotton SM; Kader L.; Macneil C.; Hasty MK; Hallam K.; Lambert M.; Murphy BP; McGorry PD,30,8,975-82,https://doi.org/10.1016--j.eurpsy.2015.09.009
10.1016/j.heliyon.2020.e04528,Randomized feasibility trial to assess tolerance and clinical effects of lithium in progressive multiple sclerosis.,Heliyon,2020,Rinker JR 2nd; Meador WR; King P.,6,7,e04528,https://doi.org/10.1016--j.heliyon.2020.e04528
10.1016/j.jaac.2012.07.001,Treatment moderators and predictors of outcome in the Treatment of Early Age Mania (TEAM) study.,Journal of the American Academy of Child and Adolescent Psychiatry,2012,Vitiello B.; Riddle MA; Yenokyan G.; Axelson DA; Wagner KD; Joshi P.; Walkup JT; Luby J.; Birmaher B.; Ryan ND; Emslie G.; Robb A.; Tillman R.,51,9,867-78,https://doi.org/10.1016--j.jaac.2012.07.001
10.1016/j.jaac.2015.09.015,Treatment of Early-Age Mania: Outcomes for Partial and Nonresponders to Initial Treatment.,Journal of the American Academy of Child and Adolescent Psychiatry,2015,Walkup JT; Wagner KD; Miller L.; Yenokyan G.; Luby JL; Joshi PT; Axelson DA; Robb A.; Salpekar JA; Wolf D.; Sanyal A.; Birmaher B.; Vitiello B.; Riddle MA,54,12,1008-19,https://doi.org/10.1016--j.jaac.2015.09.015
10.1016/j.jaac.2015.09.016,Depression and Suicidality Outcomes in the Treatment of Early Age Mania Study.,Journal of the American Academy of Child and Adolescent Psychiatry,2015,Salpekar JA; Joshi PT; Axelson DA; Reinblatt SP; Yenokyan G.; Sanyal A.; Walkup JT; Vitiello B.; Luby JL; Wagner KD; Nusrat N.; Riddle MA,54,12,999-1007.e4,https://doi.org/10.1016--j.jaac.2015.09.016
10.1016/j.jaac.2018.07.901,"Lithium for the Maintenance Treatment of Bipolar I Disorder: A Double-Blind, Placebo-Controlled Discontinuation Study.",Journal of the American Academy of Child and Adolescent Psychiatry,2019,Findling RL; McNamara NK; Pavuluri M.; Frazier JA; Rynn M.; Scheffer R.; Kafantaris V.; Robb A.; DelBello M.; Kowatch RA; Rowles BM; Lingler J.; Zhao J.; Clemons T.; Martz K.; Anand R.; Taylor-Zapata P.,58,2,287-296.e4,https://doi.org/10.1016--j.jaac.2018.07.901
10.1016/j.jad.2007.02.004,Safety and tolerability of quetiapine in the treatment of acute mania in bipolar disorder.,Journal of affective disorders,2007,Adler CM; Fleck DE; Brecher M.; Strakowski SM,100 Suppl 1,,S15-22,https://doi.org/10.1016--j.jad.2007.02.004
10.1016/j.jad.2007.02.005,Treatment of agitation and aggression in bipolar mania: efficacy of quetiapine.,Journal of affective disorders,2007,Buckley PF; Paulsson B.; Brecher M.,100 Suppl 1,,S33-43,https://doi.org/10.1016--j.jad.2007.02.005
10.1016/j.jad.2007.02.009,Quetiapine in the treatment of acute mania: target dose for efficacious treatment.,Journal of affective disorders,2007,Vieta E.; Goldberg JF; Mullen J.; Vågerö M.; Paulsson B.,100 Suppl 1,,S23-31,https://doi.org/10.1016--j.jad.2007.02.009
10.1016/j.jad.2007.04.020,"Olanzapine versus lithium in the acute treatment of bipolar mania: a double-blind, randomized, controlled trial.",Journal of affective disorders,2008,Niufan G.; Tohen M.; Qiuqing A.; Fude Y.; Pope E.; McElroy H.; Ming L.; Gaohua W.; Xinbao Z.; Huichun L.; Liang S.,105,1-3,101-8,https://doi.org/10.1016--j.jad.2007.04.020
10.1016/j.jad.2008.02.004,A single blind comparison of lithium and lamotrigine for the treatment of bipolar II depression.,Journal of affective disorders,2008,Suppes T.; Marangell LB; Bernstein IH; Kelly DI; Fischer EG; Zboyan HA; Snow DE; Martinez M.; Al Jurdi R.; Shivakumar G.; Sureddi S.; Gonzalez R.,111,2-3,334-43,https://doi.org/10.1016--j.jad.2008.02.004
10.1016/j.jad.2008.05.014,"Aripiprazole monotherapy in the treatment of acute bipolar I mania: a randomized, double-blind, placebo- and lithium-controlled study.",Journal of affective disorders,2009,Keck PE; Orsulak PJ; Cutler AJ; Sanchez R.; Torbeyns A.; Marcus RN; McQuade RD; Carson WH,112,1-3,36-49,https://doi.org/10.1016--j.jad.2008.05.014
10.1016/j.jad.2008.06.001,Efficacy and safety of quetiapine in combination with lithium or divalproex for maintenance of patients with bipolar I disorder (international trial 126).,Journal of affective disorders,2008,Vieta E.; Suppes T.; Eggens I.; Persson I.; Paulsson B.; Brecher M.,109,3,251-63,https://doi.org/10.1016--j.jad.2008.06.001
10.1016/j.jad.2011.09.051,Predictors of relapse or recurrence in bipolar I disorder.,Journal of affective disorders,2012,Degenhardt EK; Gatz JL; Jacob J.; Tohen M.,136,3,733-9,https://doi.org/10.1016--j.jad.2011.09.051
10.1016/j.jad.2011.11.043,A 40-week double-blind aripiprazole versus lithium follow-up of a 12-week acute phase study (total 52 weeks) in bipolar I disorder.,Journal of affective disorders,2012,El-Mallakh RS; Marcus R.; Baudelet C.; McQuade R.; Carson WH; Owen R.,136,3,258-66,https://doi.org/10.1016--j.jad.2011.11.043
10.1016/j.jad.2012.04.014,Long-term efficacy of quetiapine in combination with lithium or divalproex on mixed symptoms in bipolar I disorder.,Journal of affective disorders,2012,Vieta E.; Suppes T.; Ekholm B.; Udd M.; Gustafsson U.,142,1-3,36-44,https://doi.org/10.1016--j.jad.2012.04.014
10.1016/j.jad.2012.11.042,Efficacy of aripiprazole versus placebo as adjuncts to lithium or valproate in relapse prevention of manic or mixed episodes in bipolar I patients stratified by index manic or mixed episode.,Journal of affective disorders,2013,Yatham LN; Fountoulakis KN; Rahman Z.; Ammerman D.; Fyans P.; Marler SV; Baker RA; Carlson BX,147,1-3,365-72,https://doi.org/10.1016--j.jad.2012.11.042
10.1016/j.jad.2012.11.054,"Investigation into the long-term metabolic effects of aripiprazole adjunctive to lithium, valproate, or lamotrigine.",Journal of affective disorders,2013,Kemp DE; De Hert M.; Rahman Z.; Fyans P.; Eudicone JM; Marler SV; Baker RA; Carlson BX,148,1,84-91,https://doi.org/10.1016--j.jad.2012.11.054
10.1016/j.jad.2013.07.031,Association of exercise with quality of life and mood symptoms in a comparative effectiveness study of bipolar disorder.,Journal of affective disorders,2013,Sylvia LG; Friedman ES; Kocsis JH; Bernstein EE; Brody BD; Kinrys G.; Kemp DE; Shelton RC; McElroy SL; Bobo WV; Kamali M.; McInnis MG; Tohen M.; Bowden CL; Ketter TA; Deckersbach T.; Calabrese JR; Thase ME; Reilly-Harrington NA; Singh V.; Rabideau DJ; Nierenberg AA,151,2,722-727,https://doi.org/10.1016--j.jad.2013.07.031
10.1016/j.jad.2013.10.040,"Clinical assessment of lurasidone benefit and risk in the treatment of bipolar I depression using number needed to treat, number needed to harm, and likelihood to be helped or harmed.",Journal of affective disorders,2014,Citrome L.; Ketter TA; Cucchiaro J.; Loebel A.,155,,20-7,https://doi.org/10.1016--j.jad.2013.10.040
10.1016/j.jad.2014.05.015,Topiramate as an adjuvant treatment for obsessive compulsive symptoms in patients with bipolar disorder: a randomized double blind placebo controlled clinical trial.,Journal of affective disorders,2014,Sahraian A.; Bigdeli M.; Ghanizadeh A.; Akhondzadeh S.,166,,201-5,https://doi.org/10.1016--j.jad.2014.05.015
10.1016/j.jad.2018.09.025,"The impact of binge eating behavior on lithium- and quetiapine-associated changes in body weight, body mass index, and waist circumference during 6 months of treatment: Findings from the bipolar CHOICE study.",Journal of affective disorders,2020,Yaramala SR; McElroy SL; Geske J.; Winham S.; Gao K.; Reilly-Harrington NA; Ketter TA; Deckersbach T.; Kinrys G.; Kamali M.; Sylvia LG; McInnis MG; Friedman ES; Thase ME; Kocsis JH; Tohen M.; Calabrese JR; Bowden CL; Shelton RC; Nierenberg AA; Bobo WV,266,,772-781,https://doi.org/10.1016--j.jad.2018.09.025
10.1016/j.jpsychires.2016.03.012,Lurasidone adjunctive with lithium or valproate for bipolar depression: A placebo-controlled trial utilizing prospective and retrospective enrolment cohorts.,Journal of psychiatric research,2016,Suppes T.; Kroger H.; Pikalov A.; Loebel A.,78,,86-93,https://doi.org/10.1016--j.jpsychires.2016.03.012
10.1016/j.pnpbp.2008.10.012,"Bipolar I and II disorder residual symptoms: oxcarbazepine and carbamazepine as add-on treatment to lithium in a double-blind, randomized trial.",Progress in neuro-psychopharmacology & biological psychiatry,2009,Juruena MF; Ottoni GL; Machado-Vieira R.; Carneiro RM; Weingarthner N.; Marquardt AR; Fleig SS; Broilo L.; Busnello EA,33,1,94-9,https://doi.org/10.1016--j.pnpbp.2008.10.012
10.1016/s0006-3223(96)00307-1,Lack of advantage for imipramine combined with lithium versus imipramine alone in the treatment of major depression--a double-blind controlled study.,Biological psychiatry,1996,Shahal B.; Piel E.; Mecz L.; Kremer I.; Klein E.,40,11,1181-3,https://doi.org/10.1016--s0006-3223(96)00307-1
10.1016/s0165-0327(02)00086-1,Multicenter double-blind randomized parallel-group clinical trial of efficacy of the combination clomipramine (150 mg/day) plus lithium carbonate (750 mg/day) versus clomipramine (150 mg/day) plus placebo in the treatment of unipolar major depression.,Journal of affective disorders,2003,Januel D.; Poirier MF; D'alche-Biree F.; Dib M.; Olié JP,76,1-3,191-200,https://doi.org/10.1016--s0165-0327(02)00086-1
10.1016/s0278-5846(99)00085-8,Endocrine effects of lithium carbonate in healthy premenopausal women: relationship with body weight regulation.,Progress in neuro-psychopharmacology & biological psychiatry,2000,Baptista T.; Lacruz A.; de Mendoza S.; Guillén MM; Burguera JL; de Burguera M.; Hernández L.,24,1,1-16,https://doi.org/10.1016--s0278-5846(99)00085-8
10.1016/s0924-9338(10)71438-3,,,,,,,,
10.1016/s0924-977x(03)91922-5,,,,,,,,
10.1017/neu.2019.19,Correlation between white blood cell count and mood-stabilising treatment response in two bipolar disorder trials.,Acta neuropsychiatrica,2019,Köhler-Forsberg O.; Sylvia LG; Bowden CL; Calabrese JR; Thase ME; Shelton RC; McInnis M.; Tohen M.; Kocsis JH; Ketter TA; Friedman ES; Deckersbach T.; Ostacher MJ; Iosifescu DV; McElroy S.; Nierenberg AA,31,4,230-234,https://doi.org/10.1017--neu.2019.19
10.1017/s0033291700003068,"Continuation therapy with lithium and amitriptyline in unipolar depressive illness: a randomized, double-blind, controlled trial.",Psychological medicine,1984,Glen AI; Johnson AL; Shepherd M.,14,1,37-50,https://doi.org/10.1017--s0033291700003068
10.1017/s1092852921000572,"Is quetiapine effective for obsessive and compulsive symptoms in patients with bipolar disorder? A randomized, double-blind, placebo-controlled clinical trial.",CNS spectrums,2022,Sahraian A.; Ghahremanpouri B.; Mowla A.,27,5,634-638,https://doi.org/10.1017--s1092852921000572
10.1017/s1092852923001190,Lurasidone and risk of metabolic syndrome: results from short and long-term studies in patients with bipolar depression.,CNS spectrums,2023,Tocco M.; Newcomer JW; Mao Y.; Pikalov A.,28,6,680-687,https://doi.org/10.1017--s1092852923001190
10.1017/s1092852925100564,Efficacy of Lumateperone in depression associated with bipolar II disorder: a pooled analysis of late-phase clinical trials.,CNS spectrums,2025,Durgam S.; Lakkis H.; Kozauer SG; Chen C.; McIntyre RS,30,1,e80,https://doi.org/10.1017--s1092852925100564
10.1017/s1748232106000164,,,,,,,,
10.1038/ki.1987.220,Lithium clearance during the paradoxical natriuresis of hypotonic expansion in man.,Kidney international,1987,Boer WH; Koomans HA; Dorhout Mees EJ,32,3,376-81,https://doi.org/10.1038--ki.1987.220
10.1038/mp.2015.158,Optimal duration of risperidone or olanzapine adjunctive therapy to mood stabilizer following remission of a manic episode: A CANMAT randomized double-blind trial.,Molecular psychiatry,2016,Yatham LN; Beaulieu S.; Schaffer A.; Kauer-Sant'Anna M.; Kapczinski F.; Lafer B.; Sharma V.; Parikh SV; Daigneault A.; Qian H.; Bond DJ; Silverstone PH; Walji N.; Milev R.; Baruch P.; da Cunha A.; Quevedo J.; Dias R.; Kunz M.; Young LT; Lam RW; Wong H.,21,8,1050-6,https://doi.org/10.1038--mp.2015.158
10.1042/cs0920397,"Effect of urodilatin infusion on renal haemodynamics, tubular function and vasoactive hormones.","Clinical science (London, England : 1979)",1997,Carstens J.; Jensen KT; Pedersen EB,92,4,397-407,https://doi.org/10.1042--cs0920397
10.1056/nejm198911303212201,Comparison of standard and low serum levels of lithium for maintenance treatment of bipolar disorder.,The New England journal of medicine,1989,Gelenberg AJ; Kane JM; Keller MB; Lavori P.; Rosenbaum JF; Cole K.; Lavelle J.,321,22,1489-93,https://doi.org/10.1056--nejm198911303212201
10.1089/cap.2016.0046,"Melatonin for Reducing Weight Gain Following Administration of Atypical Antipsychotic Olanzapine for Adolescents with Bipolar Disorder: A Randomized, Double-Blind, Placebo-Controlled Trial.",Journal of child and adolescent psychopharmacology,2017,Mostafavi SA; Solhi M.; Mohammadi MR; Akhondzadeh S.,27,5,440-444,https://doi.org/10.1089--cap.2016.0046
10.1089/cap.2016.0207,"A Randomized, Double-Blind Placebo-Controlled Trial on Effectiveness and Safety of Celecoxib Adjunctive Therapy in Adolescents with Acute Bipolar Mania.",Journal of child and adolescent psychopharmacology,2017,Mousavi SY; Khezri R.; Karkhaneh-Yousefi MA; Mohammadinejad P.; Gholamian F.; Mohammadi MR; Zeinoddini A.; Akhondzadeh S.,27,6,494-500,https://doi.org/10.1089--cap.2016.0207
10.1089/cap.2021.0039,"A Randomized, Double-Blind, Controlled Trial of Lithium Versus Quetiapine for the Treatment of Acute Mania in Youth with Early Course Bipolar Disorder.",Journal of child and adolescent psychopharmacology,2021,Patino LR; Klein CC; Strawn JR; Blom TJ; Tallman MJ; Adler CM; Welge JA; DelBello MP,31,7,485-493,https://doi.org/10.1089--cap.2021.0039
10.1097/00004583-199802000-00009,Double-blind and placebo-controlled study of lithium for adolescent bipolar disorders with secondary substance dependency.,Journal of the American Academy of Child and Adolescent Psychiatry,1998,Geller B.; Cooper TB; Sun K.; Zimerman B.; Frazier J.; Williams M.; Heath J.,37,2,171-8,https://doi.org/10.1097--00004583-199802000-00009
10.1097/00019442-200504000-00006,,,,,,,,
10.1097/md.0000000000005401,Moderate to severe HIV-associated neurocognitive impairment: A randomized placebo-controlled trial of lithium.,Medicine,2016,Decloedt EH; Freeman C.; Howells F.; Casson-Crook M.; Lesosky M.; Koutsilieri E.; Lovestone S.; Maartens G.; Joska JA,95,46,e5401,https://doi.org/10.1097--md.0000000000005401
10.1097/wnf.0b013e3182055c07,Safety and tolerability of lamotrigine: results from 12 placebo-controlled clinical trials and clinical implications.,Clinical neuropharmacology,2011,Seo HJ; Chiesa A.; Lee SJ; Patkar AA; Han C.; Masand PS; Serretti A.; Pae CU,34,1,39-47,https://doi.org/10.1097--wnf.0b013e3182055c07
10.1111/acps.12101,General medical burden in bipolar disorder: findings from the LiTMUS comparative effectiveness trial.,Acta psychiatrica Scandinavica,2014,Kemp DE; Sylvia LG; Calabrese JR; Nierenberg AA; Thase ME; Reilly-Harrington NA; Ostacher MJ; Leon AC; Ketter TA; Friedman ES; Bowden CL; Rabideau DJ; Pencina M.; Iosifescu DV,129,1,24-34,https://doi.org/10.1111--acps.12101
10.1111/acps.12460,"Obesity, but not metabolic syndrome, negatively affects outcome in bipolar disorder.",Acta psychiatrica Scandinavica,2016,McElroy SL; Kemp DE; Friedman ES; Reilly-Harrington NA; Sylvia LG; Calabrese JR; Rabideau DJ; Ketter TA; Thase ME; Singh V.; Tohen M.; Bowden CL; Bernstein EE; Brody BD; Deckersbach T.; Kocsis JH; Kinrys G.; Bobo WV; Kamali M.; McInnis MG; Leon AC; Faraone S.; Nierenberg AA; Shelton RC,133,2,144-153,https://doi.org/10.1111--acps.12460
10.1111/bdi.12277,A single infusion of ketamine improves depression scores in patients with anxious bipolar depression.,Bipolar disorders,2015,Ionescu DF; Luckenbaugh DA; Niciu MJ; Richards EM; Zarate CA Jr,17,4,438-43,https://doi.org/10.1111--bdi.12277
10.1111/j.1399-5618.2006.00276.x,Topiramate monotherapy in the management of acute mania: results of four double-blind placebo-controlled trials.,Bipolar disorders,2006,Kushner SF; Khan A.; Lane R.; Olson WH,8,1,15-27,https://doi.org/10.1111--j.1399-5618.2006.00276.x
10.1111/j.1399-5618.2006.00308.x,Effects of lamotrigine and lithium on body weight during maintenance treatment of bipolar I disorder.,Bipolar disorders,2006,Sachs G.; Bowden C.; Calabrese JR; Ketter T.; Thompson T.; White R.; Bentley B.,8,2,175-81,https://doi.org/10.1111--j.1399-5618.2006.00308.x
10.1111/j.1399-5618.2006.00363.x,,,,,,,,
10.1111/j.1399-5618.2010.00836.x,"Lamotrigine versus lithium as maintenance treatment in bipolar I disorder: an open, randomized effectiveness study mimicking clinical practice. The 6th trial of the Danish University Antidepressant Group (DUAG-6).",Bipolar disorders,2010,Licht RW; Nielsen JN; Gram LF; Vestergaard P.; Bendz H.,12,5,483-93,https://doi.org/10.1111--j.1399-5618.2010.00836.x
10.1111/j.1399-5618.2011.00898.x,"Efficacy of aripiprazole adjunctive to lithium or valproate in the long-term treatment of patients with bipolar I disorder with an inadequate response to lithium or valproate monotherapy: a multicenter, double-blind, randomized study.",Bipolar disorders,2011,Marcus R.; Khan A.; Rollin L.; Morris B.; Timko K.; Carson W.; Sanchez R.,13,2,133-44,https://doi.org/10.1111--j.1399-5618.2011.00898.x
10.1111/j.1440-1819.2010.02066.x,"A single-blind, comparative study of zotepine versus haloperidol in combination with a mood stabilizer for patients with moderate-to-severe mania.",Psychiatry and clinical neurosciences,2010,Chan HY; Jou SH; Juang YY; Chang CJ; Chen JJ; Chen CH; Chiu NY,64,2,162-9,https://doi.org/10.1111--j.1440-1819.2010.02066.x
10.1111/j.1600-0447.1970.tb02117.x,Body fluid distribution in manic and depressed patients treated with lithium carbonate.,Acta psychiatrica Scandinavica,1970,Mangoni A.; Andreoli V.; Cabibbe F.; Mandelli V.,46,3,244-57,https://doi.org/10.1111--j.1600-0447.1970.tb02117.x
10.1111/j.1600-0447.1974.tb08212.x,"The effects of lithium carbonate in combination with tricyclic antidepressants in endogenous depression. A double-blind, multicenter trial.",Acta psychiatrica Scandinavica,1974,Lingjaerde O.; Edlund AH; Gormsen CA; Gottfries CG; Haugstad A.; Hermann IL; Hollnagel P.; Mäkimattilla A.; Rasmussen KE; Remvig J.; Robak OH,50,2,233-42,https://doi.org/10.1111--j.1600-0447.1974.tb08212.x
10.1111/j.1600-0447.1992.tb01453.x,Carbamazepine versus lithium in the prophylaxis of bipolar affective disorder.,Acta psychiatrica Scandinavica,1992,Coxhead N.; Silverstone T.; Cookson J.,85,2,114-8,https://doi.org/10.1111--j.1600-0447.1992.tb01453.x
10.1111/j.1600-0447.1993.tb03336.x,Effect of lithium dosing schedule on urinary output.,Acta psychiatrica Scandinavica,1993,O'Donovan C.; Hawkes J.; Bowen R.,87,2,92-5,https://doi.org/10.1111--j.1600-0447.1993.tb03336.x
10.1111/j.1600-0447.1993.tb03487.x,A double-blind study of L-sulpiride versus amitriptyline in lithium-maintained bipolar depressives.,Acta psychiatrica Scandinavica,1993,Bocchetta A.; Bernardi F.; Burrai C.; Pedditzi M.; Del Zompo M.,88,6,434-9,https://doi.org/10.1111--j.1600-0447.1993.tb03487.x
10.1111/j.1600-0447.2007.01059.x,A 6-month randomized open-label comparison of continuation of oral atypical antipsychotic therapy or switch to long acting injectable risperidone in patients with bipolar disorder.,Acta psychiatrica Scandinavica. Supplementum,2007,Yatham LN; Fallu A.; Binder CE,,434,50-6,https://doi.org/10.1111--j.1600-0447.2007.01059.x
10.1152/jappl.1993.74.5.2166,"Renal hemodynamics, tubular function, and response to low-dose dopamine during acute hypoxia in humans.","Journal of applied physiology (Bethesda, Md. : 1985)",1993,Olsen NV; Hansen JM; Kanstrup IL; Richalet JP; Leyssac PP,74,5,2166-73,https://doi.org/10.1152--jappl.1993.74.5.2166
10.1161/01.hyp.12.4.450,Enhanced natriuretic effect of atrial natriuretic factor during mineralocorticoid escape in humans.,"Hypertension (Dallas, Tex. : 1979)",1988,Gaillard CA; Koomans HA; Rabelink TJ; Braam B.; Boer P.; Dorhout Mees EJ,12,4,450-6,https://doi.org/10.1161--01.hyp.12.4.450
10.1176/appi.ajp.158.6.906,"Double-blind, placebo-controlled comparison of imipramine and paroxetine in the treatment of bipolar depression.",The American journal of psychiatry,2001,Nemeroff CB; Evans DL; Gyulai L.; Sachs GS; Bowden CL; Gergel IP; Oakes R.; Pitts CD,158,6,906-12,https://doi.org/10.1176--appi.ajp.158.6.906
10.1176/appi.ajp.162.1.137,Does sustained-release lithium reduce impulsive gambling and affective instability versus placebo in pathological gamblers with bipolar spectrum disorders?,The American journal of psychiatry,2005,Hollander E.; Pallanti S.; Allen A.; Sood E.; Baldini Rossi N.,162,1,137-45,https://doi.org/10.1176--appi.ajp.162.1.137
10.1176/appi.ajp.162.7.1281,"Olanzapine versus lithium in the maintenance treatment of bipolar disorder: a 12-month, randomized, double-blind, controlled clinical trial.",The American journal of psychiatry,2005,Tohen M.; Greil W.; Calabrese JR; Sachs GS; Yatham LN; Oerlinghausen BM; Koukopoulos A.; Cassano GB; Grunze H.; Licht RW; Dell'Osso L.; Evans AR; Risser R.; Baker RW; Crane H.; Dossenbach MR; Bowden CL,162,7,1281-90,https://doi.org/10.1176--appi.ajp.162.7.1281
10.1176/appi.ajp.163.7.1199,,,,,,,,
10.1176/appi.ajp.2008.07101560,Efficacy of adjunctive aripiprazole to either valproate or lithium in bipolar mania patients partially nonresponsive to valproate/lithium monotherapy: a placebo-controlled study.,The American journal of psychiatry,2008,Vieta E.; T'joen C.; McQuade RD; Carson WH Jr; Marcus RN; Sanchez R.; Owen R.; Nameche L.,165,10,1316-25,https://doi.org/10.1176--appi.ajp.2008.07101560
10.1176/appi.ajp.2008.08020189,Maintenance treatment for patients with bipolar I disorder: results from a north american study of quetiapine in combination with lithium or divalproex (trial 127).,The American journal of psychiatry,2009,Suppes T.; Vieta E.; Liu S.; Brecher M.; Paulsson B.,166,4,476-88,https://doi.org/10.1176--appi.ajp.2008.08020189
10.1176/appi.ajp.2013.13070985,"Lurasidone as adjunctive therapy with lithium or valproate for the treatment of bipolar I depression: a randomized, double-blind, placebo-controlled study.",The American journal of psychiatry,2014,Loebel A.; Cucchiaro J.; Silva R.; Kroger H.; Sarma K.; Xu J.; Calabrese JR,171,2,169-77,https://doi.org/10.1176--appi.ajp.2013.13070985
