doi,study_design,confidence
10.1002/pcn5.213,case_series,high
10.1002/mds.22016,case_series,high
10.1002/pds.5596,observational,high
10.1002/pds.5852,observational,high
10.1002/pu.20213,unclear,low
10.1007/bf01037942,crossover,high
10.1007/bf01253608,case_series,high
10.1002/mus.20427,non_randomized_trial,high
10.1007/bf01277664,crossover,high
10.1007/s00268-013-2185-4,observational,high
10.1007/s00384-018-3032-8,non_randomized_trial,high
10.1007/s00406-002-0380-7,crossover,high
10.1007/s00415-004-0367-6,crossover,high
10.1007/s00391-015-0984-y,observational,high
10.1007/s00415-009-5299-8,non_randomized_trial,high
10.1007/s00415-010-5644-y,non_randomized_trial,high
10.1007/s00415-010-5879-7,rct,high
10.1007/s00702-004-0217-9,case_series,high
10.1007/s00702-005-0386-1,case_series,high
10.1007/s00702-003-0814-z,crossover,high
10.1007/s00702-009-0361-3,rct,high
10.1007/s007020050055,case_series,medium
10.1007/s10047-019-01100-y,case_series,high
10.1007/s10047-020-01164-1,case_series,high
10.1007/s10072-013-1478-6,non_randomized_trial,high
10.1007/s10072-014-1653-4,crossover,high
10.1007/s10072-018-3456-5,observational,high
10.1007/s10072-023-06733-9,case_series,high
10.1007/s10072-021-05667-4,case_series,high
10.1007/s10072-024-07342-w,observational,high
10.1007/s10157-011-0485-2,observational,high
10.1007/s10072-025-08677-8,case_series,high
10.1007/s10620-007-0021-0,case_series,high
10.1007/s10620-009-0943-9,observational,high
10.1007/s11325-014-1041-6,observational,high
10.1007/s11325-014-1049-y,non_randomized_trial,high
10.1007/s11325-018-1619-5,non_randomized_trial,high
10.1007/s11325-018-1751-2,rct,high
10.1007/s11325-019-01984-3,non_randomized_trial,high
10.1007/s11325-021-02353-9,observational,high
10.1007/s11695-025-08381-8,non_randomized_trial,high
10.1007/s13760-016-0631-4,observational,high
10.1007/s13318-015-0273-6,non_randomized_trial,high
10.1007/s15006-017-9294-1,observational,high
10.1007/s40263-012-0020-3,rct,high
10.1007/s13760-025-02871-3,observational,high
10.1007/s40263-015-0254-y,rct,high
10.1007/s40263-016-0329-4,rct,high
10.1007/s40261-013-0150-5,non_randomized_trial,high
10.1007/s40263-016-0333-8,rct,high
10.1007/s40263-023-01055-y,crossover,high
10.1007/s40263-016-0372-1,rct,high
10.1007/s40263-025-01192-6,crossover,high
10.1007/s41105-022-00401-9,observational,high
10.1007/s41105-021-00364-3,case_series,high
10.1007/s44337-024-00002-0,case_series,high
10.1007/s44337-025-00545-w,non_randomized_trial,high
10.1016/j.bj.2021.05.005,crossover,high
10.1016/j.bj.2022.06.001,unclear,low
10.1016/j.ajem.2026.03.019,case_series,high
10.1016/j.braindev.2010.09.008,non_randomized_trial,high
10.1016/j.braindev.2018.10.001,case_series,high
10.1016/j.brs.2014.06.008,crossover,high
10.1016/j.clinph.2007.04.001,non_randomized_trial,high
10.1016/j.clinph.2007.04.024,non_randomized_trial,high
10.1016/j.cdtm.2017.08.001,case_series,high
10.1016/j.clinph.2011.05.027,non_randomized_trial,high
10.1016/j.clinthera.2008.02.001,observational,high
10.1016/j.clinthera.2013.06.016,rct,high
10.1016/j.clinthera.2013.10.011,crossover,high
10.1016/j.clinthera.2015.02.012,rct,high
10.1016/j.clinthera.2012.01.002,crossover,high
10.1016/j.clinthera.2016.05.008,rct,high
10.1016/j.ctim.2019.05.009,rct,high
10.1016/j.ctim.2020.102409,rct,high
10.1016/j.curtheres.2007.11.001,case_series,high
10.1016/j.explore.2023.08.017,case_series,high
10.1016/j.explore.2025.103205,rct,high
10.1016/j.explore.2024.05.001,case_series,high
10.1016/j.genhosppsych.2006.10.006,case_series,high
10.1016/j.ijcard.2008.11.177,non_randomized_trial,high
10.1016/j.heliyon.2022.e12258,case_series,high
10.1016/j.ijpsycho.2014.12.005,non_randomized_trial,high
10.1016/j.jamda.2025.105485,rct,high
10.1016/j.jams.2017.08.004,rct,high
10.1016/j.jbmt.2019.06.012,non_randomized_trial,high
10.1016/j.jecr.2023.100143,case_series,high
10.1016/j.jns.2006.06.023,observational,high
10.1016/j.jns.2010.04.003,non_randomized_trial,high
10.1016/j.jns.2012.07.007,case_series,high
10.1016/j.jns.2009.11.010,observational,high
10.1016/j.jns.2013.11.001,non_randomized_trial,high
10.1016/j.jns.2015.01.025,case_series,high
10.1016/j.jbmt.2025.06.015,rct,high
10.1016/j.jns.2016.09.006,rct,high
10.1016/j.jns.2022.120462,case_series,high
10.1016/j.jocn.2015.01.032,observational,high
10.1016/j.jpainsymman.2014.08.010,observational,high
10.1016/j.jvir.2022.12.019,observational,high
10.1016/j.math.2012.11.002,case_series,high
10.1016/j.msard.2021.102836,rct,high
10.1016/j.jocn.2025.111369,case_series,high
10.1016/j.nefro.2017.03.023,non_randomized_trial,high
10.1016/j.msard.2022.104480,rct,high
10.1016/j.nefroe.2017.11.017,non_randomized_trial,high
10.1016/j.neucli.2004.02.002,case_series,high
10.1016/j.neurol.2013.05.001,observational,high
10.1016/j.neurol.2016.12.035,case_series,high
10.1016/j.neurom.2022.10.046,non_randomized_trial,high
10.1016/j.pain.2013.05.007,non_randomized_trial,high
10.1016/j.parkreldis.2007.05.006,observational,high
10.1016/j.parkreldis.2004.10.015,case_series,high
10.1016/j.parkreldis.2010.11.017,non_randomized_trial,high
10.1016/j.parkreldis.2011.10.010,case_series,high
10.1016/j.parkreldis.2014.06.014,case_series,high
10.1016/j.parkreldis.2017.05.015,case_series,high
10.1016/j.parkreldis.2015.10.007,observational,high
10.1016/j.pec.2023.107768,rct,high
10.1016/j.pnpbp.2011.10.009,non_randomized_trial,high
10.1016/j.pnpbp.2010.02.011,non_randomized_trial,high
10.1016/j.pediatrneurol.2004.11.007,case_series,high
10.1016/j.pnpbp.2012.10.012,non_randomized_trial,high
10.1016/j.psychres.2023.115479,observational,high
10.1016/j.sleep.2004.01.007,non_randomized_trial,high
10.1016/j.sleep.2003.07.005,case_series,high
10.1016/j.sleep.2004.05.006,observational,high
10.1016/j.sleep.2004.03.002,non_randomized_trial,high
10.1016/j.sleep.2004.10.012,case_series,high
10.1016/j.sleep.2004.10.014,case_series,high
10.1016/j.sleep.2004.12.002,rct,high
10.1016/j.sleep.2005.05.007,non_randomized_trial,high
10.1016/j.sleep.2005.01.008,non_randomized_trial,high
10.1016/j.sleep.2006.03.011,rct,high
10.1016/j.sleep.2005.06.009,non_randomized_trial,high
10.1016/j.sleep.2006.10.008,non_randomized_trial,high
10.1016/j.sleep.2006.05.018,rct,high
10.1016/j.sleep.2007.03.023,non_randomized_trial,high
10.1016/j.sleep.2007.04.010,rct,high
10.1016/j.sleep.2007.08.017,rct,high
10.1016/j.sleep.2007.07.020,non_randomized_trial,high
10.1016/j.sleep.2007.10.023,case_series,high
10.1016/j.sleep.2006.09.009,non_randomized_trial,high
10.1016/j.sleep.2007.12.006,rct,high
10.1016/j.sleep.2008.04.012,non_randomized_trial,high
10.1016/j.sleep.2008.07.014,case_series,high
10.1016/j.sleep.2008.05.014,rct,high
10.1016/j.sleep.2008.09.001,rct,high
10.1016/j.sleep.2007.12.004,non_randomized_trial,high
10.1016/j.sleep.2008.11.003,rct,high
10.1016/j.sleep.2009.03.009,rct,high
10.1016/j.sleep.2009.05.003,non_randomized_trial,high
10.1016/j.sleep.2009.12.002,case_series,high
10.1016/j.sleep.2009.12.008,non_randomized_trial,high
10.1016/j.sleep.2010.03.003,rct,high
10.1016/j.sleep.2010.02.014,rct,high
10.1016/j.sleep.2010.03.019,non_randomized_trial,high
10.1016/j.sleep.2010.08.005,rct,high
10.1016/j.sleep.2010.12.007,rct,high
10.1016/j.sleep.2010.11.007,rct,high
10.1016/j.sleep.2011.01.008,rct,high
10.1016/j.sleep.2011.03.003,observational,high
10.1016/j.sleep.2011.03.021,rct,high
10.1016/j.sleep.2011.06.009,rct,high
10.1016/j.sleep.2011.08.007,non_randomized_trial,high
10.1016/j.sleep.2011.09.016,non_randomized_trial,high
10.1016/j.sleep.2011.11.010,rct,high
10.1016/j.sleep.2011.12.009,case_series,high
10.1016/j.sleep.2012.02.011,observational,high
10.1016/j.sleep.2012.06.007,case_series,high
10.1016/j.sleep.2012.08.019,non_randomized_trial,high
10.1016/j.sleep.2012.11.001,non_randomized_trial,high
10.1016/j.sleep.2013.02.012,case_series,high
10.1016/j.sleep.2013.05.018,case_series,high
10.1016/j.sleep.2013.02.013,non_randomized_trial,high
10.1016/j.sleep.2010.11.002,observational,high
10.1016/j.sleep.2012.08.004,observational,high
10.1016/j.sleep.2013.06.006,case_series,high
10.1016/j.sleep.2013.07.007,rct,high
10.1016/j.sleep.2014.01.016,case_series,high
10.1016/j.sleep.2014.07.032,rct,high
10.1016/j.sleep.2014.08.012,case_series,high
10.1016/j.sleep.2014.09.015,rct,high
10.1016/j.sleep.2014.12.019,observational,high
10.1016/j.sleep.2014.10.025,non_randomized_trial,high
10.1016/j.sleep.2014.12.029,non_randomized_trial,high
10.1016/j.sleep.2015.03.006,rct,high
10.1016/j.sleep.2015.04.016,non_randomized_trial,high
10.1016/j.sleep.2015.08.006,non_randomized_trial,high
10.1016/j.sleep.2015.05.028,observational,high
10.1016/j.sleep.2015.10.006,observational,high
10.1016/j.sleep.2015.11.002,rct,high
10.1016/j.sleep.2016.01.008,case_series,high
10.1016/j.sleep.2016.05.004,non_randomized_trial,high
10.1016/j.sleep.2016.04.012,non_randomized_trial,high
10.1016/j.sleep.2016.06.021,rct,high
10.1016/j.sleep.2017.03.012,non_randomized_trial,high
10.1016/j.sleep.2017.09.028,non_randomized_trial,high
10.1016/j.sleep.2017.06.023,observational,high
10.1016/j.sleep.2017.11.1139,observational,high
10.1016/j.sleep.2018.02.002,non_randomized_trial,high
10.1016/j.sleep.2018.02.008,non_randomized_trial,high
10.1016/j.sleep.2017.11.1134,rct,high
10.1016/j.sleep.2018.04.001,crossover,high
10.1016/j.sleep.2018.06.004,observational,high
10.1016/j.sleep.2020.02.027,observational,high
10.1016/j.sleep.2018.11.025,crossover,high
10.1016/j.sleep.2019.09.020,non_randomized_trial,high
10.1016/j.sleep.2020.06.002,case_series,high
10.1016/j.sleep.2020.07.011,rct,high
10.1016/j.sleep.2020.10.022,case_series,high
10.1016/j.sleep.2020.07.026,non_randomized_trial,high
10.1016/j.sleep.2021.01.017,observational,high
10.1016/j.sleep.2021.05.036,rct,high
10.1016/j.sleep.2022.08.001,observational,high
10.1016/j.sleep.2021.07.004,rct,high
10.1016/j.sleep.2021.08.030,case_series,high
10.1016/j.sleep.2022.05.003,observational,high
10.1016/j.sleep.2022.09.021,case_series,high
10.1016/j.sleep.2023.11.010,non_randomized_trial,high
10.1016/j.sleep.2023.06.023,rct,high
10.1016/j.sleep.2024.08.004,observational,high
10.1016/j.sleep.2024.08.017,rct,high
10.1016/j.sleep.2024.09.005,crossover,high
10.1016/j.sleep.2025.106634,non_randomized_trial,high
10.1016/j.sleep.2026.108789,rct,high
10.1016/j.sleep.2025.02.045,observational,high
10.1016/j.smrv.2020.101274,other,high
10.1016/j.sleep.2025.106664,case_series,high
10.1016/j.wneu.2016.05.077,case_series,high
10.1016/j.transproceed.2007.03.097,non_randomized_trial,high
10.1016/j.wneu.2024.01.103,non_randomized_trial,high
10.1016/s0002-9343(97)89493-4,case_series,high
10.1016/s0140-6736(86)92135-5,crossover,high
10.1016/s0378-3782(02)00092-0,observational,high
10.1016/s0306-9877(02)00357-2,other,medium
10.1016/s0887-8994(99)00152-6,case_series,high
10.1016/s0987-7053(03)00056-x,non_randomized_trial,high
10.1016/s0924-977x(01)00080-3,non_randomized_trial,medium
10.1016/s1353-8020(00)00041-9,other,high
10.1016/s1389-9457(01)00081-8,case_series,high
10.1016/s1389-9457(01)00116-2,crossover,high
10.1016/s1389-9457(01)00132-0,case_series,high
10.1016/s1389-9457(01)00160-5,case_series,high
10.1016/s1389-9457(03)00165-5,case_series,high
10.1016/s1389-9457(02)00144-2,case_series,high
10.1016/s1474-4422(08)70112-1,rct,high
10.1016/s1474-4422(11)70127-2,non_randomized_trial,high
10.1017/cjn.2016.150,case_series,high
10.1016/s1474-4422(13)70239-4,rct,high
10.1017/s0317167100036350,crossover,high
10.1017/s0317167100010350,case_series,high
10.1017/s1092852919000476,case_series,high
10.1024/2674-0052/a000070,case_series,high
10.1034/j.1399-6576.2002.460121.x,case_series,high
10.1038/jcbfm.2011.201,non_randomized_trial,high
10.1017/s1461145707008310,unclear,low
10.1038/s41598-022-07659-6,observational,high
10.1038/s41394-023-00576-4,case_series,high
10.1038/sc.2010.164,case_series,high
10.1038/sc.1996.53,non_randomized_trial,high
10.1038/scsandc.2016.22,case_series,high
10.1046/j.1440-1819.1999.00522.x,case_series,high
10.1046/j.1468-1331.2000.0070s1027.x,case_series,high
10.1053/ajkd.2001.25202,crossover,high
10.1053/j.ajkd.2003.11.021,rct,high
10.1053/j.ajkd.2015.12.027,rct,high
10.1053/j.ajkd.2009.04.034,non_randomized_trial,high
10.1055/s-0028-1086647,observational,high
10.1055/s-0029-1213529,case_series,high
10.1055/s-0029-1240073,non_randomized_trial,high
10.1055/s-0032-1301540,non_randomized_trial,medium
10.1055/s-0039-3400132,case_series,high
10.1055/s-0043-1770253,unclear,low
10.1055/s-0041-1730447,observational,high
10.1055/s-0043-1770810,non_randomized_trial,low
10.1055/s-0046-1819673,non_randomized_trial,high
10.1055/s-2003-39047,case_series,high
10.1055/s-2005-919218,rct,high
10.1055/s-2005-919538,rct,high
10.1055/s-2006-953440,case_series,high
10.1055/s-2007-1017828,other,low
10.1055/s-2007-996659,case_series,high
10.1055/s-2007-996764,case_series,high
10.1056/nejm-jw.na41733,observational,high
10.1056/jn200504070000002,rct,high
10.1056/nejm-jw.na44259,unclear,low
10.1055/s-2005-918641,unclear,high
10.1080/00207454.2020.1838515,crossover,high
10.1056/nejmoa1303646,rct,high
10.1080/10790268.2017.1368963,case_series,high
10.1080/10874208.2012.677650,case_series,high
10.1080/0886022x.2023.2283589,rct,high
10.1080/00207454.2021.1879065,rct,high
10.1080/17434440.2025.2508872,non_randomized_trial,high
10.1081/jdi-120039823,non_randomized_trial,high
10.1089/acm.2012.0330,non_randomized_trial,high
10.1089/acm.2008.0227,crossover,high
10.1089/acu.2009.0598,case_series,high
10.1089/can.2021.0158,rct,high
10.1089/acu.2016.1194,case_series,high
10.1089/jicm.2023.0791,rct,high
10.1089/jicm.2021.0182,rct,high
10.1093/ageing/23.3.200,non_randomized_trial,high
10.1093/brain/awh079,observational,high
10.1093/ageing/afl124,case_series,high
10.1093/brain/awp170,non_randomized_trial,high
10.1093/ndt/gfaf116.1574,non_randomized_trial,high
10.1093/ndt/gft288,rct,high
10.1093/ofid/ofae631.333,observational,high
10.1093/sleep/16.4.327,crossover,high
10.1093/sleep/16.8.713,case_series,high
10.1093/sleep/19.1.52,crossover,high
10.1093/sleep/18.8.681,crossover,high
10.1093/sleep/19.10.801,case_series,high
10.1093/sleep/19.3.196,non_randomized_trial,medium
10.1093/sleep/19.3.205,case_series,high
10.1093/sleep/20.10.878,case_series,high
10.1093/sleep/21.6.617,crossover,high
10.1093/sleep/21.5.501,non_randomized_trial,high
10.1093/sleep/22.8.1073,crossover,high
10.1093/sleep/26.7.815,non_randomized_trial,high
10.1093/sleep/26.7.819,case_series,high
10.1093/sleep/27.4.674,non_randomized_trial,high
10.1093/sleep/27.5.907,rct,high
10.1093/sleep/32.2.159,crossover,high
10.1093/sleep/33.6.793,non_randomized_trial,high
10.1093/sleep/zsaa056.1262,case_series,high
10.1093/sleep/zsaa056.787,rct,high
10.1093/sleep/zsaa056.786,non_randomized_trial,high
10.1093/sleep/zsaa056.790,crossover,high
10.1093/sleep/zsaa056.792,crossover,high
10.1093/sleep/zsaa056.798,non_randomized_trial,high
10.1093/sleep/zsaa056.805,crossover,high
10.1093/sleep/zsaa056.971,case_series,high
10.1093/sleep/zsaa183,observational,high
10.1093/sleep/zsaa056.997,case_series,high
10.1093/sleep/zsab072.529,rct,high
10.1093/sleep/zsab072.530,observational,high
10.1093/sleep/zsac079.495,case_series,high
10.1093/sleep/zsac079.503,case_series,high
10.1093/sleep/zsab072.582,case_series,high
10.1093/sleep/zsac079.556,case_series,high
10.1093/sleep/zsac108,observational,high
10.1093/sleep/zsad077.0699,observational,high
10.1093/sleep/zsac079.821,case_series,high
10.1093/sleep/zsad077.0702,observational,high
10.1093/sleep/zsad077.0707,case_series,high
10.1093/sleep/zsad077.0710,rct,high
10.1093/sleep/zsad077.0987,case_series,high
10.1093/sleep/zsad077.0717,non_randomized_trial,high
10.1093/sleep/zsad077.0713,non_randomized_trial,high
10.1093/sleep/zsad154,non_randomized_trial,high
10.1093/sleep/zsad188,non_randomized_trial,high
10.1093/sleep/zsae067.01161,case_series,high
10.1093/sleep/zsae067.01180,case_series,high
10.1093/sleep/zsae067.01210,case_series,high
10.1093/sleep/zsad190,rct,high
10.1093/sleep/zsae067.01224,case_series,high
10.1093/sleep/zsae067.0390,crossover,high
10.1093/sleep/zsae067.01153,case_series,high
10.1093/sleep/zsae067.0684,observational,high
10.1093/sleep/zsae067.0685,observational,high
10.1093/sleep/zsae067.0687,rct,high
10.1093/sleep/zsae067.0701,observational,high
10.1093/sleep/zsae067.0704,non_randomized_trial,high
10.1093/sleep/zsae067.0708,non_randomized_trial,high
10.1093/sleep/zsae067.0706,case_series,high
10.1093/sleep/zsae067.0714,case_series,high
10.1093/sleep/zsae310,non_randomized_trial,high
10.1093/sleep/zsae095,rct,high
10.1093/sleep/zsae217,observational,high
10.1093/sleep/zsaf090.0902,non_randomized_trial,high
10.1093/sleep/zsaf090.0906,case_series,high
10.1093/sleep/zsaf090.0903,non_randomized_trial,high
10.1093/sleep/zsaf090.0904,observational,high
10.1093/sleep/zsaf090.0907,observational,high
10.1093/sleep/zsaf090.0910,case_series,high
10.1093/sleep/zsaf090.0911,observational,high
10.1093/sleep/zsae067.0712,non_randomized_trial,high
10.1093/sleep/zsaf090.1420,case_series,high
10.1093/sleep/zsaf090.1421,case_series,high
10.1093/sleep/zsaf090.1457,case_series,high
10.1093/sleep/zsaf090.1443,case_series,high
10.1093/sleep/zsaf090.1468,case_series,high
10.1093/sleep/zsaf090.1485,case_series,high
10.1093/sleep/zsaf090.1496,case_series,high
10.1093/sleep/zsy061.661,non_randomized_trial,high
10.1093/sleep/zsag008,observational,high
10.1093/sleep/zsy061.663,case_series,high
10.1093/sleep/zsy061.667,case_series,high
10.1093/sleep/zsy061.665,non_randomized_trial,high
10.1093/sleep/zsy063.1105,case_series,high
10.1093/sleep/zsz067.663,case_series,high
10.1093/sleep/zsz067.664,non_randomized_trial,high
10.1093/sleep/zsz067.666,observational,high
10.1093/sleep/zsz067.655,case_series,high
10.1093/sleep/zsz067.670,observational,high
10.1093/sleep/zsz234,observational,high
10.1093/sleepj/zsx050.720,observational,high
10.1093/sleepj/zsx050.746,rct,high
10.1093/sleepj/zsx052.015,case_series,high
10.1096/fasebj.20.4.a191-a,case_series,high
10.1093/sleep/zsz223,other,high
10.1097/00002826-198702000-00007,non_randomized_trial,high
10.1097/00002826-198610000-00006,case_series,high
10.1097/00002826-200403000-00008,case_series,high
10.1097/00002826-199704000-00006,case_series,high
10.1097/00005768-200505001-00665,rct,high
10.1097/00004714-198812000-00017,unclear,low
10.1097/00004850-199801000-00011,unclear,low
10.1097/01.jcp.0000246205.88281.d8,case_series,medium
10.1097/01.wnf.0000135480.78529.06,crossover,high
10.1097/01.wnf.0000194706.61224.29,case_series,high
10.1097/00007611-199808000-00007,case_series,high
10.1097/01720610-200903000-00007,case_series,high
10.1097/aln.0b013e31826e7038,case_series,high
10.1097/j.pain.0000000000003311,case_series,high
10.1097/jcp.0000000000000225,case_series,high
10.1097/mat.0000000000000271,rct,high
10.1097/jcp.0b013e31818b2764,case_series,high
10.1097/mat.0000000000000622,crossover,high
10.1097/mat.0b013e3181f1cc04,non_randomized_trial,high
10.1097/md.0000000000026800,case_series,high
10.1097/mat.0b013e3181641b07,non_randomized_trial,high
10.1097/md.0000000000032317,crossover,high
10.1097/md.0000000000034046,non_randomized_trial,high
10.1097/md.0b013e31815b1319,case_series,high
10.1097/nrl.0000000000000552,case_series,high
10.1097/wnf.0000000000000203,case_series,high
10.1097/wnf.0000000000000072,case_series,high
10.1097/wnf.0000000000000070,case_series,high
10.1097/nen.0b013e3180517b5f,other,high
10.1097/md.0000000000039926,rct,high
10.1097/wnf.0b013e31805930c2,crossover,high
10.1097/wnf.0b013e31815a3eec,rct,high
10.1097/wnf.0b013e31818f1125,case_series,high
10.1097/wnf.0b013e3181b3ab16,rct,high
10.1097/wnf.0b013e3182087d48,non_randomized_trial,high
10.1097/wnf.0b013e31824c1c3f,case_series,high
10.1097/wnf.0b013e3181fd82a1,crossover,high
10.1097/wnf.0b013e318259eac8,rct,high
10.1097/wnp.0b013e31815a0038,non_randomized_trial,high
10.1097/wnf.0b013e31804c780e,case_series,high
10.1097/wnf.0b013e3182746a5b,case_series,high
10.1097/yct.0000000000000695,case_series,high
10.1111/1744-9987.13802,rct,high
10.1111/1744-9987.13987,crossover,high
10.1111/ane.13075,observational,high
10.1111/ane.12890,observational,high
10.1111/ane.13213,case_series,high
10.1111/apa.12173,case_series,high
10.1111/ene.12001,case_series,high
10.1111/ene.12286,non_randomized_trial,high
10.1111/aphw.12183,case_series,high
10.1111/hdi.70031,rct,high
10.1111/hdi.12978,case_series,high
10.1111/iju.70036,observational,high
10.1111/j.1365-2710.2009.01051.x,case_series,high
10.1111/j.0954-6820.1985.tb08851.x,rct,high
10.1111/j.1365-2044.2007.05246.x,case_series,high
10.1111/j.1423-0410.2010.01368.x,rct,high
10.1111/j.1440-1819.1992.tb00548.x,non_randomized_trial,high
10.1111/j.1440-1819.2008.01879.x,case_series,high
10.1111/j.1440-1819.2009.02053.x,case_series,high
10.1111/j.1468-1331.2004.00960.x,non_randomized_trial,high
10.1111/j.1440-1819.2011.02212.x,case_series,high
10.1111/j.1468-1331.2006.01459.x,case_series,high
10.1111/j.1468-1331.2012.03719.x,observational,high
10.1111/j.1468-1331.2008.02526.x,case_series,high
10.1111/j.1524-4725.1995.tb00183.x,case_series,high
10.1111/j.1469-8749.2010.03619.x,case_series,high
10.1111/j.1600-0404.1984.tb07826.x,crossover,high
10.1111/j.1600-0404.1999.tb00732.x,case_series,high
10.1111/j.1532-5415.1971.tb01557.x,case_series,high
10.1111/j.1600-0404.2006.00669.x,non_randomized_trial,high
10.1111/j.1600-0404.2012.01707.x,case_series,high
10.1111/j.1600-0404.2007.00796.x,case_series,high
10.1111/j.1600-0447.1991.tb05581.x,case_series,high
10.1111/jgh.15803,non_randomized_trial,high
10.1111/jnu.12738,rct,high
10.1111/jsr.13794,observational,high
10.1111/jsr.12053,observational,high
10.1111/jsr.14066,case_series,high
10.1111/jsr.14167,non_randomized_trial,high
10.1111/jsr.13216,other,high
10.1111/jsr.14311,non_randomized_trial,high
10.1111/jsr.14303,non_randomized_trial,high
10.1111/liv.12035,case_series,high
10.1111/jsr.14389,observational,high
10.1111/ner.13462,observational,high
10.1111/ner.13532,case_series,high
10.1111/ncn3.12594,case_series,high
10.1111/pcn.12095,case_series,high
10.1111/pcn.13184,case_series,high
10.1111/psyg.12043,case_series,high
10.1111/psyg.70049,case_series,high
10.1111/sdi.70014,case_series,high
10.1111/trf.12061,observational,high
10.1136/archdischild-2015-308599.308,case_series,high
10.1136/bcr-2014-206679,case_series,high
10.1111/papr.13349,case_series,high
10.1136/bcr-2020-240686,case_series,high
10.1136/bcr-2023-255700,case_series,high
10.1136/bmj.288.6415.444,rct,high
10.1136/bmj.330.7487.330,case_series,high
10.1136/bmj.d8347,case_series,high
10.1136/bmjresp-2023-bssconf.13,case_series,high
10.1136/jnnp.2003.034843,non_randomized_trial,high
10.1136/jnnp.2005.075671,case_series,high
10.1136/bmjspcare-2014-000691,non_randomized_trial,high
10.1136/jnnp.2008.147397,rct,high
10.1136/jnnp.2007.138867,non_randomized_trial,high
10.1136/jnnp.2008.152652,case_series,high
10.1136/pgmj.69.815.701,observational,high
10.1136/jnnp.53.6.522,case_series,high
10.1155/2012/893681,case_series,high
10.1155/2012/294058,rct,high
10.1155/2013/628142,non_randomized_trial,high
10.1155/2015/343201,non_randomized_trial,high
10.1155/2022/7330308,rct,high
10.1155/crnm/1198600,case_series,high
10.1159/000008138,rct,high
10.1159/000026658,non_randomized_trial,high
10.1159/000026659,non_randomized_trial,high
10.1159/000058050,non_randomized_trial,medium
10.1159/000077943,non_randomized_trial,high
10.1159/000072882,non_randomized_trial,high
10.1159/000114904,case_series,high
10.1159/000099947,non_randomized_trial,high
10.1159/000116643,case_series,high
10.1159/000228261,case_series,high
10.1159/000494737,case_series,high
10.1159/000508803,observational,high
10.1159/000518911,case_series,high
10.1159/000354408,other,high
10.11604/pamj.2021.38.318.28836,case_series,high
10.1161/atvb.36.suppl_1.331,case_series,high
10.1161/jaha.120.018674,observational,high
10.1161/res.119.suppl_1.232,non_randomized_trial,high
10.1159/000322289,non_randomized_trial,medium
10.1176/ajp.141.8.993,case_series,high
10.1176/appi.neuropsych.12120394,observational,high
10.1176/pn.47.10.psychnews_47_10_18-a,other,high
10.1177/001857870003500604,case_series,high
10.1177/106002809402800711,case_series,high
10.1177/1054773810388557,observational,high
10.1177/0091270012439209,non_randomized_trial,high
10.1177/1756286418759973,non_randomized_trial,high
10.1177/21501327211019590,case_series,high
10.1177/2333794x19884816,non_randomized_trial,medium
10.1177/2045125316672133,case_series,high
10.1179/1753615412y.0000000011,rct,high
10.1177/0091270009338481,non_randomized_trial,high
10.1185/030079906x132442,rct,high
