doi,organism,indication,confidence
10.1016/j.sleep.2022.08.001,human,treatment,high
10.1016/j.sleep.2022.05.003,human,treatment,high
10.1016/j.sleep.2022.09.021,human,treatment,high
10.1016/j.sleep.2023.06.023,human,treatment,high
10.1016/j.sleep.2023.11.010,human,treatment,high
10.1016/j.sleep.2024.08.017,human,treatment,high
10.1016/j.sleep.2024.08.004,human,treatment,high
10.1016/j.sleep.2024.09.005,human,treatment,high
10.1016/j.sleep.2025.02.045,human,treatment,high
10.1016/j.sleep.2025.106634,human,treatment,high
10.1016/j.sleep.2025.106664,human,treatment,high
10.1016/j.sleep.2026.108789,human,treatment,high
10.1016/j.wneu.2016.05.077,human,treatment,high
10.1016/j.smrv.2020.101274,human,treatment,high
10.1016/j.transproceed.2007.03.097,human,treatment,high
10.1016/j.wneu.2024.01.103,human,treatment,high
10.1016/s0002-9343(97)89493-4,human,treatment,high
10.1016/s0306-9877(02)00357-2,human,not_applicable,high
10.1016/s0140-6736(86)92135-5,human,treatment,high
10.1016/s0378-3782(02)00092-0,human,not_applicable,high
10.1016/s0887-8994(99)00152-6,human,treatment,high
10.1016/s0924-977x(01)00080-3,human,treatment,high
10.1016/s0987-7053(03)00056-x,human,treatment,high
10.1016/s1389-9457(01)00081-8,human,treatment,high
10.1016/s1353-8020(00)00041-9,human,treatment,high
10.1016/s1389-9457(01)00116-2,human,treatment,high
10.1016/s1389-9457(01)00132-0,human,treatment,high
10.1016/s1389-9457(01)00160-5,human,treatment,high
10.1016/s1389-9457(02)00144-2,human,treatment,high
10.1016/s1389-9457(03)00165-5,human,treatment,high
10.1016/s1474-4422(11)70127-2,human,treatment,high
10.1016/s1474-4422(13)70239-4,human,treatment,high
10.1017/cjn.2016.150,human,treatment,high
10.1016/s1474-4422(08)70112-1,human,treatment,high
10.1017/s0317167100010350,human,treatment,high
10.1017/s0317167100036350,human,treatment,high
10.1017/s1092852919000476,human,treatment,high
10.1017/s1461145707008310,human,treatment,high
10.1024/2674-0052/a000070,human,treatment,high
10.1038/jcbfm.2011.201,human,treatment,high
10.1034/j.1399-6576.2002.460121.x,human,treatment,high
10.1038/s41394-023-00576-4,human,treatment,high
10.1038/sc.2010.164,human,treatment,high
10.1038/sc.1996.53,human,not_applicable,high
10.1038/scsandc.2016.22,human,treatment,high
10.1046/j.1440-1819.1999.00522.x,human,treatment,high
10.1038/s41598-022-07659-6,human,treatment,high
10.1046/j.1468-1331.2000.0070s1027.x,human,treatment,high
10.1053/j.ajkd.2003.11.021,human,treatment,high
10.1053/ajkd.2001.25202,human,treatment,high
10.1053/j.ajkd.2009.04.034,human,not_applicable,high
10.1053/j.ajkd.2015.12.027,human,treatment,high
10.1055/s-0028-1086647,human,treatment,high
10.1055/s-0029-1213529,human,treatment,high
10.1055/s-0032-1301540,human,treatment,high
10.1055/s-0041-1730447,human,treatment,high
10.1055/s-0039-3400132,human,treatment,high
10.1055/s-0043-1770253,human,treatment,high
10.1055/s-0029-1240073,human,not_applicable,high
10.1055/s-0043-1770810,human,treatment,high
10.1055/s-0046-1819673,human,treatment,high
10.1055/s-2003-39047,human,not_applicable,high
10.1055/s-2005-918641,human,treatment,high
10.1055/s-2005-919538,human,treatment,high
10.1055/s-2005-919218,human,treatment,high
10.1055/s-2006-953440,human,not_applicable,high
10.1055/s-2007-1017828,human,treatment,high
10.1055/s-2007-996659,human,treatment,high
10.1056/jn200504070000002,human,treatment,high
10.1055/s-2007-996764,human,treatment,high
10.1056/nejm-jw.na41733,human,prevention,high
10.1080/00207454.2020.1838515,human,treatment,high
10.1056/nejm-jw.na44259,human,treatment,medium
10.1080/00207454.2021.1879065,human,treatment,high
10.1056/nejmoa1303646,human,treatment,high
10.1080/0886022x.2023.2283589,human,treatment,high
10.1080/10790268.2017.1368963,human,treatment,high
10.1080/10874208.2012.677650,human,treatment,high
10.1080/17434440.2025.2508872,human,treatment,high
10.1081/jdi-120039823,human,treatment,high
10.1089/acm.2008.0227,human,treatment,high
10.1089/acm.2012.0330,human,treatment,high
10.1089/acu.2009.0598,human,treatment,high
10.1089/acu.2016.1194,human,treatment,medium
10.1089/jicm.2021.0182,human,treatment,high
10.1089/can.2021.0158,human,treatment,high
10.1093/ageing/23.3.200,human,treatment,high
10.1089/jicm.2023.0791,human,treatment,high
10.1093/brain/awh079,human,not_applicable,high
10.1093/ageing/afl124,human,treatment,high
10.1093/brain/awp170,human,treatment,high
10.1093/ndt/gfaf116.1574,human,treatment,high
10.1093/ndt/gft288,human,treatment,high
10.1093/sleep/16.8.713,human,treatment,high
10.1093/sleep/16.4.327,human,treatment,high
10.1093/sleep/18.8.681,human,treatment,high
10.1093/ofid/ofae631.333,human,prevention,high
10.1093/sleep/19.1.52,human,treatment,high
10.1093/sleep/19.3.196,human,treatment,high
10.1093/sleep/20.10.878,human,treatment,high
10.1093/sleep/19.3.205,human,treatment,high
10.1093/sleep/21.5.501,human,treatment,high
10.1093/sleep/26.7.815,human,treatment,high
10.1093/sleep/22.8.1073,human,treatment,high
10.1093/sleep/21.6.617,human,treatment,high
10.1093/sleep/19.10.801,human,treatment,high
10.1093/sleep/26.7.819,human,treatment,high
10.1093/sleep/27.4.674,human,treatment,high
10.1093/sleep/33.6.793,human,treatment,high
10.1093/sleep/zsaa056.1262,human,treatment,high
10.1093/sleep/27.5.907,human,treatment,high
10.1093/sleep/zsaa056.786,human,treatment,high
10.1093/sleep/zsaa056.787,human,treatment,high
10.1093/sleep/zsaa056.792,human,treatment,high
10.1093/sleep/zsaa056.798,human,treatment,high
10.1093/sleep/zsaa056.790,human,treatment,high
10.1093/sleep/32.2.159,human,treatment,high
10.1093/sleep/zsaa056.805,human,treatment,high
10.1093/sleep/zsaa056.971,human,treatment,high
10.1093/sleep/zsaa056.997,human,treatment,high
10.1093/sleep/zsaa183,human,treatment,high
10.1093/sleep/zsab072.582,human,treatment,high
10.1093/sleep/zsab072.530,human,treatment,high
10.1093/sleep/zsac079.495,human,treatment,high
10.1093/sleep/zsab072.529,human,treatment,high
10.1093/sleep/zsac079.556,human,treatment,high
10.1093/sleep/zsac079.503,human,treatment,high
10.1093/sleep/zsac079.821,human,not_applicable,high
10.1093/sleep/zsad077.0699,human,treatment,high
10.1093/sleep/zsac108,human,treatment,high
10.1093/sleep/zsad077.0702,human,treatment,high
10.1093/sleep/zsad077.0707,human,treatment,high
10.1093/sleep/zsad077.0710,human,treatment,high
10.1093/sleep/zsad077.0717,human,treatment,high
10.1093/sleep/zsad077.0713,human,treatment,high
10.1093/sleep/zsad077.0987,human,treatment,high
10.1093/sleep/zsad154,human,treatment,high
10.1093/sleep/zsad188,human,treatment,high
10.1093/sleep/zsad190,human,treatment,high
10.1093/sleep/zsae067.01153,human,treatment,high
10.1093/sleep/zsae067.01161,human,treatment,high
10.1093/sleep/zsae067.01180,human,treatment,high
10.1093/sleep/zsae067.01224,human,treatment,high
10.1093/sleep/zsae067.01210,human,treatment,high
10.1093/sleep/zsae067.0390,human,treatment,high
10.1093/sleep/zsae067.0684,human,treatment,high
10.1093/sleep/zsae067.0685,human,treatment,high
10.1093/sleep/zsae067.0704,human,treatment,high
10.1093/sleep/zsae067.0701,human,treatment,high
10.1093/sleep/zsae067.0687,human,treatment,high
10.1093/sleep/zsae067.0708,human,treatment,high
10.1093/sleep/zsae067.0706,human,treatment,high
10.1093/sleep/zsae095,human,treatment,high
10.1093/sleep/zsae067.0712,human,treatment,high
10.1093/sleep/zsae067.0714,human,treatment,high
10.1093/sleep/zsae217,human,not_applicable,high
10.1093/sleep/zsaf090.0903,human,treatment,high
10.1093/sleep/zsaf090.0902,human,treatment,high
10.1093/sleep/zsae310,human,treatment,high
10.1093/sleep/zsaf090.0904,human,treatment,high
10.1093/sleep/zsaf090.0906,human,treatment,high
10.1093/sleep/zsaf090.0910,human,treatment,high
10.1093/sleep/zsaf090.0907,human,treatment,high
10.1093/sleep/zsaf090.0911,human,treatment,high
10.1093/sleep/zsaf090.1420,human,treatment,high
10.1093/sleep/zsaf090.1421,human,treatment,high
10.1093/sleep/zsaf090.1457,human,treatment,high
10.1093/sleep/zsaf090.1443,human,treatment,high
10.1093/sleep/zsaf090.1485,human,treatment,high
10.1093/sleep/zsaf090.1468,human,treatment,high
10.1093/sleep/zsaf090.1496,human,treatment,high
10.1093/sleep/zsag008,human,treatment,high
10.1093/sleep/zsy061.661,human,treatment,high
10.1093/sleep/zsy061.665,human,treatment,high
10.1093/sleep/zsy061.663,human,treatment,high
10.1093/sleep/zsy063.1105,human,treatment,high
10.1093/sleep/zsy061.667,human,treatment,high
10.1093/sleep/zsz067.655,human,not_applicable,high
10.1093/sleep/zsz067.663,human,treatment,high
10.1093/sleep/zsz067.664,human,treatment,high
10.1093/sleep/zsz067.670,human,treatment,high
10.1093/sleep/zsz067.666,human,treatment,high
10.1093/sleep/zsz234,human,treatment,high
10.1093/sleep/zsz223,animal,treatment,high
10.1093/sleepj/zsx050.720,human,treatment,high
10.1093/sleepj/zsx050.746,human,treatment,high
10.1096/fasebj.20.4.a191-a,human,treatment,high
10.1093/sleepj/zsx052.015,human,treatment,high
10.1097/00002826-198610000-00006,human,treatment,high
10.1097/00002826-198702000-00007,human,treatment,high
10.1097/00002826-199704000-00006,human,treatment,high
10.1097/00002826-200403000-00008,human,not_applicable,high
10.1097/00004714-198812000-00017,human,treatment,medium
10.1097/00007611-199808000-00007,human,treatment,high
10.1097/00004850-199801000-00011,human,treatment,high
10.1097/00005768-200505001-00665,human,treatment,high
10.1097/01.jcp.0000246205.88281.d8,human,treatment,high
10.1097/01720610-200903000-00007,human,treatment,high
10.1097/aln.0b013e31826e7038,human,treatment,high
10.1097/01.wnf.0000194706.61224.29,human,treatment,high
10.1097/01.wnf.0000135480.78529.06,human,treatment,high
10.1097/j.pain.0000000000003311,human,treatment,high
10.1097/jcp.0000000000000225,human,treatment,high
10.1097/jcp.0b013e31818b2764,human,treatment,high
10.1097/mat.0000000000000271,human,treatment,high
10.1097/mat.0000000000000622,human,treatment,high
10.1097/mat.0b013e3181f1cc04,human,treatment,high
10.1097/md.0000000000026800,human,treatment,high
10.1097/mat.0b013e3181641b07,human,treatment,high
10.1097/md.0000000000034046,human,treatment,high
10.1097/md.0000000000032317,human,treatment,high
10.1097/md.0000000000039926,human,treatment,high
10.1097/md.0b013e31815b1319,human,treatment,high
10.1097/nen.0b013e3180517b5f,animal,not_applicable,high
10.1097/wnf.0000000000000070,human,treatment,high
10.1097/nrl.0000000000000552,human,treatment,high
10.1097/wnf.0000000000000072,human,treatment,high
10.1097/wnf.0b013e31804c780e,human,not_applicable,high
10.1097/wnf.0000000000000203,human,treatment,high
10.1097/wnf.0b013e31805930c2,human,treatment,high
10.1097/wnf.0b013e31815a3eec,human,treatment,high
10.1097/wnf.0b013e3181b3ab16,human,treatment,high
10.1097/wnf.0b013e3181fd82a1,human,treatment,high
10.1097/wnf.0b013e3182087d48,human,treatment,high
10.1097/wnf.0b013e31818f1125,human,treatment,high
10.1097/wnf.0b013e31824c1c3f,human,treatment,high
10.1097/wnf.0b013e318259eac8,human,treatment,high
10.1097/wnf.0b013e3182746a5b,human,treatment,high
10.1097/wnp.0b013e31815a0038,human,treatment,high
10.1097/yct.0000000000000695,human,treatment,high
10.1111/1744-9987.13987,human,treatment,high
10.1111/1744-9987.13802,human,treatment,high
10.1111/ane.12890,human,treatment,high
10.1111/ane.13075,human,treatment,high
10.1111/aphw.12183,human,treatment,high
10.1111/ane.13213,human,treatment,high
10.1111/apa.12173,human,treatment,high
10.1111/ene.12001,human,treatment,high
10.1111/ene.12286,human,treatment,high
10.1111/hdi.70031,human,treatment,high
10.1111/hdi.12978,human,treatment,high
10.1111/j.0954-6820.1985.tb08851.x,human,treatment,high
10.1111/j.1365-2044.2007.05246.x,human,treatment,high
10.1111/iju.70036,human,treatment,high
10.1111/j.1365-2710.2009.01051.x,human,treatment,high
10.1111/j.1423-0410.2010.01368.x,human,prevention,high
10.1111/j.1440-1819.2008.01879.x,human,treatment,high
10.1111/j.1440-1819.1992.tb00548.x,human,treatment,high
10.1111/j.1440-1819.2009.02053.x,human,not_applicable,high
10.1111/j.1440-1819.2011.02212.x,human,treatment,high
10.1111/j.1468-1331.2006.01459.x,human,treatment,high
10.1111/j.1468-1331.2004.00960.x,human,treatment,high
10.1111/j.1468-1331.2008.02526.x,human,not_applicable,high
10.1111/j.1468-1331.2012.03719.x,human,treatment,high
10.1111/j.1524-4725.1995.tb00183.x,human,treatment,high
10.1111/j.1469-8749.2010.03619.x,human,treatment,high
10.1111/j.1532-5415.1971.tb01557.x,human,treatment,high
10.1111/j.1600-0404.1999.tb00732.x,human,treatment,high
10.1111/j.1600-0404.1984.tb07826.x,human,treatment,high
10.1111/j.1600-0404.2006.00669.x,human,treatment,high
10.1111/j.1600-0404.2007.00796.x,human,treatment,high
10.1111/j.1600-0404.2012.01707.x,human,treatment,high
10.1111/jgh.15803,human,treatment,high
10.1111/j.1600-0447.1991.tb05581.x,human,treatment,high
10.1111/jnu.12738,human,treatment,high
10.1111/jsr.13216,animal,treatment,high
10.1111/jsr.13794,human,treatment,high
10.1111/jsr.14066,human,treatment,high
10.1111/jsr.14167,human,treatment,high
10.1111/jsr.12053,human,not_applicable,high
10.1111/jsr.14303,human,treatment,high
10.1111/jsr.14311,human,treatment,high
10.1111/jsr.14389,human,treatment,high
10.1111/liv.12035,human,treatment,high
10.1111/ncn3.12594,human,not_applicable,high
10.1111/ner.13532,human,treatment,high
10.1111/papr.13349,human,treatment,high
10.1111/pcn.13184,human,treatment,high
10.1111/ner.13462,human,treatment,high
10.1111/pcn.12095,human,treatment,high
10.1111/psyg.12043,human,treatment,high
10.1111/trf.12061,human,not_applicable,high
10.1111/psyg.70049,human,treatment,high
10.1111/sdi.70014,human,treatment,high
10.1136/archdischild-2015-308599.308,human,treatment,high
10.1136/bcr-2014-206679,human,treatment,high
10.1136/bcr-2020-240686,human,treatment,high
10.1136/bcr-2023-255700,human,treatment,high
10.1136/bmj.288.6415.444,human,treatment,high
10.1136/bmj.330.7487.330,human,treatment,high
10.1136/bmj.d8347,human,treatment,high
10.1136/bmjspcare-2014-000691,human,treatment,high
10.1136/bmjresp-2023-bssconf.13,human,treatment,high
10.1136/jnnp.2003.034843,human,treatment,high
10.1136/jnnp.2005.075671,human,treatment,high
10.1136/jnnp.2008.152652,human,treatment,high
10.1136/jnnp.2008.147397,human,treatment,high
10.1136/jnnp.2007.138867,human,treatment,high
