doi,drug_class,drug_name,confidence
10.1002/mds.20969,levodopa,levodopa/benserazide,high
10.1002/mds.20983,dopamine_agonist,pramipexole,high
10.1002/mds.21050,dopamine_agonist,ropinirole,high
10.1002/mds.21342,opioid,tramadol,high
10.1002/mds.21261,dopamine_agonist,pramipexole,high
10.1002/mds.21882,dopamine_agonist,bromocriptine,high
10.1002/mds.22016,dopamine_agonist,dopaminergic therapy,medium
10.1002/mds.21401,dopamine_agonist,cabergoline,high
10.1002/mds.22436,dopamine_agonist,dopaminergic agents,medium
10.1002/mds.22562,iron,iron sucrose,high
10.1002/mds.22753,non_pharmacological,exercise training,high
10.1002/mds.23157,dopamine_agonist,rotigotine,high
10.1002/mds.23543,dopamine_agonist,pramipexole and ropinirole,high
10.1002/mds.23771,alpha2delta_ligand,gabapentin enacarbil,high
10.1002/mds.24889,dopamine_agonist,ropinirole,high
10.1002/mds.27644,non_pharmacological,spinal cord stimulation,high
10.1002/mds.25154,dopamine_agonist,pramipexole,high
10.1002/mds.27040,iron,ferric carboxymaltose,high
10.1002/mds.28224,dopamine_agonist,rotigotine,high
10.1002/mds.28903,other,unspecified,high
10.1002/mds.870130333,dopamine_agonist,pergolide,high
10.1002/mds.28668,other_pharmacological,dipyridamole,high
10.1002/mus.20427,dopamine_agonist,dopaminergic agents,medium
10.1002/pcn5.213,dopamine_agonist,pramipexole,high
10.1002/pds.5852,alpha2delta_ligand,gabapentinoids,medium
10.1002/pds.5596,dopamine_agonist,dopamine agonists,high
10.1007/bf01037942,other_pharmacological,carbamazepine,high
10.1007/bf01253608,other,unspecified,low
10.1007/bf01277664,dopamine_agonist,pergolide,high
10.1007/s00268-013-2185-4,non_pharmacological,parathyroidectomy,high
10.1007/s00384-018-3032-8,iron,iron supplementation,high
10.1007/s00391-015-0984-y,iron,ferric carboxymaltose and iron gluconate,high
10.1007/s00406-002-0380-7,dopamine_agonist,pramipexole,high
10.1007/s00415-004-0367-6,levodopa,levodopa/benserazide,high
10.1002/pu.20213,alpha2delta_ligand,pregabalin,high
10.1007/s00415-009-5299-8,levodopa,levodopa,high
10.1007/s00415-010-5644-y,dopamine_agonist,dopaminergic agents,medium
10.1007/s00415-010-5879-7,dopamine_agonist,ropinirole,high
10.1007/s00702-003-0814-z,levodopa,levodopa/benserazide,high
10.1007/s00702-004-0217-9,levodopa,levodopa,high
10.1007/s00702-005-0386-1,dopamine_agonist,lisuride,high
10.1007/s00702-009-0361-3,alpha2delta_ligand,gabapentin,high
10.1007/s007020050055,dopamine_agonist,pergolide,high
10.1007/s10047-019-01100-y,non_pharmacological,constant-pressure predilution online hemodiafiltration,high
10.1007/s10047-020-01164-1,non_pharmacological,high-efficiency online hemodiafiltration,high
10.1007/s10072-018-3456-5,dopamine_agonist,unspecified,medium
10.1007/s10072-013-1478-6,dopamine_agonist,pramipexole,high
10.1007/s10072-014-1653-4,non_pharmacological,repetitive transcranial magnetic stimulation (rtms),high
10.1007/s10072-021-05667-4,dopamine_agonist,dopaminergic therapy,medium
10.1007/s10072-023-06733-9,dopamine_agonist,pramipexole,high
10.1007/s10072-024-07342-w,non_pharmacological,parathyroidectomy,high
10.1007/s10072-025-08677-8,other_pharmacological,palmitoylethanolamide (pea),high
10.1007/s10157-011-0485-2,other_pharmacological,cilostazol,high
10.1007/s10620-009-0943-9,non_pharmacological,gluten-free diet,high
10.1007/s10620-007-0021-0,other_pharmacological,rifaximin,high
10.1007/s11325-014-1049-y,other_pharmacological,vitamin d3,high
10.1007/s11325-014-1041-6,dopamine_agonist,dopamine agonist,medium
10.1007/s11325-018-1619-5,non_pharmacological,sleep hygiene training,high
10.1007/s11325-019-01984-3,other_pharmacological,vitamin d,high
10.1007/s11325-018-1751-2,other_pharmacological,vitamin d,high
10.1007/s11325-021-02353-9,dopamine_agonist,pramipexole,high
10.1007/s11695-025-08381-8,non_pharmacological,bariatric surgery,high
10.1007/s13318-015-0273-6,dopamine_agonist,rotigotine,high
10.1007/s13760-025-02871-3,other_pharmacological,thyroid hormone replacement therapy,medium
10.1007/s13760-016-0631-4,other,"dopamine agonists, iron, or combination",low
10.1007/s15006-017-9294-1,iron,iron substitution,high
10.1007/s40261-013-0150-5,dopamine_agonist,rotigotine (neupro),high
10.1007/s40263-012-0020-3,alpha2delta_ligand,gabapentin enacarbil,high
10.1007/s40263-015-0254-y,opioid,oxycodone/naloxone,high
10.1007/s40263-016-0329-4,alpha2delta_ligand,gabapentin enacarbil,high
10.1007/s40263-016-0372-1,opioid,oxycodone/naloxone,high
10.1007/s40263-016-0333-8,alpha2delta_ligand,gabapentin enacarbil,high
10.1007/s40263-023-01055-y,other_pharmacological,suvorexant,high
10.1007/s40263-025-01192-6,other_pharmacological,dipyridamole and suvorexant,high
10.1007/s41105-021-00364-3,dopamine_agonist,rotigotine,high
10.1007/s44337-024-00002-0,alpha2delta_ligand,gabapentin,high
10.1007/s41105-022-00401-9,dopamine_agonist,pramipexole,high
10.1016/j.ajem.2026.03.019,dopamine_agonist,pramipexole,high
10.1016/j.bj.2021.05.005,non_pharmacological,acupressure,high
10.1007/s44337-025-00545-w,non_pharmacological,lower leg nerve decompression surgery,high
10.1016/j.bj.2022.06.001,non_pharmacological,acupressure,high
10.1016/j.braindev.2010.09.008,other_pharmacological,levetiracetam,high
10.1016/j.braindev.2018.10.001,levodopa,levodopa,high
10.1016/j.cdtm.2017.08.001,other,unspecified,high
10.1016/j.clinph.2007.04.001,dopamine_agonist,pergolide,high
10.1016/j.brs.2014.06.008,non_pharmacological,transcutaneous spinal direct current stimulation (tsdcs),high
10.1016/j.clinph.2007.04.024,dopamine_agonist,dopaminergic agents,high
10.1016/j.clinph.2011.05.027,dopamine_agonist,pramipexole,high
10.1016/j.clinthera.2008.02.001,other,unspecified,high
10.1016/j.clinthera.2012.01.002,alpha2delta_ligand,gabapentin enacarbil,high
10.1016/j.clinthera.2013.10.011,alpha2delta_ligand,gabapentin enacarbil,high
10.1016/j.clinthera.2013.06.016,dopamine_agonist,ropinirole,high
10.1016/j.clinthera.2015.02.012,dopamine_agonist,ropinirole,high
10.1016/j.clinthera.2016.05.008,alpha2delta_ligand,gabapentin enacarbil,high
10.1016/j.ctim.2019.05.009,non_pharmacological,massage with olive oil,high
10.1016/j.curtheres.2007.11.001,other_pharmacological,istradefylline,high
10.1016/j.explore.2023.08.017,non_pharmacological,fu's subcutaneous needling,high
10.1016/j.ctim.2020.102409,non_pharmacological,cold water immersion,high
10.1016/j.explore.2025.103205,non_pharmacological,auriculotherapy,high
10.1016/j.explore.2024.05.001,other_pharmacological,"paeoniae radix herbal formulations (shihogyeji-tang, gyejibokryeong-hwan, jakyakgamcho-tang)",high
10.1016/j.genhosppsych.2006.10.006,other_pharmacological,bupropion,high
10.1016/j.ijcard.2008.11.177,iron,intravenous iron,high
10.1016/j.heliyon.2022.e12258,other_pharmacological,olanzapine,high
10.1016/j.ijpsycho.2014.12.005,dopamine_agonist,pramipexole,high
10.1016/j.jamda.2025.105485,alpha2delta_ligand,gabapentin enacarbil,high
10.1016/j.jbmt.2025.06.015,non_pharmacological,manual lymphatic drainage,high
10.1016/j.jams.2017.08.004,other,acupuncture plus gabapentin,high
10.1016/j.jbmt.2019.06.012,non_pharmacological,lavender oil and glycerin oil massage,high
10.1016/j.jecr.2023.100143,dopamine_agonist,pramipexole,high
10.1016/j.jns.2006.06.023,other,unspecified,low
10.1016/j.jns.2009.11.010,dopamine_agonist,pramipexole,high
10.1016/j.jns.2012.07.007,levodopa,levodopa,high
10.1016/j.jns.2010.04.003,dopamine_agonist,pramipexole,high
10.1016/j.jns.2015.01.025,other,unspecified,low
10.1016/j.jns.2016.09.006,non_pharmacological,cryotherapy,high
10.1016/j.jocn.2015.01.032,dopamine_agonist,dopamine agonists,high
10.1016/j.jns.2022.120462,other_pharmacological,galcanezumab,high
10.1016/j.jocn.2025.111369,non_pharmacological,vascular microsurgical intervention,high
10.1016/j.math.2012.11.002,non_pharmacological,traction straight leg raise,high
10.1016/j.jvir.2022.12.019,non_pharmacological,ultrasound-guided foam sclerotherapy,high
10.1016/j.jpainsymman.2014.08.010,alpha2delta_ligand,gabapentin,high
10.1016/j.jns.2013.11.001,iron,iron supplement,high
10.1016/j.msard.2021.102836,non_pharmacological,physical activity intervention,high
10.1016/j.msard.2022.104480,non_pharmacological,exergaming,high
10.1016/j.nefroe.2017.11.017,dopamine_agonist,rotigotine,high
10.1016/j.nefro.2017.03.023,dopamine_agonist,rotigotine,high
10.1016/j.neucli.2004.02.002,alpha2delta_ligand,gabapentin,high
10.1016/j.neurol.2013.05.001,other,unspecified,high
10.1016/j.pain.2013.05.007,levodopa,l-dopa,high
10.1016/j.neurom.2022.10.046,non_pharmacological,transauricular vagus nerve stimulation (tvns),high
10.1016/j.neurol.2016.12.035,dopamine_agonist,pramipexole,high
10.1016/j.parkreldis.2004.10.015,non_pharmacological,deep brain stimulation (vim),high
10.1016/j.parkreldis.2007.05.006,dopamine_agonist,dopamine agonists,high
10.1016/j.parkreldis.2011.10.010,dopamine_agonist,rotigotine,high
10.1016/j.parkreldis.2010.11.017,non_pharmacological,subthalamic nucleus deep brain stimulation (stn dbs),high
10.1016/j.parkreldis.2014.06.014,dopamine_agonist,dopaminergic agonist,medium
10.1016/j.parkreldis.2015.10.007,dopamine_agonist,dopaminergic agonist,medium
10.1016/j.parkreldis.2017.05.015,dopamine_agonist,unspecified,medium
10.1016/j.pec.2023.107768,non_pharmacological,progressive muscle relaxation exercise,high
10.1016/j.pnpbp.2010.02.011,dopamine_agonist,pramipexole,high
10.1016/j.pediatrneurol.2004.11.007,dopamine_agonist,ropinirole,high
10.1016/j.pnpbp.2011.10.009,alpha2delta_ligand,gabapentin enacarbil,high
10.1016/j.pnpbp.2012.10.012,dopamine_agonist,rotigotine,high
10.1016/j.psychres.2023.115479,alpha2delta_ligand,gabapentinoids,high
10.1016/j.sleep.2003.07.005,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2004.01.007,levodopa,levodopa/carbidopa,high
10.1016/j.sleep.2004.03.002,iron,iron dextran,high
10.1016/j.sleep.2004.05.006,other,unspecified,high
10.1016/j.sleep.2004.10.012,non_pharmacological,enhanced external counter pulsation (eecp),high
10.1016/j.sleep.2004.12.002,dopamine_agonist,ropinirole,high
10.1016/j.sleep.2004.10.014,other,parathyroidectomy,high
10.1016/j.sleep.2005.01.008,iron,iron dextran,high
10.1016/j.sleep.2005.05.007,dopamine_agonist,lisuride,high
10.1016/j.sleep.2005.06.009,non_pharmacological,continuous positive airway pressure (cpap),high
10.1016/j.sleep.2006.03.011,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2006.05.018,dopamine_agonist,sumanirole,high
10.1016/j.sleep.2006.09.009,dopamine_agonist,ropinirole,high
10.1016/j.sleep.2006.10.008,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2007.03.023,levodopa,levodopa,high
10.1016/j.sleep.2007.04.010,dopamine_agonist,rotigotine,high
10.1016/j.sleep.2007.07.020,dopamine_agonist,cabergoline,high
10.1016/j.sleep.2007.08.017,dopamine_agonist,ropinirole,high
10.1016/j.sleep.2007.10.023,dopamine_agonist,ropinirole,high
10.1016/j.sleep.2007.12.004,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2007.12.006,iron,iron sucrose,high
10.1016/j.sleep.2008.04.012,dopamine_agonist,rotigotine,high
10.1016/j.sleep.2008.07.014,other_pharmacological,gluten-free diet,high
10.1016/j.sleep.2008.05.014,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2008.09.001,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2008.11.003,iron,oral iron,high
10.1016/j.sleep.2009.03.009,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2009.12.002,iron,iron dextran,high
10.1016/j.sleep.2009.05.003,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2009.12.008,non_pharmacological,bright light exposure,high
10.1016/j.sleep.2010.02.014,dopamine_agonist,rotigotine,high
10.1016/j.sleep.2010.03.003,alpha2delta_ligand,pregabalin,high
10.1016/j.sleep.2010.03.019,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2010.08.005,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2010.11.002,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2010.11.007,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2010.12.007,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2011.03.021,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2011.01.008,levodopa,l-dopa,high
10.1016/j.sleep.2011.03.003,dopamine_agonist,dopamine agonists (unspecified),medium
10.1016/j.sleep.2011.06.009,iron,ferric carboxymaltose,high
10.1016/j.sleep.2011.11.010,other_pharmacological,vitamins c and e,high
10.1016/j.sleep.2011.08.007,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2011.09.016,dopamine_agonist,rotigotine,high
10.1016/j.sleep.2011.12.009,iron,oral iron,high
10.1016/j.sleep.2012.02.011,iron,ferric carboxymaltose,high
10.1016/j.sleep.2012.08.004,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2012.06.007,non_pharmacological,globus pallidus deep brain stimulation,high
10.1016/j.sleep.2012.08.019,other_pharmacological,botulinum toxin type a,high
10.1016/j.sleep.2013.02.012,other,unspecified,low
10.1016/j.sleep.2012.11.001,iron,iron dextran,high
10.1016/j.sleep.2013.02.013,dopamine_agonist,rotigotine,high
10.1016/j.sleep.2013.06.006,iron,iron sucrose,high
10.1016/j.sleep.2014.01.016,dopamine_agonist,pramipexole extended-release,high
10.1016/j.sleep.2013.07.007,dopamine_agonist,rotigotine,high
10.1016/j.sleep.2013.05.018,iron,iron sucrose,high
10.1016/j.sleep.2014.07.032,non_pharmacological,transcranial direct current stimulation,high
10.1016/j.sleep.2014.08.012,iron,iron dextran,high
10.1016/j.sleep.2014.10.025,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2014.09.015,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2014.12.019,dopamine_agonist,rotigotine,high
10.1016/j.sleep.2014.12.029,non_pharmacological,repetitive transcranial magnetic stimulation (rtms),high
10.1016/j.sleep.2015.03.006,dopamine_agonist,rotigotine,high
10.1016/j.sleep.2015.04.016,dopamine_agonist,pramipexole,high
10.1016/j.sleep.2015.08.006,iron,ferric carboxymaltose,high
10.1016/j.sleep.2015.05.028,other,unspecified,high
10.1016/j.sleep.2015.10.006,dopamine_agonist,rotigotine,high
10.1016/j.sleep.2015.11.002,alpha2delta_ligand,gabapentin enacarbil,high
10.1016/j.sleep.2016.05.004,dopamine_agonist,rotigotine,high
10.1016/j.sleep.2016.01.008,iron,iron supplementation,high
10.1016/j.sleep.2016.04.012,dopamine_agonist,rotigotine,high
10.1016/j.sleep.2016.06.021,iron,ferric carboxymaltose,high
10.1016/j.sleep.2017.11.1134,iron,ferric carboxymaltose,high
10.1016/j.sleep.2017.03.012,other_pharmacological,perampanel,high
10.1016/j.sleep.2017.09.028,alpha2delta_ligand,pregabalin,high
10.1016/j.sleep.2018.02.002,other_pharmacological,dipyridamole,high
10.1016/j.sleep.2018.04.001,alpha2delta_ligand,gabapentin enacarbil,high
10.1016/j.sleep.2018.02.008,non_pharmacological,repetitive transcranial magnetic stimulation (rtms),high
10.1016/j.sleep.2017.11.1139,other,"ropinirole, pramipexole, and gabapentin",high
10.1016/j.sleep.2017.06.023,non_pharmacological,continuous positive airway pressure (cpap),high
10.1016/j.sleep.2018.06.004,dopamine_agonist,dopaminergic drugs,low
10.1016/j.sleep.2018.11.025,alpha2delta_ligand,gabapentin enacarbil,high
10.1016/j.sleep.2020.02.027,iron,ferric carboxymaltose,high
10.1016/j.sleep.2019.09.020,iron,intravenous iron,high
10.1016/j.sleep.2020.06.002,iron,ferric carboxymaltose,high
10.1016/j.sleep.2020.07.011,non_pharmacological,cognitive behavioral therapy for insomnia,high
10.1016/j.sleep.2020.10.022,other,deep brain stimulation (dbs),high
10.1016/j.sleep.2020.07.026,non_pharmacological,transcutaneous spinal cord direct current stimulation,high
10.1016/j.sleep.2021.05.036,iron,ferric carboxymaltose,high
10.1016/j.sleep.2021.07.004,alpha2delta_ligand,gabapentin enacarbil,high
10.1016/j.sleep.2021.08.030,iron,ferric carboxymaltose,high
10.1016/j.sleep.2021.01.017,other,unspecified,medium
10.1016/j.sleep.2022.05.003,other,"ropinirole, pramipexole, and gabapentin",high
10.1016/j.sleep.2022.08.001,non_pharmacological,physical activity,high
10.1016/j.sleep.2022.09.021,iron,ferric carboxymaltose,high
10.1016/j.sleep.2023.06.023,iron,ferric carboxymaltose,high
10.1016/j.sleep.2024.08.004,iron,ferric carboxymaltose and ferrous sulfate,high
10.1016/j.sleep.2024.08.017,non_pharmacological,tonic motor activation (tomac),high
10.1016/j.sleep.2024.09.005,other_pharmacological,suvorexant,high
10.1016/j.sleep.2025.02.045,other,pramipexole or pregabalin,medium
10.1016/j.sleep.2023.11.010,dopamine_agonist,dopamine agonist,high
10.1016/j.sleep.2025.106634,other_pharmacological,pitolisant,high
10.1016/j.sleep.2025.106664,non_pharmacological,adaptive spinal cord stimulation,high
10.1016/j.sleep.2026.108789,non_pharmacological,transcutaneous spinal direct current stimulation (tsdcs),high
10.1016/j.wneu.2024.01.103,non_pharmacological,repetitive transcranial magnetic stimulation (rtms),high
10.1016/j.smrv.2020.101274,iron,iron supplementation,high
10.1016/s0002-9343(97)89493-4,benzodiazepine,clonazepam,high
10.1016/j.wneu.2016.05.077,non_pharmacological,epidural spinal cord stimulation,high
10.1016/s0140-6736(86)92135-5,levodopa,levodopa,high
10.1016/s0306-9877(02)00357-2,dopamine_agonist,lisuride,high
10.1016/s0887-8994(99)00152-6,other,levodopa and pergolide,high
10.1016/s0378-3782(02)00092-0,iron,oral iron,high
10.1016/s0924-977x(01)00080-3,benzodiazepine,clonazepam,high
10.1016/s0987-7053(03)00056-x,dopamine_agonist,apomorphine,high
10.1016/s1353-8020(00)00041-9,dopamine_agonist,pergolide,high
10.1016/s1389-9457(01)00081-8,iron,oral iron,high
10.1016/j.transproceed.2007.03.097,non_pharmacological,renal transplantation,high
10.1016/s1389-9457(01)00116-2,dopamine_agonist,pergolide,high
10.1016/s1389-9457(01)00132-0,dopamine_agonist,pergolide,high
10.1016/s1389-9457(02)00144-2,dopamine_agonist,pramipexole,high
10.1016/s1389-9457(01)00160-5,iron,oral iron,high
10.1016/s1389-9457(03)00165-5,dopamine_agonist,terguride,high
10.1016/s1474-4422(11)70127-2,dopamine_agonist,rotigotine,high
10.1016/s1474-4422(08)70112-1,dopamine_agonist,rotigotine,high
10.1016/s1474-4422(13)70239-4,opioid,oxycodone-naloxone,high
10.1017/cjn.2016.150,non_pharmacological,nerve mobilization exercises,high
10.1017/s1092852919000476,opioid,heroin,high
10.1017/s0317167100036350,benzodiazepine,clonazepam,high
10.1017/s1461145707008310,other_pharmacological,aripiprazole,high
10.1024/2674-0052/a000070,non_pharmacological,reduced training intensity,low
10.1017/s0317167100010350,other_pharmacological,hydroxyzine hydrochloride,high
10.1038/jcbfm.2011.201,dopamine_agonist,pramipexole,high
10.1034/j.1399-6576.2002.460121.x,opioid,morphine and bupivacaine (intrathecal),high
10.1038/s41394-023-00576-4,dopamine_agonist,pramipexole,high
10.1038/s41598-022-07659-6,levodopa,levodopa/benserazide,high
10.1038/sc.2010.164,dopamine_agonist,pramipexole,high
10.1038/sc.1996.53,non_pharmacological,acute physical activity,high
10.1038/scsandc.2016.22,dopamine_agonist,pramipexole,high
10.1046/j.1440-1819.1999.00522.x,dopamine_agonist,talipexole,high
10.1053/j.ajkd.2003.11.021,iron,iron dextran,high
10.1053/ajkd.2001.25202,alpha2delta_ligand,gabapentin,high
10.1046/j.1468-1331.2000.0070s1027.x,dopamine_agonist,pramipexole,high
10.1053/j.ajkd.2015.12.027,dopamine_agonist,rotigotine,high
10.1053/j.ajkd.2009.04.034,dopamine_agonist,pergolide,high
10.1055/s-0028-1086647,dopamine_agonist,pramipexole,high
10.1055/s-0029-1240073,dopamine_agonist,dopamine receptor agonists,high
10.1055/s-0029-1213529,other_pharmacological,zincum valerianicum,high
10.1055/s-0041-1730447,non_pharmacological,venous ablation,high
10.1055/s-0039-3400132,other_pharmacological,bryophyllum pinnatum,high
10.1055/s-0032-1301540,non_pharmacological,transcutaneous spinal direct current stimulation,high
10.1055/s-0043-1770253,dopamine_agonist,pramipexole,high
10.1055/s-0043-1770810,dopamine_agonist,ropinirole,high
10.1055/s-2005-918641,other_pharmacological,levetiracetam,high
10.1055/s-2003-39047,levodopa,levodopa/benserazide (madopar),high
10.1055/s-0046-1819673,non_pharmacological,aerobic exercise,high
10.1055/s-2005-919218,dopamine_agonist,pramipexole,high
10.1055/s-2005-919538,dopamine_agonist,cabergoline,high
10.1055/s-2006-953440,other_pharmacological,dopaminergic treatment,low
10.1055/s-2007-1017828,levodopa,levodopa,high
10.1055/s-2007-996659,levodopa,l-dopa,high
10.1055/s-2007-996764,opioid,morphine,high
10.1056/jn200504070000002,dopamine_agonist,cabergoline,high
10.1056/nejm-jw.na41733,alpha2delta_ligand,pregabalin,high
10.1056/nejm-jw.na44259,other,placebo,low
10.1056/nejmoa1303646,alpha2delta_ligand,pregabalin,high
10.1080/00207454.2020.1838515,other_pharmacological,ecopipam,high
10.1080/00207454.2021.1879065,non_pharmacological,electronic stimulation,high
10.1080/0886022x.2023.2283589,non_pharmacological,limb ischemic preconditioning,high
10.1080/10790268.2017.1368963,alpha2delta_ligand,gabapentin,high
10.1080/10874208.2012.677650,non_pharmacological,neurofeedback,high
10.1081/jdi-120039823,alpha2delta_ligand,gabapentin,high
10.1080/17434440.2025.2508872,non_pharmacological,transcutaneous electric nerve stimulation (tens),high
10.1089/acm.2008.0227,other_pharmacological,d-ribose,high
10.1089/acm.2012.0330,non_pharmacological,yoga,high
10.1089/acu.2009.0598,non_pharmacological,acupuncture,high
10.1089/acu.2016.1194,non_pharmacological,acupuncture,high
10.1089/can.2021.0158,other_pharmacological,cannabidiol,high
10.1089/jicm.2021.0182,non_pharmacological,yoga,high
10.1089/jicm.2023.0791,non_pharmacological,acupuncture,high
10.1093/ageing/23.3.200,iron,ferrous sulphate,high
10.1093/brain/awh079,levodopa,levodopa/benserazide,high
10.1093/ageing/afl124,dopamine_agonist,pramipexole,high
10.1093/brain/awp170,dopamine_agonist,unspecified,high
10.1093/ndt/gfaf116.1574,other,ohdf (on-line hemodiafiltration),high
10.1093/ndt/gft288,non_pharmacological,progressive aerobic exercise training,high
10.1093/sleep/16.4.327,opioid,oxycodone,high
10.1093/ofid/ofae631.333,dopamine_agonist,ropinirole,high
10.1093/sleep/16.8.713,levodopa,levodopa/carbidopa,high
10.1093/sleep/18.8.681,levodopa,levodopa,high
10.1093/sleep/19.1.52,other_pharmacological,clonidine,high
10.1093/sleep/19.3.196,levodopa,l-dopa,high
10.1093/sleep/19.10.801,dopamine_agonist,pergolide,high
10.1093/sleep/20.10.878,dopamine_agonist,pergolide,high
10.1093/sleep/19.3.205,levodopa,carbidopa/levodopa,high
10.1093/sleep/21.5.501,other_pharmacological,magnesium,high
10.1093/sleep/21.6.617,dopamine_agonist,pergolide,high
10.1093/sleep/22.8.1073,levodopa,levodopa/benserazide,high
10.1093/sleep/26.7.819,dopamine_agonist,pramipexole,high
10.1093/sleep/26.7.815,dopamine_agonist,cabergoline,high
10.1093/sleep/27.4.674,dopamine_agonist,cabergoline,high
10.1093/sleep/27.5.907,dopamine_agonist,ropinirole,high
10.1093/sleep/32.2.159,alpha2delta_ligand,xp13512 (gabapentin enacarbil),high
10.1093/sleep/zsaa056.1262,alpha2delta_ligand,gabapentin,high
10.1093/sleep/33.6.793,dopamine_agonist,pramipexole,high
10.1093/sleep/zsaa056.786,dopamine_agonist,dopamine agonist,medium
10.1093/sleep/zsaa056.787,non_pharmacological,low frequency electrical stimulators,high
10.1093/sleep/zsaa056.792,other_pharmacological,dipyridamole,high
10.1093/sleep/zsaa056.798,alpha2delta_ligand,gabapentin enacarbil,high
10.1093/sleep/zsaa056.971,iron,iron dextran,high
10.1093/sleep/zsaa056.805,other_pharmacological,vitamin d3,high
10.1093/sleep/zsaa183,opioid,methadone and oxycodone,high
10.1093/sleep/zsaa056.997,iron,ferric carboxymaltose,high
10.1093/sleep/zsaa056.790,non_pharmacological,peripheral nerve stimulation,high
10.1093/sleep/zsab072.530,opioid,unspecified,high
10.1093/sleep/zsab072.529,non_pharmacological,physical activity intervention,high
10.1093/sleep/zsab072.582,iron,ferric carboxymaltose,high
10.1093/sleep/zsac079.495,iron,ferric carboxymaltose,high
10.1093/sleep/zsac079.556,other_pharmacological,cannabis,high
10.1093/sleep/zsac079.503,iron,ferric carboxymaltose,high
10.1093/sleep/zsac079.821,dopamine_agonist,pramipexole,high
10.1093/sleep/zsac108,other,unspecified,high
10.1093/sleep/zsad077.0699,opioid,buprenorphine,high
10.1093/sleep/zsad077.0707,non_pharmacological,spinal cord stimulation,high
10.1093/sleep/zsad077.0702,opioid,opioids (unspecified),high
10.1093/sleep/zsad077.0710,non_pharmacological,tonic motor activation (tomac) therapy,high
10.1093/sleep/zsad077.0717,iron,ferrous sulfate,high
10.1093/sleep/zsad154,iron,ferric carboxymaltose,high
10.1093/sleep/zsad077.0987,iron,iron supplementation,high
10.1093/sleep/zsad188,non_pharmacological,tonic motor activation (tomac),high
