doi,source_folder,is_relevant,studies_treatment,trial_type,phase,is_excluded,exclusion_reason,topics,paper_title,paper_journal,paper_year,paper_authors,paper_volume,paper_issue,paper_pages,paper_url
10.1182/blood.v120.21.2283.2283,abstract_only,yes,yes,non_randomized_trial,phase_2,no,,iron replacement | RLS symptom improvement | observational iron therapy,Ascertainment of Iron Depletion and Deficiency in Blood Donors Through Screening Questions for Pica and Restless Legs Syndrome.,Blood,2012,Barbara J. Bryant; Yu Ying Yau; Sarah M. Arceo; Julie A. Hopkins; Susan F. Leitman,120,21,2283-2283,https://doi.org/10.1182/blood.v120.21.2283.2283
10.1111/ene.14577,abstract_only,yes,no,case_control,not_applicable,yes,review,neuroimaging|functional connectivity|fMRI|brain networks,Functional connectivity and topology in patients with restless legs syndrome: a case–control resting‐state functional magnetic resonance imaging study,European Journal of Neurology,2021,Tuovinen N.; Stefani A.; Mitterling T.; Heidbreder A.; Frauscher B.; Gizewski ER; Poewe W.; Högl B.; Scherfler C.,28,2,448-458,https://doi.org/10.1111/ene.14577
10.2147/jprls.s85484,abstract_only,no,no,other,not_applicable,yes,review,migraine | comorbidity | dopaminergic mechanisms,,,,,,,,
10.1038/ki.2013.394,abstract_only,yes,no,other,not_applicable,yes,review,RLS | uremic RLS | end-stage renal disease | treatment review | epidemiology,"Epidemiology, impact, and treatment options of restless legs syndrome in end-stage renal disease patients: an evidence-based review",Kidney International,2014,Christoforos D. Giannaki; Georgios M. Hadjigeorgiou; Christina Karatzaferi; Marios C. Pantzaris; Ioannis Stefanidis; Giorgos K. Sakkas,85,6,1275-1282,https://doi.org/10.1038/ki.2013.394
10.1212/wnl.88.16_supplement.p4.198,abstract_only,no,no,other,not_applicable,yes,,case report|Wilson's disease|Ekbom syndrome|comorbidity,,,,,,,,
10.30773/pi.2017.08.21,abstract_only,yes,yes,retrospective_cohort,not_applicable,no,,iron deficiency | iron replacement | symptom remission | risk factors | women,Symptom Persistence after Iron Normalization in Women with Restless Legs Syndrome,Psychiatry Investigation,2018,Young Rong Bang; Hong Jun Jeon; Hye Youn Park; In-Young Yoon,15,4,390-395,https://doi.org/10.30773/pi.2017.08.21
10.4274/jtsm.09709,abstract_only,yes,no,not_applicable,not_applicable,yes,guideline,RLS treatment | guideline | AAN recommendations,Restless Legs Syndrome Treatments in Adults: Practice Guideline Summary of American Academy of Neurology,Journal of Turkish Sleep Medicine,2017,Pınar Yalınay Dikmen,4,2,59-64,https://doi.org/10.4274/jtsm.09709
10.5665/sleep.5452,abstract_only,no,no,observational_cohort,not_applicable,yes,,RLS comorbidity | Parkinson disease | epidemiology | longitudinal observational study,,,,,,,,
10.2174/157488907779561772,abstract_only,no,no,other,not_applicable,yes,review,adenosine A2A receptors | Parkinson's disease | basal ganglia | drug development,,,,,,,,
10.1016/j.parkreldis.2020.09.015,abstract_only,yes,no,case_control,not_applicable,no,,genetics | SNCA polymorphism | iron deficiency | RLS susceptibility,SNCA-Rep1 polymorphism correlates with susceptibility and iron deficiency in restless legs syndrome,Parkinsonism &amp; Related Disorders,2020,Xiao-Ying Zhu; Hong-Ming Wang; Ting-Ting Wu; Te Liu; Ya-Jing Chen; Xuan Li; Tian-Jiao Chen; Ye Liu; Xiao-Jin Zhang; Xi-Xi Wang; Yue Zhang; William G. Ondo; Yun-Cheng Wu,81,,12-17,https://doi.org/10.1016/j.parkreldis.2020.09.015
10.1177/0269881108091876,abstract_only,no,no,case_series,not_applicable,yes,,olanzapine side effects | drug-induced RLS | antipsychotics | adverse events,,,,,,,,
10.1212/con.0000000000000897,abstract_only,no,no,other,not_applicable,yes,review,sleep disorders|pediatric|review,,,,,,,,
10.3390/jcm8091403,abstract_only,yes,yes,observational_cohort,not_applicable,no,,RLS in PAD | exercise intervention | sleep quality | peripheral vascular disease,Restless Leg Syndrome in Peripheral Artery Disease: Prevalence among Patients with Claudication and Benefits from Low-Intensity Exercise,Journal of Clinical Medicine,2019,Nicola Lamberti; Pablo Jesús López-Soto; María Aurora Rodríguez-Borrego; Sofia Straudi; Nino Basaglia; Paolo Zamboni; Roberto Manfredini; Fabio Manfredini,8,9,1403,https://doi.org/10.3390/jcm8091403
10.3389/fpsyt.2024.1310259,abstract_only,yes,no,other,not_applicable,yes,review,ADHD comorbidity | Mendelian randomization | genetic correlation | iron status,"Association among attention-deficit hyperactivity disorder, restless legs syndrome, and peripheral iron status: a two-sample Mendelian randomization study",Frontiers in Psychiatry,2024,Guoqiang Xiao; Hongting Shi; Qiaoyu Lan; Jiajia Hu; Jincheng Guan; Zhuoji Liang; Chumeng Zhou; Zitong Huang; Yongyuan Chen; Borong Zhou,15,,1310259,https://doi.org/10.3389/fpsyt.2024.1310259
10.59188/jcs.v5i2.4030,abstract_only,no,no,other,not_applicable,yes,review,CKD symptom management | multidisciplinary review,,,,,,,,
10.19044/esj.2018.v14n30p371,abstract_only,yes,yes,rct,phase_2,no,,aromatherapy | sleep quality | RLS treatment | non-pharmacological intervention | diabetes comorbidity,The Effects of Aromatherapy on Sleep Quality in Diabetes Patients with Restless Leg Syndrome in Taiwan,"European Scientific Journal, ESJ",2018,Pei-Jung Yu; Ai-Fu Chiou,14,30,371,https://doi.org/10.19044/esj.2018.v14n30p371
10.1016/j.sleep.2007.08.020,abstract_only,yes,no,observational_cohort,not_applicable,yes,secondary_analysis,RLS phenotyping | periodic leg movements | polysomnography | age-related changes,Age-related changes in periodic leg movements during sleep in patients with restless legs syndrome,Sleep Medicine,2008,Raffaele Ferri; Mauro Manconi; Bartolo Lanuzza; Filomena I.I. Cosentino; Oliviero Bruni; Luigi Ferini-Strambi; Marco Zucconi,9,7,790-798,https://doi.org/10.1016/j.sleep.2007.08.020
10.1016/j.sleep.2004.10.010,abstract_only,yes,no,cross_sectional,not_applicable,yes,,RLS severity measurement | scale validation | psychometrics,An item response analysis of the international restless legs syndrome study group rating scale for restless legs syndrome,Sleep Medicine,2005,Glen R. Wunderlich; Kenneth R. Evans; Terrence Sills; Stephane Pollentier; Juergen Reess; Richard P. Allen; Wayne Hening; Arthur S. Walters; The International Restless Legs Syndrome Study Group,6,2,131-139,https://doi.org/10.1016/j.sleep.2004.10.010
10.1093/sleep/zsab092,abstract_only,no,no,other,not_applicable,yes,guideline,scoring rules | polysomnography | large muscle movements | sleep measurement,,,,,,,,
10.1007/s00415-006-4005-3,abstract_only,yes,no,other,not_applicable,yes,editorial,RLS diagnosis | dopaminergic treatment | augmentation | clinical assessment,Restless legs syndrome: Diagnostic assessment and the advantages and risks of dopaminergic treatment,Journal of Neurology,2006,Birgit Högl; Walter Paulus; Peter Clarenbach; Claudia Trenkwalder,253,S4,iv22-iv28,https://doi.org/10.1007/s00415-006-4005-3
10.1212/wnl.0b013e318297eee0,abstract_only,yes,no,observational_cohort,not_applicable,no,,mortality|epidemiology|comorbidities|RLS prognosis,Prospective study of restless legs syndrome and mortality among men,Neurology,2013,Yanping Li; Wei Wang; John W. Winkelman; Atul Malhotra; Jing Ma; Xiang Gao,81,1,52-59,https://doi.org/10.1212/wnl.0b013e318297eee0
10.4103/njcp.njcp_84_17,abstract_only,yes,no,cross_sectional,not_applicable,no,,RLS prevalence | hemodialysis | quality of life | observational study,Restless legs syndrome and quality of life in chronic hemodialysis patients,Nigerian Journal of Clinical Practice,2018,Kutlu R.; Selcuk NY; Sayin S.; Kal O.,21,5,573,https://doi.org/10.4103/njcp.njcp_84_17
10.29399/npa.23351,abstract_only,yes,no,cross_sectional,not_applicable,yes,cross_sectional_observational,RLS prevalence | MS comorbidity | sleep quality | cervical cord lesions,Restless Legs Syndrome/Willis-Ekbom Disease in Multiple Sclerosis Patients with Spinal Cord Lesions,Archives of Neuropsychiatry,2019,Gulin Sunter; Ozden Kilinc; Ahmet Berk; Seyfullah Akcabey; Ekrem Salduz; Hakan Ozturkcu; Dilek Ince Gunal; Kadriye Agan,57,4,299-302,https://doi.org/10.29399/npa.23351
10.1111/jsr.13660,abstract_only,no,no,other,not_applicable,yes,review,hyperhidrosis | sleep disorders | RLS comorbidity,,,,,,,,
pmid_22237212,abstract_only,yes,no,cross_sectional,not_applicable,no,,RLS epidemiology | hemodialysis patients | insomnia | diagnostic assessment,Insomnia and limb pain in hemodialysis patients: what is the share of restless leg syndrome?,"Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia",2012,Malaki M.; Mortazavi FS; Moazemi S.; Shoaran M.,23,1,15-20,https://pubmed.ncbi.nlm.nih.gov/22237212/
10.3760/cma.j.issn.1673-4246.2012.04.015,abstract_only,yes,no,other,not_applicable,yes,review,RLS treatment | Chinese medicine | theoretical discussion,Theoretical discussion on promoting blood circulation and removing blood stasis therapy for restless leg syndrome,,2012,Yang Zhao; Qian Diao; Tao Li,34,04,335,https://doi.org/10.3760/cma.j.issn.1673-4246.2012.04.015
10.1176/jnp.2008.20.1.101,abstract_only,no,no,not_applicable,not_applicable,yes,,comorbidity|epidemiology|observational,,,,,,,,
10.1016/j.jsmc.2015.05.014,abstract_only,yes,no,other,not_applicable,yes,review,pediatric RLS | PLMD | iron therapy | dopaminergic medications | clinical evaluation,Restless Legs Syndrome/Willis-Ekbom Disease and Growing Pains in Children and Adolescents,Sleep Medicine Clinics,2015,Narong Simakajornboon; Thomas J. Dye; Arthur S. Walters,10,3,311-322,https://doi.org/10.1016/j.jsmc.2015.05.014
10.5897/ajpp11.064,abstract_only,no,no,not_applicable,not_applicable,yes,,hemodialysis | L-carnitine | complications,,,,,,,,
10.1007/s11325-021-02311-5,abstract_only,yes,no,cross_sectional,not_applicable,yes,,RLS prevalence | pregnancy | quality of life | epidemiology,Prevalence of restless leg syndrome and effects on quality of life during pregnancy,Sleep and Breathing,2021,Nazan Tuna Oran; Esma Yuksel; Sebnem Ruzgar,25,4,2127-2134,https://doi.org/10.1007/s11325-021-02311-5
10.55940/medphar202346,abstract_only,yes,no,other,not_applicable,yes,review,cabergoline | dopamine agonist | RLS treatment | systematic review,Cabergoline - Dopamine Receptor Agonist,Medical and Pharmaceutical Journal,2023,Kondeti Venkata Surya Siva Kumar; Saripella Latha Sree; Saripella Jaya Sree,,,90-98,https://doi.org/10.55940/medphar202346
10.1080/07399332.2018.1435662,abstract_only,yes,no,cross_sectional,not_applicable,no,,RLS prevalence | postmenopausal women | risk factors | epidemiology,The prevalence of restless legs syndrome and its relationship with demographic characteristics and medical disorders in postmenopausal Iranian women,Health Care for Women International,2018,Roghieh Bagheri; Parvin Abedi; Parvaneh Mousavi; Nasrin Azimi,39,12,1317-1325,https://doi.org/10.1080/07399332.2018.1435662
10.4103/0976-3147.105598,abstract_only,no,no,unclear,not_applicable,yes,,RLS pathophysiology | central vs peripheral mechanisms,,,,,,,,
10.1159/000354408,abstract_only,yes,yes,other,not_applicable,no,,homeopathy|RLS treatment|UV spectroscopy|clinical trial materials,Investigating Homeopathic Verum and Placebo Globules with UV Spectroscopy,Complementary Medicine Research,2013,Sabine D. Klein; Ursula Wolf,20,4,295-297,https://doi.org/10.1159/000354408
10.54097/e01yqp86,abstract_only,no,no,other,not_applicable,yes,review,deep brain stimulation | neurodegenerative diseases | sleep | review,,,,,,,,
10.1016/j.clinthera.2012.02.008,abstract_only,no,no,phase_1,phase_1,no,,rotigotine|pharmacokinetics|transdermal|bioavailability,,,,,,,,
10.17241/smr.2020.00787,abstract_only,yes,no,case_series,not_applicable,yes,review,RLS comorbidity | genital syndrome | case series | clinical observation,Restless Genital Syndrome: A Rare Case Series of Four Patients and a Literature Review,Sleep Medicine Research,2020,Hye-Rim Shin; Sun Jung Han; Ki-Young Jung,11,2,145-148,https://doi.org/10.17241/smr.2020.00787
10.1002/acn3.680,abstract_only,no,no,other,not_applicable,yes,,neuroimaging|gray matter|comorbidity,,,,,,,,
10.1097/coh.0000000000000779,abstract_only,no,no,not_applicable,not_applicable,yes,review,sleep disorders | HIV | insomnia | comorbidities,,,,,,,,
10.1212/01.wnl.0000341770.91926.cc,abstract_only,yes,yes,rct,phase_2_3,no,,nondopaminergic agent | XP13512/GSK1838262 | moderate-to-severe RLS | symptom improvement | tolerability,"Randomized, double-blind, placebo-controlled study of XP13512/GSK1838262 in patients with RLS",Neurology,2009,Kushida CA; Becker PM; Ellenbogen AL; Canafax DM; Barrett RW,72,5,439-446,https://doi.org/10.1212/01.wnl.0000341770.91926.cc
10.2147/nss.s448579,abstract_only,yes,yes,observational_cohort,not_applicable,no,,cerebral autoregulation | pramipexole | gabapentin | polysomnography | treatment response,Compromised Dynamic Cerebral Autoregulation in Patients with Restless Legs Syndrome,Nature and Science of Sleep,2024,Yanan Zhang; Qianqian Chen; Qingqing Sun; Mingyang Tang; Yi Yang; Zhen-Ni Guo; Zan Wang,Volume 16,,431-443,https://doi.org/10.2147/nss.s448579
10.1016/j.rmed.2019.03.009,abstract_only,yes,no,cross_sectional,not_applicable,no,,RLS prevalence | cystic fibrosis | iron deficiency | cross-sectional survey,Increased frequency of the restless legs syndrome in adults with cystic fibrosis,Respiratory Medicine,2019,Peter Jurisch; Henning Gall; Manuel Jonas Richter; Werner Seeger; Lutz Nährlich; Sebastian Völkel; Tim Oliver Hirche; Richard Schulz,151,,8-10,https://doi.org/10.1016/j.rmed.2019.03.009
pmid_31265677,abstract_only,yes,no,other,not_applicable,yes,review,RLS augmentation | systematic review | meta-analysis,Erratum: Incidence of Augmentation in Primary Restless Legs Syndrome Patients May Not Be That High: Evidence From A Systematic Review and Meta-Analysis: Erratum.,Medicine,2016,,95,6,e2504,https://pubmed.ncbi.nlm.nih.gov/31265677/
10.1176/appi.neuropsych.15030055,abstract_only,yes,no,cross_sectional,not_applicable,yes,review,psychiatric comorbidity | RLS epidemiology | sleep disorders,Psychiatric Comorbidities in Restless Legs Syndrome,The Journal of Neuropsychiatry and Clinical Neurosciences,2016,Ulf Kallweit; Esther Werth; Angela Seiz; Sandra Sefidan; Norbert Dahmen; Mauro Manconi; Ulrike Ehlert; Claudio L.A. Bassetti,28,3,239-242,https://doi.org/10.1176/appi.neuropsych.15030055
10.1016/j.sleep.2019.01.010,abstract_only,no,no,not_applicable,not_applicable,yes,review,sleep disorders|MS|RLS comorbidity|MRI correlations|review,,,,,,,,
10.2147/ndt.s4578,abstract_only,no,no,other,not_applicable,yes,review,Parkinson's disease | sleep disorders | RLS incidental,,,,,,,,
10.11604/pamj.2015.20.29.5723,abstract_only,yes,no,cross_sectional,not_applicable,no,,RLS prevalence | hemodialysis | risk factors | iron deficiency | hypertension,Le syndrome des jambes sans repos : fréquence et facteurs de risque chez l’hémodialysé,Pan African Medical Journal,2015,Illiassou Soumeila; Salia Keita; Anis Elhassani; Mohamed Sidibé; Khadija Alaoui; Nadia Kabbali; Mohamed Arrayhani; Tarik Sqalli,20,,29,https://doi.org/10.11604/pamj.2015.20.29.5723
10.4103/0253-7176.168591,abstract_only,no,no,case_series,not_applicable,yes,,pramipexole | functional pain | zolpidem dependence | case report,,,,,,,,
10.3390/jcm14093157,abstract_only,no,no,cross_sectional,not_applicable,no,,RLS prevalence | pediatric MS | sleep disorders | comorbidity,,,,,,,,
10.1177/22143602251400502,abstract_only,no,no,not_applicable,not_applicable,no,,SMA | sleep quality | RLS comorbidity,,,,,,,,
10.3389/fneur.2025.1603694,abstract_only,yes,no,not_applicable,not_applicable,yes,review,RLS diagnosis | pediatric RLS | growing pains | differential diagnosis,Restless legs syndrome and growing pains in childhood: understanding the link,Frontiers in Neurology,2025,Alexandra E. V. Rosen; Fabiana Ursitti; Nausica Stella; Laura Papetti; Martina Proietti Checchi; Alessandra Voci; Luigi Mazzone; Massimiliano Valeriani; Romina Moavero,16,,1603694,https://doi.org/10.3389/fneur.2025.1603694
10.1212/wnl.52.4.786,abstract_only,yes,no,observational_cohort,not_applicable,yes,observational,PLMS|arousal|EEG|cardiac activation|sleep physiology,EEG and cardiac activation during periodic leg movements in sleep,Neurology,1999,Sforza E.; Nicolas A.; Lavigne G.; Gosselin A.; Petit D.; Montplaisir J.,52,4,786-786,https://doi.org/10.1212/wnl.52.4.786
pmid_1751235,abstract_only,no,no,cross_sectional,not_applicable,yes,,sleep disorders | hemodialysis | restless legs | cross-sectional survey,,,,,,,,
10.1016/j.sleep.2008.01.002,abstract_only,yes,no,cross_sectional,not_applicable,yes,review,quality of life | health outcomes | assessment,Assessing health-related quality of life in patients with restless legs syndrome,Sleep Medicine,2009,Svenja Happe; Jens Peter Reese; Karin Stiasny-Kolster; Ines Peglau; Geert Mayer; Jens Klotsche; Guido Giani; Max Geraedts; Claudia Trenkwalder; Richard Dodel,10,3,295-305,https://doi.org/10.1016/j.sleep.2008.01.002
10.1053/ajkd.1998.v31.pm9469505,abstract_only,yes,no,cross_sectional,not_applicable,no,,RLS prevalence | uremia | hemodialysis | biochemical associations | iPTH,Clinical and biochemical findings in uremic patients with and without restless legs syndrome,American Journal of Kidney Diseases,1998,Collado-Seidel V.; Kohnen R.; Samtleben W.; Hillebrand GF; Oertel WH; Trenkwalder C.,31,2,324-328,https://doi.org/10.1053/ajkd.1998.v31.pm9469505
10.1111/j.1600-0404.1988.tb05929.x,abstract_only,yes,no,case_series,not_applicable,yes,,RLS phenotype | myoclonus | clinical characterization | case series,"Frequent occurrence of myoclonus while awake and at rest, body rocking and marching in place in a subpopulation of patients with restless legs syndrome",Acta Neurologica Scandinavica,1988,Walters AS; Hening WA; Chokroverty S.,77,5,418-421,https://doi.org/10.1111/j.1600-0404.1988.tb05929.x
10.1002/msc.1576,abstract_only,no,no,other,not_applicable,yes,review,systematic review | yoga | musculoskeletal conditions | older adults,,,,,,,,
10.1212/wnl.54.8.1698,abstract_only,yes,no,cross_sectional,not_applicable,yes,,iron metabolism | CSF biomarkers | pathophysiology,Abnormalities in CSF concentrations of ferritin and transferrin in restless legs syndrome,Neurology,2000,Earley CJ; Connor JR; Beard JL; Malecki EA; Epstein DK; Allen RP,54,8,1698-1700,https://doi.org/10.1212/wnl.54.8.1698
10.1111/jsr.12500,abstract_only,yes,no,observational_cohort,not_applicable,no,,RLS pathophysiology | periodic leg movements | polysomnography | movement patterns,"Sequence analysis of leg movements during sleep with different intervals (&lt;10, 10–90 and &gt;90 s) in restless legs syndrome",Journal of Sleep Research,2017,Raffaele Ferri; Francesco Rundo; Alessandro Silvani; Marco Zucconi; Debora Aricò; Oliviero Bruni; Filomena I. I. Cosentino; Luigi Ferini‐Strambi; Mauro Manconi,26,4,436-443,https://doi.org/10.1111/jsr.12500
10.1093/brain/awl163,abstract_only,yes,no,other,not_applicable,no,,dopamine|D2-receptor|PET imaging|pathophysiology|neuroimaging,Support for dopaminergic hypoactivity in restless legs syndrome: a PET study on D2-receptor binding,Brain,2006,Cervenka S.; Pålhagen SE; Comley RA; Panagiotidis G.; Cselényi Z.; Matthews JC; Lai RY; Halldin C.; Farde L.,129,8,2017-2028,https://doi.org/10.1093/brain/awl163
