doi,source_folder,is_relevant,studies_treatment,trial_type,is_excluded,exclusion_reason,topics,paper_title,paper_journal,paper_year,paper_authors,paper_volume,paper_issue,paper_pages,paper_url
10.1007/bf02126707,pdfs,yes,yes,non_randomized_trial,no,,antiviral nasal spray | rhinovirus prophylaxis | CL 88277 | intranasal medication | viral challenge study,"Clinical evaluation of prophylactic intranasal 1-phenyl-3-(4-phenyl-2-thiazolyl) guanidine (CL 88,277) medication against rhinovirus 44 challenge",Medical Microbiology and Immunology,1977,Yasushi Togo; Frederick E. Durr; Donald A. Laurenzana,163,1,37-44,https://doi.org/10.1007/bf02126707
10.1007/s00705-008-0067-0,pdfs,yes,yes,other,no,,antiviral nasal spray | morpholino oligomers | influenza H3N8 | intranasal delivery | animal model,Inhibition of influenza A H3N8 virus infections in mice by morpholino oligomers,Archives of Virology,2008,Christopher Lupfer; David A. Stein; Dan V. Mourich; Samuel E. Tepper; Patrick L. Iversen; Manoj Pastey,153,5,929-937,https://doi.org/10.1007/s00705-008-0067-0
10.1007/bf01314381,pdfs,yes,yes,other,no,,antiviral nasal spray | influenza | animal model | calcium elenolate | virazole,Influenza virus infection of hamsters. A model for evaluating antiviral drugs,Archives of Virology,1977,Renis HE.,54,1-2,85-93,https://doi.org/10.1007/bf01314381
10.1007/s00405-021-06644-5,pdfs,yes,no,other,yes,protocol,hypochlorous acid | SARS-CoV-2 | in vitro virucidal | nasal spray | upper respiratory tract,A sprayable Acid-Oxidizing solution containing hypochlorous acid (AOS2020) efficiently and safely inactivates SARS-Cov-2: a new potential solution for upper respiratory tract hygiene,European Archives of Oto-Rhino-Laryngology,2021,Nadia Giarratana; Balan Rajan; Kannan Kamala; Michelle Mendenhall; Giorgio Reiner,278,8,3099-3103,https://doi.org/10.1007/s00405-021-06644-5
10.1007/s10517-018-4140-8,pdfs,yes,yes,other,no,,oxidized dextran | intranasal antiviral | influenza A(H1N1)pdm09 | in vitro and in vivo | prophylaxis,Study of Antiviral Efficiency of Oxidized Dextrans In Vitro and In Vivo,Bulletin of Experimental Biology and Medicine,2018,Olga Kurskaya; Tatyana Murashkina; А. Yu. Alekseev; Kirill Sharshov; L. P. Romakh; Anastasiya Derko; А. В. Троицкий; Т. Н. Быстрова; V. А. Shkurupy; А. М. Шестопалов,165,2,248-251,https://doi.org/10.1007/s10517-018-4140-8
10.1007/s12070-022-03106-0,pdfs,yes,yes,rct,no,,povidone-iodine | nasal spray | nasal irrigation | SARS-CoV-2 | viral clearance,Virucidal Effect of Povidone Iodine on SARS-CoV-2 in Nasopharynx: An Open-label Randomized Clinical Trial,Indian Journal of Otolaryngology and Head &amp; Neck Surgery,2022,Kamal Arefin M.; Banu SS; Nasir Uddin AKM; Nurul Fattah Rumi SK; Khan M.; Kaiser A.; Arafat MS; Chowdhury JA; Khan MAS; Hasan MJ,74,S2,3283-3292,https://doi.org/10.1007/s12070-022-03106-0
10.1007/s13346-025-01916-7,pdfs,no,no,unclear,yes,review,chloroquine|hydroxychloroquine|zinc|COVID-19|opinion,Nasal inhalation of antiviral microparticulate powders to target early infection of upper airways,Drug Delivery and Translational Research,2025,Sabrina Banella; Eride Quarta; Martina Brandolini; Laura Grumiro; Vittorio Sambri; Giovanna Trevisi; Ruggero Bettini; Paolo Colombo; Francesca Buttini; Fabio Sonvico; Georgeta Caraua; Alessandra Rossi; Gaia Colombo,,,,https://doi.org/10.1007/s13346-025-01916-7
10.1016/0166-3542(83)90034-7,pdfs,yes,yes,rct,no,,intranasal interferon | rhinovirus prophylaxis | volunteer challenge trial | human interferon-alpha2 | antiviral nasal spray,An effective dosage regimen for prophylaxis against rhinovirus infection by intranasal administration of HuIFN-α2,Antiviral Research,1983,Phillpotts RJ; Scott GM; Higgins PG; Wallace J.; Tyrrell DA; Gauci CL,3,2,121-136,https://doi.org/10.1016/0166-3542(83)90034-7
10.1007/s40121-022-00710-z,pdfs,yes,no,other,yes,editorial,intranasal antibody prophylaxis | mathematical modeling | COVID-19 | respiratory infections | passive immunization,Exploring the Role of Antiviral Nasal Sprays in the Control of Emerging Respiratory Infections in the Community,Infectious Diseases and Therapy,2022,Christoforos Hadjichrysanthou; Anna L. Beukenhorst; Clarissa M. Koch; Galit Alter; Jaap Goudsmit; Roy M. Anderson; Frank de Wolf,11,6,2287-2296,https://doi.org/10.1007/s40121-022-00710-z
10.1016/0166-3542(84)90027-5,pdfs,yes,yes,observational_cohort,no,,intranasal interferon | rhinovirus | pharmacokinetics | nasal clearance | antiviral prophylaxis,Pharmacokinetics of intranasally applied medication during a cold,Antiviral Research,1984,Phillpotts RJ; Davies HW; Willman J.; Tyrrell DA; Higgins PG,4,1-2,71-74,https://doi.org/10.1016/0166-3542(84)90027-5
10.1016/0166-3542(86)90011-2,pdfs,yes,yes,rct,no,,intranasal interferon | common cold prophylaxis | rhinovirus | contact prophylaxis | randomized controlled trial,"Intranasal interferon (rIFN-αA, Ro 22-8181) for contact prophylaxis against common cold: A randomized, double-blind and placebo-controlled field study",Antiviral Research,1986,Christian Herzog; Rosmarie Berger; Michel Fernex; Karen Friesecke; Ladislaus Havas; Max Just; Ulrich C. Dubach,6,3,171-176,https://doi.org/10.1016/0166-3542(86)90011-2
10.1016/0166-3542(88)90022-8,pdfs,yes,yes,rct,no,,intranasal interferon | enviroxime | rhinovirus prophylaxis | antiviral combination therapy,"Failure to demonstrate synergy between interferon-α and a synthetic antiviral, enviroxime, in rhinovirus infections in volunteers",Antiviral Research,1988,Peter G. Higgins; G.Ian Barrow; Widad Al-Nakib; David A.J. Tyrrell; Donald C. DeLong; Ian Lenox-Smith,10,1-3,141-149,https://doi.org/10.1016/0166-3542(88)90022-8
10.1016/0166-3542(88)90033-2,pdfs,yes,yes,rct,no,,intranasal interferon | tolerance | safety | rhinovirus prophylaxis | histopathology,"Intranasal tolerance and histopathologic effects of a novel synthetic interferon, rIFN-αCon1",Antiviral Research,1988,Frederick G. Hayden; Donald J. Innes; Stacey E. Mills; Paul A. Levine,10,4-5,225-234,https://doi.org/10.1016/0166-3542(88)90033-2
10.1016/0166-3542(88)90055-1,pdfs,yes,yes,rct,no,,rhinovirus|receptor blockade|monoclonal antibody|intranasal prophylaxis|experimental challenge,Modification of experimental rhinovirus colds by receptor blockade,Antiviral Research,1988,Frederick G. Hayden; Jack M. Gwaltney; Richard J. Colonno,9,4,233-247,https://doi.org/10.1016/0166-3542(88)90055-1
10.1016/0166-3542(92)90080-o,pdfs,no,yes,other,yes,,flavonoids | influenza | sialidase inhibitors | plant compounds | in vivo,In vivo anti-influenza virus activity of plant flavonoids possessing inhibitory activity for influenza virus sialidase,Antiviral Research,1992,Takayuki Nagai; Yukinori Miyaichi; Tsuyoshi Tomimori; Yujiro Suzuki; Haruki Yamada,19,3,207-217,https://doi.org/10.1016/0166-3542(92)90080-o
10.1016/0166-3542(90)90061-b,pdfs,yes,yes,rct,no,,intranasal interferon | RSV infection | prophylaxis | treatment | double-blind RCT,The efficacy of intranasal interferonα-2a in respiratory syncytial virus infection in volunteers,Antiviral Research,1990,Paul G. Higgins; G. I. Barrow; D. A. J. Tyrrell; David Isaacs; Christopher Gauci,14,1,3-10,https://doi.org/10.1016/0166-3542(90)90061-b
10.1016/0166-3542(95)00832-2,pdfs,yes,yes,other,no,,intranasal interferon | liposome delivery | influenza | immunomodulation,Effect of liposome-encapsulation on immunomodulating and antiviral activities of interferon-γ,Antiviral Research,1996,Saravolac EG; Kournikakis B.; Gorton L.; Wong JP,29,2-3,199-207,https://doi.org/10.1016/0166-3542(95)00832-2
10.1016/j.amjoto.2020.102618,pdfs,yes,yes,case_series,no,,povidone-iodine|nasal spray|COVID-19|SARS-CoV-2|prophylaxis,Repurposing 0.5% povidone iodine solution in otorhinolaryngology practice in Covid 19 pandemic,American Journal of Otolaryngology,2020,Mubarak Muhamed Khan; Sapna Ramkrishna Parab; Mandar Paranjape,41,5,102618,https://doi.org/10.1016/j.amjoto.2020.102618
10.1016/0192-0561(86)90095-0,pdfs,no,yes,other,yes,,muramyl peptides | immunomodulation | viral prophylaxis | interferon | experimental animal model,"Enhancement of host resistance against virus infections by MTP-PE, a synthetic lipophilic muramyl peptide — I. Increased survival in mice and guinea pigs after single drug administration prior to infection, and the effect of MTP-PE on interferon levels in sera and lungs",International Journal of Immunopharmacology,1986,Felix M. Dietrich; Heinz K. Hochkeppel; Bohumir Lukas,8,8,931-942,https://doi.org/10.1016/0192-0561(86)90095-0
10.1016/j.antiviral.2006.07.011,pdfs,yes,yes,other,no,,TLR7/8 agonist | intranasal immunomodulation | influenza prophylaxis | innate immunity,Administration of a dual toll-like receptor 7 and toll-like receptor 8 agonist protects against influenza in rats,Antiviral Research,2007,David M. Hammerbeck; Gary R. Burleson; Craig J. Schuller; John P. Vasilakos; Mark Tomai; Elaine Egging; Felicia R. Cochran; Susan Woulfe; Richard L. Miller,73,1,1-11,https://doi.org/10.1016/j.antiviral.2006.07.011
10.1016/j.antiviral.2007.11.009,pdfs,yes,yes,non_randomized_trial,no,,intranasal antiviral | RNAi | ALN-RSV01 | RSV | safety and tolerability,"Evaluation of the safety, tolerability and pharmacokinetics of ALN-RSV01, a novel RNAi antiviral therapeutic directed against respiratory syncytial virus (RSV)",Antiviral Research,2008,DeVincenzo J.; Cehelsky JE; Alvarez R.; Elbashir S.; Harborth J.; Toudjarska I.; Nechev L.; Murugaiah V.; Van Vliet A.; Vaishnaw AK; Meyers R.,77,3,225-231,https://doi.org/10.1016/j.antiviral.2007.11.009
10.1016/j.antiviral.2008.06.003,pdfs,no,no,other,no,,influenza|antiviral|cyanovirin-N|animal model,Treatment of influenza A (H1N1) virus infections in mice and ferrets with cyanovirin-N,Antiviral Research,2008,Donald F. Smee; Katherine Bailey; Ming Hung Wong; Barry R. O’Keefe; Kirk R. Gustafson; Vasiliy P. Mishin; Larisa V. Gubareva,80,3,266-271,https://doi.org/10.1016/j.antiviral.2008.06.003
10.1016/j.antiviral.2010.11.007,pdfs,yes,yes,other,no,,intranasal interferon | mDEF201 | SARS-CoV | prophylaxis | treatment,Single-dose intranasal administration with mDEF201 (adenovirus vectored mouse interferon-alpha) confers protection from mortality in a lethal SARS-CoV BALB/c mouse model,Antiviral Research,2011,Yohichi Kumaki; Jane Ennis; Ramtin Rahbar; Jeffrey D. Turner; Miles K. Wandersee; Aaron J. Smith; Kevin W. Bailey; Zachary G. Vest; Jason R. Madsen; Joseph K.-K. Li; Dale L. Barnard,89,1,75-82,https://doi.org/10.1016/j.antiviral.2010.11.007
10.1016/j.antiviral.2011.09.004,pdfs,yes,yes,other,no,,innate immunomodulator | intranasal prophylaxis | influenza | TLR4 ligand | animal model,"FimH, a TLR4 ligand, induces innate antiviral responses in the lung leading to protection against lethal influenza infection in mice",Antiviral Research,2011,Abdul-Careem MF; Firoz Mian M.; Gillgrass AE; Chenoweth MJ; Barra NG; Chan T.; Al-Garawi AA; Chew MV; Yue G.; van Roojen N.; Xing Z.; Ashkar AA,92,2,346-355,https://doi.org/10.1016/j.antiviral.2011.09.004
10.1016/j.antiviral.2015.11.005,pdfs,yes,yes,other,no,,influenza polymerase inhibitor | intranasal antiviral | in vitro screening | animal model,Identification of a small-molecule inhibitor of influenza virus via disrupting the subunits interaction of the viral polymerase,Antiviral Research,2016,Shuofeng Yuan; Hin Chu; Hanjun Zhao; Ke Zhang; Kailash Singh; Billy K.C. Chow; Richard Y.T. Kao; Jie Zhou; Bo-Jian Zheng,125,,34-42,https://doi.org/10.1016/j.antiviral.2015.11.005
10.1016/j.antiviral.2015.11.006,pdfs,yes,yes,other,no,,pyrimidine biosynthesis inhibitors | RSV | intranasal antiviral | animal model | in vivo efficacy,Respiratory syncytial virus infection in macaques is not suppressed by intranasal sprays of pyrimidine biosynthesis inhibitors,Antiviral Research,2016,Clément Grandin; Marianne-Lucas Hourani; Yves L. Janin; Daniel Dauzonne; Hélène Munier-Lehmann; Adeline Paturet; Fabrice Taborik; Astrid Vabret; Hugues Contamin; Frédéric Tangy; Pierre-Olivier Vidalain,125,,58-62,https://doi.org/10.1016/j.antiviral.2015.11.006
10.1016/j.antiviral.2017.07.003,pdfs,yes,yes,other,no,,gemcitabine | rhinovirus | intranasal antiviral | in vivo animal model | antiviral drug repurposing,Antiviral activity of gemcitabine against human rhinovirus in vitro and in vivo,Antiviral Research,2017,Jae-Hyoung Song; Seong-Ryeol Kim; Eun-Young Heo; Jae-Young Lee; Dong-eun Kim; Sungchan Cho; Sun-Young Chang; Byung-Il Yoon; Jeongmin Seong; Hyun-Jeong Ko,145,,6-13,https://doi.org/10.1016/j.antiviral.2017.07.003
10.1016/j.antiviral.2018.01.012,pdfs,no,yes,other,yes,review,budesonide|rhinovirus|corticosteroid|in vitro|autophagy,Antiviral and anti-inflammatory activity of budesonide against human rhinovirus infection mediated via autophagy activation,Antiviral Research,2018,Seong-Ryeol Kim; Jae-Hyoung Song; Jae-Hee Ahn; Geun-Shik Lee; Huijeong Ahn; Sung-il Yoon; Seung Goo Kang; Pyeung-Hyeun Kim; Sang-Min Jeon; Eun-Ji Choi; Sooyoung Shin; Younggil Cha; Sungchan Cho; Dong-eun Kim; Sun-Young Chang; Hyun-Jeong Ko,151,,87-96,https://doi.org/10.1016/j.antiviral.2018.01.012
10.1016/j.antiviral.2023.105547,pdfs,yes,yes,other,no,,RSV inhibitor | intranasal antiviral | small molecule | preclinical | viral entry inhibition,Identification and evaluation of a novel tribenzamide derivative as an inhibitor targeting the entry of the respiratory syncytial virus,Antiviral Research,2023,Leila Issmail; Daniel Ramsbeck; Christian Jäger; Tanja Henning; Martin Kleinschmidt; Mirko Buchholz; Thomas Grunwald,211,,105547,https://doi.org/10.1016/j.antiviral.2023.105547
